"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879487","Poland","Polska Liga (men)","18.10.2017 - 16:00","AZS UWM Olsztyn","PGE Skra Belchatow",
"Statistics","AZS UWM Olsztyn","Type","PGE Skra Belchatow",
,"3","Score","2",
,"111","Points","111",
,"3","Sets","2",
,"7","Aces","3",
,"18","Service errors","26",
,"54","Kills","76",
,"11","Blocks","6",
,"6","Errors","6",
,"2","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:22:56","00:00","Game conditions changed","Game conditions changed",
,"15:23:04","00:00","Players warming up","Players warming up",
,"15:50:14","00:00","Coin flipping","Coin flipping",
,"15:50:32","00:00","Warm up at the net","Warm up at the net",
,"15:52:17","00:00","Jersey colours updated","Jersey colours updated",
,"15:52:17","00:00","Jersey colours updated","Jersey colours updated",
,"15:52:21","00:00","Game conditions changed","Game conditions changed",
,"15:57:20","00:00","Game conditions changed","Game conditions changed",
,"16:02:28","00:00","Players lined up","Players lined up",
,"16:03:50","00:00","Shake hands","Shake hands",
,"16:06:21","00:00","Game about to start","Game about to start",
,"16:07:17","00:00","Start SRV","Start SRV   PGE Skra Belchatow",
,"16:07:27","00:00","Start 1st Set","Start 1st Set",
,"16:07:27","00:00","SRV","SRV   PGE Skra Belchatow",
,"16:07:29","00:02","RS","RS   PGE Skra Belchatow",
,"16:07:30","00:02","B POSS","B POSS   AZS UWM Olsztyn",
,"16:07:38","00:10","K","K   AZS UWM Olsztyn",
,"16:07:38","00:10","P","[1 : 0]   P   AZS UWM Olsztyn",
,"16:07:52","00:25","Pt Conf","Pt Conf   AZS UWM Olsztyn",
,"16:07:58","00:30","SRV","SRV   AZS UWM Olsztyn",
,"16:08:01","00:33","RS","RS   AZS UWM Olsztyn",
,"16:08:01","00:33","B POSS","B POSS   PGE Skra Belchatow",
,"16:08:06","00:38","K","K   PGE Skra Belchatow",
,"16:08:06","00:38","P","[1 : 1]   P   PGE Skra Belchatow",
,"16:08:18","00:51","Pt Conf","Pt Conf   PGE Skra Belchatow",
,"16:08:23","00:56","SRV","SRV   PGE Skra Belchatow",
,"16:08:26","00:59","S ERR","S ERR   PGE Skra Belchatow",
,"16:08:26","00:59","P","[2 : 1]   P   AZS UWM Olsztyn",
,"16:08:40","01:13","Pt Conf","Pt Conf   AZS UWM Olsztyn",
,"16:08:44","01:16","SRV","SRV   AZS UWM Olsztyn",
,"16:08:47","01:20","RS","RS   AZS UWM Olsztyn",
,"16:08:47","01:20","B POSS","B POSS   PGE Skra Belchatow",
,"16:08:51","01:23","B POSS","B POSS   AZS UWM Olsztyn",
,"16:08:54","01:27","ERR","ERR   AZS UWM Olsztyn",
,"16:08:54","01:27","P","[2 : 2]   P   PGE Skra Belchatow",
,"16:09:13","01:46","Pt Conf","Pt Conf   PGE Skra Belchatow",
,"16:09:17","01:49","SRV","SRV   PGE Skra Belchatow",
,"16:09:20","01:52","RS","RS   PGE Skra Belchatow",
,"16:09:20","01:52","B POSS","B POSS   AZS UWM Olsztyn",
,"16:09:25","01:58","B POSS","B POSS   PGE Skra Belchatow",
,"16:09:28","02:01","K","K   PGE Skra Belchatow",
,"16:09:28","02:01","P","[2 : 3]   P   PGE Skra Belchatow",
,"16:09:43","02:16","Pt Conf","Pt Conf   PGE Skra Belchatow",
,"16:09:50","02:22","SRV","SRV   PGE Skra Belchatow",
,"16:09:53","02:25","RS","RS   PGE Skra Belchatow",
,"16:09:53","02:25","B POSS","B POSS   AZS UWM Olsztyn",
,"16:09:57","02:30","B","B   PGE Skra Belchatow",
,"16:09:57","02:30","P","[2 : 4]   P   PGE Skra Belchatow",
,"16:10:14","02:47","Pt Conf","Pt Conf   PGE Skra Belchatow",
,"16:10:19","02:51","SRV","SRV   PGE Skra Belchatow",
,"16:10:22","02:55","RS","RS   PGE Skra Belchatow",
,"16:10:22","02:55","B POSS","B POSS   AZS UWM Olsztyn",
,"16:10:27","02:59","B POSS","B POSS   PGE Skra Belchatow",
,"16:10:30","03:03","OUT","OUT   PGE Skra Belchatow",
,"16:10:30","03:03","P","[3 : 4]   P   AZS UWM Olsztyn",
,"16:10:44","03:16","Pt Conf","Pt Conf   AZS UWM Olsztyn",
,"16:10:49","03:22","SRV","SRV   AZS UWM Olsztyn",
,"16:10:51","03:24","RS","RS   AZS UWM Olsztyn",
,"16:10:52","03:24","B POSS","B POSS   PGE Skra Belchatow",
,"16:10:55","03:27","K","K   PGE Skra Belchatow",
,"16:10:55","03:27","P","[3 : 5]   P   PGE Skra Belchatow",
,"16:11:09","03:41","Pt Conf","Pt Conf   PGE Skra Belchatow",
