"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879491","Poland","Polska Liga (men)","18.10.2017 - 18:30","KS Cuprum Lubin","ZAKSA Kedzierzyn-Kozle",
"Statistics","KS Cuprum Lubin","Type","ZAKSA Kedzierzyn-Kozle",
,"1","Score","3",
,"93","Points","95",
,"1","Sets","3",
,"1","Aces","4",
,"13","Service errors","8",
,"59","Kills","59",
,"11","Blocks","11",
,"3","Errors","6",
,"2","Outs","5",
,"0","Penalty Points","0",
,"3","Points (unknown method)","3",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"18:39:20","00:00","Unknown Team to start Service","Unknown Team to start Service",
,"18:39:27","00:00","Start 1st Set","Start 1st Set",
,"18:39:31","00:04","Updating score","Updating score",
,"18:39:39","00:12","P UM","P UM   KS Cuprum Lubin",
,"18:39:39","00:12","P","[1 : 0]   P   KS Cuprum Lubin",
,"18:39:39","00:12","P UM","P UM   KS Cuprum Lubin",
,"18:39:39","00:12","P","[2 : 0]   P   KS Cuprum Lubin",
,"18:39:39","00:12","P UM","P UM   KS Cuprum Lubin",
,"18:39:39","00:12","P","[3 : 0]   P   KS Cuprum Lubin",
,"18:39:39","00:12","P UM","P UM   ZAKSA Kedzierzyn-Kozle",
,"18:39:39","00:12","P","[3 : 1]   P   ZAKSA Kedzierzyn-Kozle",
,"18:39:39","00:12","P UM","P UM   ZAKSA Kedzierzyn-Kozle",
,"18:39:39","00:12","P","[3 : 2]   P   ZAKSA Kedzierzyn-Kozle",
,"18:39:40","00:12","P UM","P UM   ZAKSA Kedzierzyn-Kozle",
,"18:39:40","00:12","P","[3 : 3]   P   ZAKSA Kedzierzyn-Kozle",
,"18:39:40","00:12","Score updated","Score updated",
,"18:39:45","00:17","SRV","SRV   KS Cuprum Lubin",
,"18:39:49","00:22","RS","RS   KS Cuprum Lubin",
,"18:39:49","00:22","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:39:54","00:27","K","K   ZAKSA Kedzierzyn-Kozle",
,"18:39:54","00:27","P","[3 : 4]   P   ZAKSA Kedzierzyn-Kozle",
,"18:40:09","00:42","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
