"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891773","Romania","Divizia A1 (men)","18.10.2017 - 14:00","CSM Bucuresti","CSS2 Baia Mare",
"Statistics","CSM Bucuresti","Type","CSS2 Baia Mare",
,"3","Score","0",
,"81","Points","67",
,"3","Sets","0",
,"6","Aces","2",
,"17","Service errors","7",
,"45","Kills","25",
,"15","Blocks","9",
,"4","Errors","3",
,"10","Outs","4",
,"1","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","1",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:21:32","00:00","Game conditions changed","Game conditions changed",
,"13:21:33","00:00","Players warming up","Players warming up",
,"13:57:19","00:00","Coin flipping","Coin flipping",
,"13:57:20","00:00","Warm up at the net","Warm up at the net",
,"13:58:01","00:00","Jersey colours updated","Jersey colours updated",
,"13:58:01","00:00","Jersey colours updated","Jersey colours updated",
,"13:58:04","00:00","Players intro","Players intro",
,"13:59:41","00:00","Players lined up","Players lined up",
,"14:00:19","00:00","Shake hands","Shake hands",
,"14:00:20","00:00","Game about to start","Game about to start",
,"14:01:22","00:00","Start SRV","Start SRV   CSS2 Baia Mare",
,"14:01:25","00:00","Start 1st Set","Start 1st Set",
,"14:01:25","00:00","SRV","SRV   CSS2 Baia Mare",
,"14:01:27","00:02","RS","RS   CSS2 Baia Mare",
,"14:01:27","00:02","B POSS","B POSS   CSM Bucuresti",
,"14:01:30","00:04","B POSS","B POSS   CSS2 Baia Mare",
,"14:01:39","00:14","B","B   CSM Bucuresti",
,"14:01:39","00:14","P","[1 : 0]   P   CSM Bucuresti",
,"14:01:53","00:28","Pt Conf","Pt Conf   CSM Bucuresti",
,"14:01:57","00:31","SRV","SRV   CSM Bucuresti",
,"14:01:59","00:34","RS","RS   CSM Bucuresti",
,"14:01:59","00:34","B POSS","B POSS   CSS2 Baia Mare",
,"14:02:05","00:39","K","K   CSS2 Baia Mare",
,"14:02:05","00:39","P","[1 : 1]   P   CSS2 Baia Mare",
,"14:02:23","00:58","Pt Conf","Pt Conf   CSS2 Baia Mare",
,"14:02:29","01:04","SRV","SRV   CSS2 Baia Mare",
,"14:02:37","01:11","A","A   CSS2 Baia Mare",
,"14:02:37","01:11","P","[1 : 2]   P   CSS2 Baia Mare",
,"14:02:40","01:15","Point under investigation","Point under investigation",
,"14:03:03","01:38","Pt Conf","Pt Conf   CSS2 Baia Mare",
,"14:03:04","01:39","SRV","SRV   CSS2 Baia Mare",
,"14:03:06","01:40","S ERR","S ERR   CSS2 Baia Mare",
,"14:03:06","01:40","P","[2 : 2]   P   CSM Bucuresti",
,"14:03:22","01:56","Pt Conf","Pt Conf   CSM Bucuresti",
,"14:03:23","01:57","SRV","SRV   CSM Bucuresti",
,"14:03:25","02:00","RS","RS   CSM Bucuresti",
,"14:03:25","02:00","B POSS","B POSS   CSS2 Baia Mare",
,"14:03:29","02:04","K","K   CSS2 Baia Mare",
,"14:03:29","02:04","P","[2 : 3]   P   CSS2 Baia Mare",
,"14:03:45","02:20","Pt Conf","Pt Conf   CSS2 Baia Mare",
,"14:03:46","02:20","SRV","SRV   CSS2 Baia Mare",
,"14:03:48","02:22","RS","RS   CSS2 Baia Mare",
,"14:03:48","02:22","B POSS","B POSS   CSM Bucuresti",
,"14:03:51","02:25","B POSS","B POSS   CSS2 Baia Mare",
,"14:03:56","02:30","K","K   CSM Bucuresti",
,"14:03:56","02:30","P","[3 : 3]   P   CSM Bucuresti",
,"14:04:16","02:51","Pt Conf","Pt Conf   CSM Bucuresti",
,"14:04:18","02:52","SRV","SRV   CSM Bucuresti",
,"14:04:20","02:54","S ERR","S ERR   CSM Bucuresti",
,"14:04:20","02:54","P","[3 : 4]   P   CSS2 Baia Mare",
,"14:04:34","03:08","Pt Conf","Pt Conf   CSS2 Baia Mare",
,"14:04:38","03:13","SRV","SRV   CSS2 Baia Mare",
,"14:04:41","03:15","RS","RS   CSS2 Baia Mare",
,"14:04:41","03:15","B POSS","B POSS   CSM Bucuresti",
,"14:04:44","03:19","B POSS","B POSS   CSS2 Baia Mare",
,"14:04:48","03:23","B POSS","B POSS   CSM Bucuresti",
,"14:04:54","03:29","B POSS","B POSS   CSS2 Baia Mare",
,"14:04:55","03:30","B POSS","B POSS   CSM Bucuresti",
,"14:04:58","03:33","K","K   CSM Bucuresti",
,"14:04:58","03:33","P","[4 : 4]   P   CSM Bucuresti",
,"14:05:30","04:04","Pt Conf","Pt Conf   CSM Bucuresti",
,"14:05:34","04:09","SRV","SRV   CSM Bucuresti",
,"14:05:37","04:12","RS","RS   CSM Bucuresti",
,"14:05:37","04:12","B POSS","B POSS   CSS2 Baia Mare",
,"14:05:41","04:16","K","K   CSS2 Baia Mare",
,"14:05:41","04:16","P","[4 : 5]   P   CSS2 Baia Mare",
,"14:05:57","04:32","Pt Conf","Pt Conf   CSS2 Baia Mare",
,"14:06:00","04:35","SRV","SRV   CSS2 Baia Mare",
,"14:06:03","04:37","S ERR","S ERR   CSS2 Baia Mare",
,"14:06:03","04:37","P","[5 : 5]   P   CSM Bucuresti",
,"14:06:23","04:57","Pt Conf","Pt Conf   CSM Bucuresti",
,"14:06:25","05:00","SRV","SRV   CSM Bucuresti",
,"14:06:28","05:03","S ERR","S ERR   CSM Bucuresti",
