"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891421","Slovenia","1. DOL (men)","18.10.2017 - 18:00","OK Crnuce ACH","OK Hoce",
"Statistics","OK Crnuce ACH","Type","OK Hoce",
,"3","Score","1",
,"96","Points","84",
,"3","Sets","1",
,"5","Aces","5",
,"22","Service errors","12",
,"45","Kills","33",
,"16","Blocks","8",
,"7","Errors","5",
,"7","Outs","11",
,"1","Penalty Points","1",
,"1","Points (unknown method)","1",
,"1","Penalties","1",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:30:58","00:00","Game conditions changed","Game conditions changed",
,"17:30:59","00:00","Players warming up","Players warming up",
,"17:39:29","00:00","Jersey colours updated","Jersey colours updated",
,"17:39:29","00:00","Jersey colours updated","Jersey colours updated",
,"17:46:00","00:00","Coin flipping","Coin flipping",
,"17:46:05","00:00","Warm up at the net","Warm up at the net",
,"17:57:02","00:00","Players intro","Players intro",
,"17:57:19","00:00","Players lined up","Players lined up",
,"17:57:33","00:00","Shake hands","Shake hands",
,"17:59:02","00:00","Game about to start","Game about to start",
,"17:59:42","00:00","Start SRV","Start SRV   OK Crnuce ACH",
,"17:59:53","00:00","Start 1st Set","Start 1st Set",
,"17:59:53","00:00","SRV","SRV   OK Crnuce ACH",
,"17:59:57","00:04","RS","RS   OK Crnuce ACH",
,"17:59:57","00:04","B POSS","B POSS   OK Hoce",
,"18:00:09","00:16","K","K   OK Hoce",
,"18:00:09","00:16","P","[0 : 1]   P   OK Hoce",
,"18:00:25","00:32","Pt Conf","Pt Conf   OK Hoce",
,"18:00:31","00:38","SRV","SRV   OK Hoce",
,"18:00:35","00:42","RS","RS   OK Hoce",
,"18:00:35","00:42","B POSS","B POSS   OK Crnuce ACH",
,"18:00:43","00:50","K","K   OK Crnuce ACH",
,"18:00:43","00:50","P","[1 : 1]   P   OK Crnuce ACH",
,"18:01:04","01:11","Pt Conf","Pt Conf   OK Crnuce ACH",
,"18:01:06","01:13","SRV","SRV   OK Crnuce ACH",
,"18:01:09","01:16","A","A   OK Crnuce ACH",
,"18:01:09","01:16","P","[2 : 1]   P   OK Crnuce ACH",
,"18:01:22","01:29","Pt Conf","Pt Conf   OK Crnuce ACH",
,"18:01:25","01:32","SRV","SRV   OK Crnuce ACH",
,"18:01:28","01:35","RS","RS   OK Crnuce ACH",
,"18:01:29","01:36","B POSS","B POSS   OK Hoce",
,"18:01:32","01:39","K","K   OK Hoce",
,"18:01:32","01:39","P","[2 : 2]   P   OK Hoce",
,"18:01:48","01:55","Pt Conf","Pt Conf   OK Hoce",
,"18:01:52","01:59","SRV","SRV   OK Hoce",
,"18:01:55","02:02","RS","RS   OK Hoce",
,"18:01:56","02:02","B POSS","B POSS   OK Crnuce ACH",
,"18:02:00","02:07","B POSS","B POSS   OK Hoce",
,"18:02:05","02:12","B","B   OK Crnuce ACH",
,"18:02:05","02:12","P","[3 : 2]   P   OK Crnuce ACH",
,"18:02:19","02:26","Pt Conf","Pt Conf   OK Crnuce ACH",
,"18:02:24","02:31","SRV","SRV   OK Crnuce ACH",
,"18:02:27","02:34","RS","RS   OK Crnuce ACH",
,"18:02:27","02:34","B POSS","B POSS   OK Hoce",
,"18:02:32","02:39","B POSS","B POSS   OK Crnuce ACH",
,"18:02:35","02:42","K","K   OK Crnuce ACH",
,"18:02:35","02:42","P","[4 : 2]   P   OK Crnuce ACH",
,"18:02:48","02:55","Pt Conf","Pt Conf   OK Crnuce ACH",
,"18:02:52","02:59","SRV","SRV   OK Crnuce ACH",
,"18:02:55","03:02","RS","RS   OK Crnuce ACH",
,"18:02:55","03:02","B POSS","B POSS   OK Hoce",
,"18:03:00","03:07","K","K   OK Hoce",
,"18:03:00","03:07","P","[4 : 3]   P   OK Hoce",
,"18:03:14","03:21","Pt Conf","Pt Conf   OK Hoce",
,"18:03:18","03:25","SRV","SRV   OK Hoce",
,"18:03:22","03:29","S ERR","S ERR   OK Hoce",
,"18:03:22","03:29","P","[5 : 3]   P   OK Crnuce ACH",
,"18:03:33","03:40","Pt Conf","Pt Conf   OK Crnuce ACH",
,"18:03:37","03:44","SRV","SRV   OK Crnuce ACH",
,"18:03:41","03:48","RS","RS   OK Crnuce ACH",
,"18:03:42","03:49","B POSS","B POSS   OK Hoce",
,"18:03:45","03:52","B","B   OK Crnuce ACH",
,"18:03:45","03:52","P","[6 : 3]   P   OK Crnuce ACH",
,"18:03:53","04:00","Pt Conf","Pt Conf   OK Crnuce ACH",
,"18:03:55","04:02","TIME","TIME",
,"18:03:56","04:03","TIME","TIME   OK Hoce",
,"18:04:48","04:55","SRV","SRV   OK Crnuce ACH",
,"18:04:52","04:59","S ERR","S ERR   OK Crnuce ACH",
,"18:04:52","04:59","P","[6 : 4]   P   OK Hoce",
,"18:05:05","05:12","Pt Conf","Pt Conf   OK Hoce",
,"18:05:11","05:18","SRV","SRV   OK Hoce",
,"18:05:16","05:23","A","A   OK Hoce",
,"18:05:16","05:23","P","[6 : 5]   P   OK Hoce",
