"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891804","Turkey","Sultanlar Ligi (women)","18.10.2017 - 11:00","Besiktas Jimnastik Kulubu (women)","Iller Bankasi GSK (women)",
"Statistics","Besiktas Jimnastik Kulubu (women)","Type","Iller Bankasi GSK (women)",
,"3","Score","0",
,"75","Points","50",
,"3","Sets","0",
,"7","Aces","2",
,"8","Service errors","6",
,"45","Kills","25",
,"4","Blocks","4",
,"6","Errors","9",
,"5","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:46:54","00:00","Players warming up","Players warming up",
,"10:46:57","00:00","Game conditions changed","Game conditions changed",
,"10:47:48","00:00","Coin flipping","Coin flipping",
,"10:47:49","00:00","Warm up at the net","Warm up at the net",
,"10:47:59","00:00","Jersey colours updated","Jersey colours updated",
,"10:48:00","00:00","Jersey colours updated","Jersey colours updated",
,"10:57:54","00:00","Players lined up","Players lined up",
,"10:58:40","00:00","Prize giving ceremony","Prize giving ceremony",
,"11:00:37","00:00","Players intro","Players intro",
,"11:01:48","00:00","Game about to start","Game about to start",
,"11:02:44","00:00","Start SRV","Start SRV   Besiktas Jimnastik Kulubu (women)",
,"11:03:09","00:00","Start 1st Set","Start 1st Set",
,"11:03:09","00:00","SRV","SRV   Besiktas Jimnastik Kulubu (women)",
,"11:03:16","00:07","RS","RS   Besiktas Jimnastik Kulubu (women)",
,"11:03:17","00:08","B POSS","B POSS   Iller Bankasi GSK (women)",
,"11:03:20","00:11","B","B   Besiktas Jimnastik Kulubu (women)",
,"11:03:20","00:11","P","[1 : 0]   P   Besiktas Jimnastik Kulubu (women)",
,"11:03:33","00:24","Pt Conf","Pt Conf   Besiktas Jimnastik Kulubu (women)",
,"11:03:40","00:30","SRV","SRV   Besiktas Jimnastik Kulubu (women)",
,"11:03:42","00:32","RS","RS   Besiktas Jimnastik Kulubu (women)",
,"11:03:42","00:33","B POSS","B POSS   Iller Bankasi GSK (women)",
,"11:03:44","00:35","B POSS","B POSS   Besiktas Jimnastik Kulubu (women)",
,"11:03:49","00:39","K","K   Besiktas Jimnastik Kulubu (women)",
