"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891806","Turkey","Sultanlar Ligi (women)","18.10.2017 - 14:30","Galatasaray Spor Kulubu (women)","Nilufer Belediye Spor Kulubu (women)",
"Statistics","Galatasaray Spor Kulubu (women)","Type","Nilufer Belediye Spor Kulubu (women)",
,"3","Score","0",
,"75","Points","56",
,"3","Sets","0",
,"5","Aces","0",
,"9","Service errors","9",
,"38","Kills","30",
,"10","Blocks","5",
,"6","Errors","8",
,"6","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:55:03","00:00","Game conditions changed","Game conditions changed",
,"13:55:04","00:00","Players warming up","Players warming up",
,"13:57:51","00:00","Jersey colours updated","Jersey colours updated",
,"13:57:51","00:00","Jersey colours updated","Jersey colours updated",
,"14:13:54","00:00","Coin flipping","Coin flipping",
,"14:13:57","00:00","Warm up at the net","Warm up at the net",
,"14:26:02","00:00","Players lined up","Players lined up",
,"14:26:51","00:00","Prize giving ceremony","Prize giving ceremony",
,"14:29:51","00:00","Players intro","Players intro",
,"14:31:04","00:00","Game about to start","Game about to start",
,"14:31:38","00:00","Start SRV","Start SRV   Nilufer Belediye Spor Kulubu (women)",
,"14:31:49","00:00","Start 1st Set","Start 1st Set",
,"14:31:49","00:00","SRV","SRV   Nilufer Belediye Spor Kulubu (women)",
,"14:31:57","00:08","RS","RS   Nilufer Belediye Spor Kulubu (women)",
,"14:31:57","00:08","B POSS","B POSS   Galatasaray Spor Kulubu (women)",
,"14:32:05","00:15","B","B   Galatasaray Spor Kulubu (women)",
,"14:32:05","00:15","P","[1 : 0]   P   Galatasaray Spor Kulubu (women)",
,"14:32:24","00:34","Pt Conf","Pt Conf   Galatasaray Spor Kulubu (women)",
,"14:32:25","00:35","SRV","SRV   Galatasaray Spor Kulubu (women)",
,"14:32:26","00:37","RS","RS   Galatasaray Spor Kulubu (women)",
,"14:32:26","00:37","B POSS","B POSS   Nilufer Belediye Spor Kulubu (women)",
,"14:32:30","00:40","B","B   Galatasaray Spor Kulubu (women)",
,"14:32:30","00:40","P","[2 : 0]   P   Galatasaray Spor Kulubu (women)",
,"14:32:49","00:59","Pt Conf","Pt Conf   Galatasaray Spor Kulubu (women)",
,"14:32:50","01:00","SRV","SRV   Galatasaray Spor Kulubu (women)",
,"14:32:52","01:02","RS","RS   Galatasaray Spor Kulubu (women)",
,"14:32:52","01:02","B POSS","B POSS   Nilufer Belediye Spor Kulubu (women)",
,"14:32:59","01:09","Point under investigation","Point under investigation",
,"14:33:10","01:20","OUT","OUT   Galatasaray Spor Kulubu (women)",
,"14:33:10","01:20","P","[2 : 1]   P   Nilufer Belediye Spor Kulubu (women)",
,"14:33:19","01:29","Correct statistics","Correct statistics   (OUT Galatasaray Spor Kulubu (women) <=> K Nilufer Belediye Spor Kulubu (women))",
,"14:33:19","01:29","K","K   Nilufer Belediye Spor Kulubu (women)",
,"14:33:23","01:34","Pt Conf","Pt Conf   Nilufer Belediye Spor Kulubu (women)",
,"14:33:24","01:35","SRV","SRV   Nilufer Belediye Spor Kulubu (women)",
,"14:33:26","01:36","RS","RS   Nilufer Belediye Spor Kulubu (women)",
,"14:33:26","01:36","B POSS","B POSS   Galatasaray Spor Kulubu (women)",
