"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"890990","Argentina","Liga de Honor (women)","20.10.2017 - 00:30","River Plate (women)","Estudiantes de La Plata (women)",
"Statistics","River Plate (women)","Type","Estudiantes de La Plata (women)",
,"3","Score","1",
,"97","Points","82",
,"3","Sets","1",
,"7","Aces","4",
,"13","Service errors","9",
,"48","Kills","35",
,"13","Blocks","6",
,"11","Errors","12",
,"13","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:51:31","00:00","Game conditions changed","Game conditions changed",
,"23:51:48","00:00","Jersey colours updated","Jersey colours updated",
,"23:51:49","00:00","Jersey colours updated","Jersey colours updated",
,"23:52:02","00:00","Jersey colours updated","Jersey colours updated",
,"00:03:07","00:00","Players warming up","Players warming up",
,"00:13:50","00:00","Warm up at the net","Warm up at the net",
,"00:25:13","00:00","Players intro","Players intro",
,"00:27:13","00:00","Players lined up","Players lined up",
,"00:27:47","00:00","Game about to start","Game about to start",
,"00:27:54","00:00","Start SRV","Start SRV   River Plate (women)",
,"00:27:57","00:00","Start 1st Set","Start 1st Set",
,"00:27:58","00:00","SRV","SRV   River Plate (women)",
,"00:28:00","00:02","RS","RS   River Plate (women)",
,"00:28:00","00:03","B POSS","B POSS   Estudiantes de La Plata (women)",
,"00:28:03","00:05","B POSS","B POSS   River Plate (women)",
,"00:28:06","00:09","B POSS","B POSS   Estudiantes de La Plata (women)",
,"00:28:11","00:13","B POSS","B POSS   River Plate (women)",
,"00:28:15","00:17","B POSS","B POSS   Estudiantes de La Plata (women)",
,"00:28:20","00:22","B","B   River Plate (women)",
,"00:28:20","00:22","P","[1 : 0]   P   River Plate (women)",
,"00:28:36","00:38","Pt Conf","Pt Conf   River Plate (women)",
,"00:28:40","00:42","SRV","SRV   River Plate (women)",
,"00:28:43","00:45","RS","RS   River Plate (women)",
,"00:28:44","00:46","B POSS","B POSS   Estudiantes de La Plata (women)",
