"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891052","Brazil","Campeonato Paulista U21 (women)","20.10.2017 - 21:00","S.J. Rio Preto Volei U21 (women)","SESI-SP U21 (women)",
"Statistics","S.J. Rio Preto Volei U21 (women)","Type","SESI-SP U21 (women)",
,"0","Score","3",
,"43","Points","75",
,"0","Sets","3",
,"1","Aces","12",
,"7","Service errors","10",
,"22","Kills","28",
,"6","Blocks","5",
,"12","Errors","4",
,"11","Outs","0",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"19:51:16","00:00","Game conditions changed","Game conditions changed",
,"20:27:55","00:00","Players warming up","Players warming up",
,"20:45:36","00:00","Coin flipping","Coin flipping",
,"20:46:08","00:00","Shake hands","Shake hands",
,"20:46:39","00:00","Warm up at the net","Warm up at the net",
,"20:47:16","00:00","Jersey colours updated","Jersey colours updated",
,"20:47:17","00:00","Jersey colours updated","Jersey colours updated",
,"20:59:14","00:00","Game about to start","Game about to start",
,"20:59:54","00:00","Start SRV","Start SRV   S.J. Rio Preto Volei U21 (women)",
,"20:59:56","00:00","Start SRV","Start SRV   S.J. Rio Preto Volei U21 (women)",
,"21:00:02","00:00","Start 1st Set","Start 1st Set",
,"21:00:03","00:00","SRV","SRV   S.J. Rio Preto Volei U21 (women)",
,"21:00:07","00:04","RS","RS   S.J. Rio Preto Volei U21 (women)",
,"21:00:07","00:05","B POSS","B POSS   SESI-SP U21 (women)",
,"21:00:11","00:09","K","K   SESI-SP U21 (women)",
,"21:00:11","00:09","P","[0 : 1]   P   SESI-SP U21 (women)",
,"21:00:19","00:16","Pt Conf","Pt Conf   SESI-SP U21 (women)",
,"21:00:29","00:26","SRV","SRV   SESI-SP U21 (women)",
,"21:00:32","00:30","RS","RS   SESI-SP U21 (women)",
,"21:00:33","00:30","B POSS","B POSS   S.J. Rio Preto Volei U21 (women)",
,"21:00:34","00:32","B POSS","B POSS   SESI-SP U21 (women)",
,"21:00:41","00:38","B POSS","B POSS   S.J. Rio Preto Volei U21 (women)",
,"21:00:46","00:44","OUT","OUT   S.J. Rio Preto Volei U21 (women)",
,"21:00:46","00:44","P","[0 : 2]   P   SESI-SP U21 (women)",
,"21:00:56","00:54","Pt Conf","Pt Conf   SESI-SP U21 (women)",
,"21:01:05","01:02","SRV","SRV   SESI-SP U21 (women)",
,"21:01:10","01:07","A","A   SESI-SP U21 (women)",
,"21:01:10","01:07","P","[0 : 3]   P   SESI-SP U21 (women)",
,"21:01:18","01:15","Pt Conf","Pt Conf   SESI-SP U21 (women)",
,"21:01:28","01:25","SRV","SRV   SESI-SP U21 (women)",
,"21:01:32","01:29","RS","RS   SESI-SP U21 (women)",
,"21:01:32","01:30","B POSS","B POSS   S.J. Rio Preto Volei U21 (women)",
,"21:01:36","01:34","K","K   S.J. Rio Preto Volei U21 (women)",
,"21:01:36","01:34","P","[1 : 3]   P   S.J. Rio Preto Volei U21 (women)",
,"21:01:43","01:40","Pt Conf","Pt Conf   S.J. Rio Preto Volei U21 (women)",
,"21:01:59","01:57","SRV","SRV   S.J. Rio Preto Volei U21 (women)",
,"21:02:04","02:01","S ERR","S ERR   S.J. Rio Preto Volei U21 (women)",
,"21:02:04","02:01","P","[1 : 4]   P   SESI-SP U21 (women)",
,"21:02:14","02:11","Pt Conf","Pt Conf   SESI-SP U21 (women)",
,"21:02:18","02:15","SRV","SRV   SESI-SP U21 (women)",
,"21:02:22","02:19","S ERR","S ERR   SESI-SP U21 (women)",
,"21:02:22","02:19","P","[2 : 4]   P   S.J. Rio Preto Volei U21 (women)",
,"21:02:29","02:26","Pt Conf","Pt Conf   S.J. Rio Preto Volei U21 (women)",
,"21:02:41","02:39","SRV","SRV   S.J. Rio Preto Volei U21 (women)",
