"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"883738","Brazil","Superliga (women)","20.10.2017 - 23:30","Rio de Janeiro Volei Clube (women)","Gremio Recreativo Barueri (women)",
"Statistics","Rio de Janeiro Volei Clube (women)","Type","Gremio Recreativo Barueri (women)",
,"3","Score","2",
,"112","Points","108",
,"3","Sets","2",
,"3","Aces","2",
,"13","Service errors","9",
,"78","Kills","60",
,"7","Blocks","13",
,"5","Errors","8",
,"15","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"22:35:57","00:00","Game conditions changed","Game conditions changed",
,"22:41:52","00:00","Players warming up","Players warming up",
,"23:03:47","00:00","Game conditions changed","Game conditions changed",
,"23:12:09","00:00","Coin flipping","Coin flipping",
,"23:13:10","00:00","Players lined up","Players lined up",
,"23:14:06","00:00","National anthem singing","National anthem singing",
,"23:15:39","00:00","Shake hands","Shake hands",
,"23:16:06","00:00","Warm up at the net","Warm up at the net",
,"23:17:11","00:00","Jersey colours updated","Jersey colours updated",
,"23:17:11","00:00","Jersey colours updated","Jersey colours updated",
,"23:29:11","00:00","Game about to start","Game about to start",
,"23:29:25","00:00","Start SRV","Start SRV   Gremio Recreativo Barueri (women)",
,"23:29:36","00:00","Start 1st Set","Start 1st Set",
,"23:29:36","00:00","SRV","SRV   Gremio Recreativo Barueri (women)",
,"23:29:43","00:06","RS","RS   Gremio Recreativo Barueri (women)",
,"23:29:44","00:08","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"23:29:46","00:10","K","K   Rio de Janeiro Volei Clube (women)",
,"23:29:46","00:10","P","[1 : 0]   P   Rio de Janeiro Volei Clube (women)",
,"23:30:10","00:34","Pt Conf","Pt Conf   Rio de Janeiro Volei Clube (women)",
,"23:30:18","00:42","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"23:30:18","00:42","RS","RS   Rio de Janeiro Volei Clube (women)",
,"23:30:18","00:42","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"23:30:18","00:42","K","K   Gremio Recreativo Barueri (women)",
,"23:30:18","00:42","P","[1 : 1]   P   Gremio Recreativo Barueri (women)",
,"23:30:29","00:52","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"23:30:30","00:54","SRV","SRV   Gremio Recreativo Barueri (women)",
,"23:30:43","01:07","RS","RS   Gremio Recreativo Barueri (women)",
,"23:30:44","01:08","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"23:30:44","01:08","K","K   Rio de Janeiro Volei Clube (women)",
,"23:30:44","01:08","P","[2 : 1]   P   Rio de Janeiro Volei Clube (women)",
,"23:30:49","01:12","Pt Conf","Pt Conf   Rio de Janeiro Volei Clube (women)",
,"23:30:53","01:16","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"23:30:55","01:18","RS","RS   Rio de Janeiro Volei Clube (women)",
,"23:30:56","01:19","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"23:31:00","01:23","K","K   Gremio Recreativo Barueri (women)",
,"23:31:00","01:23","P","[2 : 2]   P   Gremio Recreativo Barueri (women)",
,"23:31:11","01:35","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"23:31:16","01:40","SRV","SRV   Gremio Recreativo Barueri (women)",
,"23:31:19","01:42","RS","RS   Gremio Recreativo Barueri (women)",
,"23:31:20","01:44","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"23:31:24","01:47","K","K   Rio de Janeiro Volei Clube (women)",
,"23:31:24","01:47","P","[3 : 2]   P   Rio de Janeiro Volei Clube (women)",
,"23:31:37","02:01","Pt Conf","Pt Conf   Rio de Janeiro Volei Clube (women)",
,"23:31:45","02:09","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"23:31:50","02:13","S ERR","S ERR   Rio de Janeiro Volei Clube (women)",
,"23:31:50","02:13","P","[3 : 3]   P   Gremio Recreativo Barueri (women)",
,"23:31:58","02:22","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"23:32:03","02:27","SRV","SRV   Gremio Recreativo Barueri (women)",
,"23:32:07","02:31","RS","RS   Gremio Recreativo Barueri (women)",
,"23:32:08","02:32","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"23:32:10","02:34","K","K   Rio de Janeiro Volei Clube (women)",
,"23:32:10","02:34","P","[4 : 3]   P   Rio de Janeiro Volei Clube (women)",
,"23:32:20","02:44","Pt Conf","Pt Conf   Rio de Janeiro Volei Clube (women)",
,"23:32:24","02:48","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"23:32:28","02:52","RS","RS   Rio de Janeiro Volei Clube (women)",
,"23:32:29","02:53","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"23:32:33","02:57","K","K   Gremio Recreativo Barueri (women)",
,"23:32:33","02:57","P","[4 : 4]   P   Gremio Recreativo Barueri (women)",
,"23:32:49","03:12","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"23:32:50","03:14","SRV","SRV   Gremio Recreativo Barueri (women)",
,"23:32:54","03:18","RS","RS   Gremio Recreativo Barueri (women)",
,"23:32:55","03:19","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"23:32:56","03:20","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"23:33:03","03:27","ERR","ERR   Gremio Recreativo Barueri (women)",
,"23:33:03","03:27","P","[5 : 4]   P   Rio de Janeiro Volei Clube (women)",
,"23:33:13","03:37","Pt Conf","Pt Conf   Rio de Janeiro Volei Clube (women)",
,"23:33:18","03:42","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"23:33:22","03:46","RS","RS   Rio de Janeiro Volei Clube (women)",
,"23:33:23","03:47","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"23:33:24","03:48","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"23:33:31","03:54","K","K   Rio de Janeiro Volei Clube (women)",
,"23:33:31","03:54","P","[6 : 4]   P   Rio de Janeiro Volei Clube (women)",
,"23:33:43","04:06","Pt Conf","Pt Conf   Rio de Janeiro Volei Clube (women)",
,"23:33:49","04:12","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"23:33:52","04:16","RS","RS   Rio de Janeiro Volei Clube (women)",
,"23:33:53","04:17","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"23:33:58","04:22","K","K   Gremio Recreativo Barueri (women)",
,"23:33:58","04:22","P","[6 : 5]   P   Gremio Recreativo Barueri (women)",
