"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"893694","Bulgaria","Superliga (men)","20.10.2017 - 15:30","VC Minyor","Neftokhimik Burgas",
"Statistics","VC Minyor","Type","Neftokhimik Burgas",
,"3","Score","1",
,"97","Points","96",
,"3","Sets","1",
,"4","Aces","1",
,"12","Service errors","11",
,"53","Kills","65",
,"11","Blocks","8",
,"6","Errors","13",
,"4","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:12:51","00:00","Game conditions changed","Game conditions changed",
,"15:12:52","00:00","Players warming up","Players warming up",
,"15:13:07","00:00","Jersey colours updated","Jersey colours updated",
,"15:13:07","00:00","Jersey colours updated","Jersey colours updated",
,"15:17:08","00:00","Coin flipping","Coin flipping",
,"15:17:47","00:00","Warm up at the net","Warm up at the net",
,"15:29:32","00:00","Players lined up","Players lined up",
,"15:29:53","00:00","Shake hands","Shake hands",
,"15:30:58","00:00","Players intro","Players intro",
,"15:32:02","00:00","Game about to start","Game about to start",
,"15:33:23","00:00","Start SRV","Start SRV   VC Minyor",
,"15:33:51","00:00","Start 1st Set","Start 1st Set",
,"15:33:52","00:00","SRV","SRV   VC Minyor",
,"15:33:55","00:03","RS","RS   VC Minyor",
,"15:33:55","00:03","B POSS","B POSS   Neftokhimik Burgas",
,"15:33:57","00:06","K","K   Neftokhimik Burgas",
,"15:33:57","00:06","P","[0 : 1]   P   Neftokhimik Burgas",
,"15:34:06","00:14","Pt Conf","Pt Conf   Neftokhimik Burgas",
,"15:34:15","00:23","SRV","SRV   Neftokhimik Burgas",
,"15:34:18","00:26","RS","RS   Neftokhimik Burgas",
,"15:34:18","00:27","B POSS","B POSS   VC Minyor",
,"15:34:21","00:29","K","K   VC Minyor",
,"15:34:21","00:29","P","[1 : 1]   P   VC Minyor",
,"15:34:30","00:38","Pt Conf","Pt Conf   VC Minyor",
,"15:34:37","00:46","SRV","SRV   VC Minyor",
,"15:34:41","00:49","RS","RS   VC Minyor",
,"15:34:41","00:49","B POSS","B POSS   Neftokhimik Burgas",
,"15:34:53","01:02","K","K   Neftokhimik Burgas",
,"15:34:53","01:02","P","[1 : 2]   P   Neftokhimik Burgas",
,"15:34:55","01:03","Pt Conf","Pt Conf   Neftokhimik Burgas",
,"15:35:00","01:08","SRV","SRV   Neftokhimik Burgas",
,"15:35:03","01:12","RS","RS   Neftokhimik Burgas",
,"15:35:04","01:12","B POSS","B POSS   VC Minyor",
,"15:35:05","01:13","B POSS","B POSS   Neftokhimik Burgas",
,"15:35:11","01:19","B POSS","B POSS   VC Minyor",
,"15:35:14","01:22","B","B   Neftokhimik Burgas",
,"15:35:14","01:22","P","[1 : 3]   P   Neftokhimik Burgas",
,"15:35:23","01:32","Pt Conf","Pt Conf   Neftokhimik Burgas",
,"15:35:30","01:38","SRV","SRV   Neftokhimik Burgas",
,"15:35:33","01:42","S ERR","S ERR   Neftokhimik Burgas",
,"15:35:33","01:42","P","[2 : 3]   P   VC Minyor",
,"15:35:40","01:48","Pt Conf","Pt Conf   VC Minyor",
,"15:35:51","01:59","SRV","SRV   VC Minyor",
,"15:35:55","02:03","RS","RS   VC Minyor",
,"15:35:55","02:04","B POSS","B POSS   Neftokhimik Burgas",
,"15:35:59","02:07","K","K   Neftokhimik Burgas",
,"15:35:59","02:07","P","[2 : 4]   P   Neftokhimik Burgas",
,"15:36:06","02:14","Pt Conf","Pt Conf   Neftokhimik Burgas",
,"15:36:14","02:23","SRV","SRV   Neftokhimik Burgas",
,"15:36:18","02:26","RS","RS   Neftokhimik Burgas",
,"15:36:19","02:27","B POSS","B POSS   VC Minyor",
,"15:36:23","02:31","B POSS","B POSS   Neftokhimik Burgas",
,"15:36:28","02:36","B POSS","B POSS   VC Minyor",
,"15:36:30","02:39","B POSS","B POSS   Neftokhimik Burgas",
,"15:36:34","02:42","K","K   Neftokhimik Burgas",
,"15:36:34","02:42","P","[2 : 5]   P   Neftokhimik Burgas",
,"15:36:41","02:50","Pt Conf","Pt Conf   Neftokhimik Burgas",
,"15:36:50","02:58","SRV","SRV   Neftokhimik Burgas",
,"15:36:53","03:02","RS","RS   Neftokhimik Burgas",
,"15:36:54","03:02","B POSS","B POSS   VC Minyor",
,"15:36:57","03:05","B POSS","B POSS   Neftokhimik Burgas",
,"15:37:00","03:08","K","K   Neftokhimik Burgas",
,"15:37:00","03:08","P","[2 : 6]   P   Neftokhimik Burgas",
,"15:37:07","03:16","Pt Conf","Pt Conf   Neftokhimik Burgas",
,"15:37:09","03:18","TIME","TIME",
,"15:37:10","03:18","TIME","TIME   VC Minyor",
,"15:37:57","04:05","SRV","SRV   Neftokhimik Burgas",
,"15:38:01","04:09","RS","RS   Neftokhimik Burgas",
,"15:38:01","04:09","B POSS","B POSS   VC Minyor",
,"15:38:03","04:12","B","B   Neftokhimik Burgas",
,"15:38:03","04:12","P","[2 : 7]   P   Neftokhimik Burgas",
,"15:38:12","04:21","Pt Conf","Pt Conf   Neftokhimik Burgas",
,"15:38:21","04:30","SRV","SRV   Neftokhimik Burgas",
,"15:38:25","04:33","RS","RS   Neftokhimik Burgas",
,"15:38:25","04:33","B POSS","B POSS   VC Minyor",
,"15:38:27","04:35","K","K   VC Minyor",
,"15:38:27","04:35","P","[3 : 7]   P   VC Minyor",
,"15:38:35","04:43","Pt Conf","Pt Conf   VC Minyor",
,"15:38:42","04:50","SRV","SRV   VC Minyor",
,"15:38:45","04:54","RS","RS   VC Minyor",
,"15:38:46","04:54","B POSS","B POSS   Neftokhimik Burgas",
,"15:38:49","04:57","B POSS","B POSS   VC Minyor",
,"15:38:52","05:01","K","K   VC Minyor",
,"15:38:52","05:01","P","[4 : 7]   P   VC Minyor",
,"15:39:01","05:09","Pt Conf","Pt Conf   VC Minyor",
,"15:39:08","05:16","SRV","SRV   VC Minyor",
,"15:39:11","05:19","RS","RS   VC Minyor",
,"15:39:11","05:20","B POSS","B POSS   Neftokhimik Burgas",
,"15:39:15","05:24","K","K   Neftokhimik Burgas",
,"15:39:15","05:24","P","[4 : 8]   P   Neftokhimik Burgas",
,"15:39:22","05:30","Pt Conf","Pt Conf   Neftokhimik Burgas",
,"15:39:23","05:31","TIME","TIME",
,"15:39:24","05:32","TTO","TTO",
,"15:40:15","06:23","SRV","SRV   Neftokhimik Burgas",
,"15:40:18","06:27","S ERR","S ERR   Neftokhimik Burgas",
,"15:40:18","06:27","P","[5 : 8]   P   VC Minyor",
,"15:40:25","06:33","Pt Conf","Pt Conf   VC Minyor",
,"15:40:37","06:45","SRV","SRV   VC Minyor",
,"15:40:38","06:47","RS","RS   VC Minyor",
,"15:40:39","06:47","B POSS","B POSS   Neftokhimik Burgas",
,"15:40:43","06:51","OUT","OUT   Neftokhimik Burgas",
,"15:40:43","06:51","P","[6 : 8]   P   VC Minyor",
,"15:40:50","06:58","Pt Conf","Pt Conf   VC Minyor",
,"15:40:59","07:07","SRV","SRV   VC Minyor",
,"15:41:01","07:09","S ERR","S ERR   VC Minyor",
,"15:41:01","07:09","P","[6 : 9]   P   Neftokhimik Burgas",
