"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"893695","Greece","League Cup (men)","20.10.2017 - 14:00","Olympiakos SC Piraeus","Iraklis Thessaloniki VC",
"Statistics","Olympiakos SC Piraeus","Type","Iraklis Thessaloniki VC",
,"3","Score","0",
,"75","Points","60",
,"3","Sets","0",
,"4","Aces","4",
,"12","Service errors","5",
,"45","Kills","32",
,"6","Blocks","5",
,"4","Errors","7",
,"3","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:27:10","00:00","Game conditions changed","Game conditions changed",
,"13:27:16","00:00","Players warming up","Players warming up",
,"13:44:20","00:00","Coin flipping","Coin flipping",
,"13:44:51","00:00","Warm up at the net","Warm up at the net",
,"13:46:08","00:00","Jersey colours updated","Jersey colours updated",
,"13:46:09","00:00","Jersey colours updated","Jersey colours updated",
,"13:56:45","00:00","Players intro","Players intro",
,"13:57:57","00:00","Players lined up","Players lined up",
,"13:58:26","00:00","Shake hands","Shake hands",
,"14:01:13","00:00","Game about to start","Game about to start",
,"14:02:09","00:00","Start SRV","Start SRV   Iraklis Thessaloniki VC",
,"14:02:33","00:00","Start 1st Set","Start 1st Set",
,"14:02:34","00:00","SRV","SRV   Iraklis Thessaloniki VC",
,"14:02:35","00:02","RS","RS   Iraklis Thessaloniki VC",
,"14:02:36","00:03","B POSS","B POSS   Olympiakos SC Piraeus",
,"14:02:38","00:05","K","K   Olympiakos SC Piraeus",
,"14:02:38","00:05","P","[1 : 0]   P   Olympiakos SC Piraeus",
,"14:02:55","00:22","Pt Conf","Pt Conf   Olympiakos SC Piraeus",
,"14:02:56","00:23","SRV","SRV   Olympiakos SC Piraeus",
,"14:02:58","00:25","RS","RS   Olympiakos SC Piraeus",
,"14:02:59","00:26","B POSS","B POSS   Iraklis Thessaloniki VC",
,"14:03:01","00:28","K","K   Iraklis Thessaloniki VC",
,"14:03:01","00:28","P","[1 : 1]   P   Iraklis Thessaloniki VC",
,"14:03:17","00:44","Pt Conf","Pt Conf   Iraklis Thessaloniki VC",
,"14:03:18","00:45","SRV","SRV   Iraklis Thessaloniki VC",
,"14:03:20","00:47","RS","RS   Iraklis Thessaloniki VC",
,"14:03:20","00:47","B POSS","B POSS   Olympiakos SC Piraeus",
,"14:03:23","00:50","K","K   Olympiakos SC Piraeus",
,"14:03:23","00:50","P","[2 : 1]   P   Olympiakos SC Piraeus",
,"14:03:35","01:02","Pt Conf","Pt Conf   Olympiakos SC Piraeus",
,"14:03:38","01:05","SRV","SRV   Olympiakos SC Piraeus",
,"14:03:40","01:07","RS","RS   Olympiakos SC Piraeus",
,"14:03:41","01:08","B POSS","B POSS   Iraklis Thessaloniki VC",
,"14:03:44","01:11","B POSS","B POSS   Olympiakos SC Piraeus",
,"14:03:48","01:15","B POSS","B POSS   Iraklis Thessaloniki VC",
,"14:03:49","01:16","K","K   Iraklis Thessaloniki VC",
,"14:03:49","01:16","P","[2 : 2]   P   Iraklis Thessaloniki VC",
,"14:04:03","01:29","Pt Conf","Pt Conf   Iraklis Thessaloniki VC",
,"14:04:07","01:34","SRV","SRV   Iraklis Thessaloniki VC",
,"14:04:09","01:36","RS","RS   Iraklis Thessaloniki VC",
,"14:04:10","01:37","B POSS","B POSS   Olympiakos SC Piraeus",
,"14:04:13","01:40","K","K   Olympiakos SC Piraeus",
,"14:04:13","01:40","P","[3 : 2]   P   Olympiakos SC Piraeus",
,"14:04:27","01:54","Pt Conf","Pt Conf   Olympiakos SC Piraeus",
,"14:04:29","01:56","SRV","SRV   Olympiakos SC Piraeus",
,"14:04:33","02:00","RS","RS   Olympiakos SC Piraeus",
,"14:04:34","02:01","B POSS","B POSS   Iraklis Thessaloniki VC",
,"14:04:35","02:02","B POSS","B POSS   Olympiakos SC Piraeus",
