"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"890805","Korea Republic","V-League (men)","20.10.2017 - 10:00","Daejeon Bluefangs","Ansan Vespid",
"Statistics","Daejeon Bluefangs","Type","Ansan Vespid",
,"1","Score","3",
,"86","Points","95",
,"1","Sets","3",
,"5","Aces","7",
,"21","Service errors","18",
,"46","Kills","47",
,"10","Blocks","11",
,"4","Errors","2",
,"5","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"09:49:56","00:00","Game conditions changed","Game conditions changed",
,"09:50:28","00:00","Players warming up","Players warming up",
,"09:50:31","00:00","Warm up at the net","Warm up at the net",
,"09:51:55","00:00","Jersey colours updated","Jersey colours updated",
,"09:51:55","00:00","Jersey colours updated","Jersey colours updated",
,"09:54:42","00:00","Players intro","Players intro",
,"10:00:15","00:00","Game about to start","Game about to start",
,"10:00:18","00:00","Start SRV","Start SRV   Ansan Vespid",
,"10:00:22","00:00","Start 1st Set","Start 1st Set",
,"10:00:22","00:00","SRV","SRV   Ansan Vespid",
,"10:00:24","00:01","RS","RS   Ansan Vespid",
,"10:00:24","00:01","B POSS","B POSS   Daejeon Bluefangs",
,"10:00:26","00:04","K","K   Daejeon Bluefangs",
,"10:00:26","00:04","P","[1 : 0]   P   Daejeon Bluefangs",
,"10:00:44","00:21","Pt Conf","Pt Conf   Daejeon Bluefangs",
,"10:00:45","00:22","SRV","SRV   Daejeon Bluefangs",
,"10:00:46","00:23","RS","RS   Daejeon Bluefangs",
,"10:00:46","00:23","B POSS","B POSS   Ansan Vespid",
,"10:00:50","00:27","K","K   Ansan Vespid",
,"10:00:50","00:27","P","[1 : 1]   P   Ansan Vespid",
,"10:01:05","00:42","Pt Conf","Pt Conf   Ansan Vespid",
,"10:01:06","00:43","SRV","SRV   Ansan Vespid",
,"10:01:07","00:44","RS","RS   Ansan Vespid",
,"10:01:07","00:44","B POSS","B POSS   Daejeon Bluefangs",
,"10:01:10","00:48","K","K   Daejeon Bluefangs",
,"10:01:10","00:48","P","[2 : 1]   P   Daejeon Bluefangs",
,"10:01:30","01:07","Pt Conf","Pt Conf   Daejeon Bluefangs",
,"10:01:31","01:09","SRV","SRV   Daejeon Bluefangs",
,"10:01:33","01:10","RS","RS   Daejeon Bluefangs",
,"10:01:33","01:10","B POSS","B POSS   Ansan Vespid",
,"10:01:36","01:13","K","K   Ansan Vespid",
,"10:01:36","01:13","P","[2 : 2]   P   Ansan Vespid",
,"10:01:56","01:33","Pt Conf","Pt Conf   Ansan Vespid",
,"10:01:57","01:34","SRV","SRV   Ansan Vespid",
,"10:01:58","01:36","S ERR","S ERR   Ansan Vespid",
,"10:01:58","01:36","P","[3 : 2]   P   Daejeon Bluefangs",
,"10:02:18","01:55","Pt Conf","Pt Conf   Daejeon Bluefangs",
,"10:02:19","01:56","SRV","SRV   Daejeon Bluefangs",
,"10:02:20","01:57","RS","RS   Daejeon Bluefangs",
,"10:02:20","01:57","B POSS","B POSS   Ansan Vespid",
,"10:02:25","02:02","B POSS","B POSS   Daejeon Bluefangs",
,"10:02:34","02:11","K","K   Daejeon Bluefangs",
,"10:02:34","02:11","P","[4 : 2]   P   Daejeon Bluefangs",
,"10:02:56","02:33","Pt Conf","Pt Conf   Daejeon Bluefangs",
,"10:02:57","02:34","SRV","SRV   Daejeon Bluefangs",
,"10:02:58","02:35","RS","RS   Daejeon Bluefangs",
,"10:02:58","02:35","B POSS","B POSS   Ansan Vespid",
,"10:03:01","02:38","K","K   Ansan Vespid",
,"10:03:01","02:38","P","[4 : 3]   P   Ansan Vespid",
,"10:03:19","02:57","Pt Conf","Pt Conf   Ansan Vespid",
,"10:03:20","02:58","SRV","SRV   Ansan Vespid",
,"10:03:22","02:59","S ERR","S ERR   Ansan Vespid",
,"10:03:22","02:59","P","[5 : 3]   P   Daejeon Bluefangs",
,"10:03:43","03:20","Pt Conf","Pt Conf   Daejeon Bluefangs",
,"10:03:43","03:21","SRV","SRV   Daejeon Bluefangs",
,"10:03:44","03:22","RS","RS   Daejeon Bluefangs",
,"10:03:44","03:22","B POSS","B POSS   Ansan Vespid",
,"10:03:47","03:25","K","K   Ansan Vespid",
,"10:03:47","03:25","P","[5 : 4]   P   Ansan Vespid",
,"10:04:04","03:41","Pt Conf","Pt Conf   Ansan Vespid",
,"10:04:05","03:42","SRV","SRV   Ansan Vespid",
,"10:04:06","03:43","RS","RS   Ansan Vespid",
,"10:04:06","03:44","B POSS","B POSS   Daejeon Bluefangs",
,"10:04:11","03:49","B","B   Ansan Vespid",
,"10:04:11","03:49","P","[5 : 5]   P   Ansan Vespid",
,"10:04:28","04:05","Pt Conf","Pt Conf   Ansan Vespid",
,"10:04:29","04:07","SRV","SRV   Ansan Vespid",
,"10:04:31","04:08","RS","RS   Ansan Vespid",
,"10:04:31","04:08","B POSS","B POSS   Daejeon Bluefangs",
,"10:04:36","04:13","K","K   Daejeon Bluefangs",
,"10:04:36","04:13","P","[6 : 5]   P   Daejeon Bluefangs",
,"10:04:55","04:32","Pt Conf","Pt Conf   Daejeon Bluefangs",
,"10:04:57","04:35","SRV","SRV   Daejeon Bluefangs",
,"10:05:00","04:37","S ERR","S ERR   Daejeon Bluefangs",
,"10:05:00","04:37","P","[6 : 6]   P   Ansan Vespid",
,"10:05:14","04:51","Pt Conf","Pt Conf   Ansan Vespid",
,"10:05:15","04:53","SRV","SRV   Ansan Vespid",
,"10:05:17","04:54","RS","RS   Ansan Vespid",
,"10:05:17","04:54","B POSS","B POSS   Daejeon Bluefangs",
,"10:05:19","04:57","K","K   Daejeon Bluefangs",
,"10:05:19","04:57","P","[7 : 6]   P   Daejeon Bluefangs",
,"10:05:36","05:13","Pt Conf","Pt Conf   Daejeon Bluefangs",
,"10:05:36","05:14","SRV","SRV   Daejeon Bluefangs",
,"10:05:37","05:14","RS","RS   Daejeon Bluefangs",
,"10:05:37","05:14","B POSS","B POSS   Ansan Vespid",
,"10:05:41","05:18","B POSS","B POSS   Daejeon Bluefangs",
,"10:05:47","05:24","OUT","OUT   Daejeon Bluefangs",
,"10:05:47","05:24","P","[7 : 7]   P   Ansan Vespid",
,"10:06:04","05:41","Pt Conf","Pt Conf   Ansan Vespid",
,"10:06:05","05:42","SRV","SRV   Ansan Vespid",
,"10:06:06","05:44","RS","RS   Ansan Vespid",
,"10:06:06","05:44","B POSS","B POSS   Daejeon Bluefangs",
,"10:06:11","05:48","B POSS","B POSS   Ansan Vespid",
,"10:06:15","05:53","K","K   Ansan Vespid",
,"10:06:15","05:53","P","[7 : 8]   P   Ansan Vespid",
,"10:06:26","06:03","Pt Conf","Pt Conf   Ansan Vespid",
,"10:06:26","06:04","TIME","TIME",
,"10:06:27","06:05","TTO","TTO",
,"10:07:40","07:18","SRV","SRV   Ansan Vespid",
,"10:07:43","07:20","A","A   Ansan Vespid",
,"10:07:43","07:20","P","[7 : 9]   P   Ansan Vespid",
,"10:08:03","07:41","Pt Conf","Pt Conf   Ansan Vespid",
