"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887654","Russia","Superleague (women)","20.10.2017 - 16:30","Dynamo Krasnodar (women)","VC Proton (women)",
"Statistics","Dynamo Krasnodar (women)","Type","VC Proton (women)",
,"0","Score","3",
,"61","Points","75",
,"0","Sets","3",
,"4","Aces","5",
,"4","Service errors","10",
,"33","Kills","43",
,"7","Blocks","9",
,"9","Errors","5",
,"5","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:52:26","00:00","Game conditions changed","Game conditions changed",
,"15:52:29","00:00","Players warming up","Players warming up",
,"16:13:05","00:00","Coin flipping","Coin flipping",
,"16:14:06","00:00","Warm up at the net","Warm up at the net",
,"16:14:29","00:00","Players intro","Players intro",
,"16:15:42","00:00","Jersey colours updated","Jersey colours updated",
,"16:15:42","00:00","Jersey colours updated","Jersey colours updated",
,"16:25:24","00:00","Game conditions changed","Game conditions changed",
,"16:25:29","00:00","Players lined up","Players lined up",
,"16:25:47","00:00","National anthem singing","National anthem singing",
,"16:27:23","00:00","Shake hands","Shake hands",
,"16:29:47","00:00","Game about to start","Game about to start",
,"16:30:38","00:00","Start SRV","Start SRV   VC Proton (women)",
,"16:30:45","00:00","Start 1st Set","Start 1st Set",
,"16:30:45","00:00","SRV","SRV   VC Proton (women)",
,"16:30:48","00:03","RS","RS   VC Proton (women)",
,"16:30:48","00:03","B POSS","B POSS   Dynamo Krasnodar (women)",
,"16:30:54","00:08","B","B   VC Proton (women)",
,"16:30:54","00:08","P","[0 : 1]   P   VC Proton (women)",
,"16:31:03","00:17","Pt Conf","Pt Conf   VC Proton (women)",
,"16:31:05","00:20","SRV","SRV   VC Proton (women)",
,"16:31:08","00:23","RS","RS   VC Proton (women)",
,"16:31:09","00:23","B POSS","B POSS   Dynamo Krasnodar (women)",
,"16:31:14","00:29","OUT","OUT   Dynamo Krasnodar (women)",
,"16:31:14","00:29","P","[0 : 2]   P   VC Proton (women)",
,"16:31:24","00:38","Pt Conf","Pt Conf   VC Proton (women)",
,"16:31:26","00:40","SRV","SRV   VC Proton (women)",
,"16:31:28","00:42","RS","RS   VC Proton (women)",
,"16:31:28","00:42","B POSS","B POSS   Dynamo Krasnodar (women)",
,"16:31:34","00:49","B POSS","B POSS   VC Proton (women)",
,"16:31:39","00:54","K","K   VC Proton (women)",
,"16:31:39","00:54","P","[0 : 3]   P   VC Proton (women)",
,"16:31:49","01:03","Pt Conf","Pt Conf   VC Proton (women)",
,"16:31:52","01:07","SRV","SRV   VC Proton (women)",
,"16:31:55","01:09","RS","RS   VC Proton (women)",
,"16:31:55","01:09","B POSS","B POSS   Dynamo Krasnodar (women)",
,"16:31:58","01:12","B POSS","B POSS   VC Proton (women)",
