"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891572","Russia","Vischaya Liga A (men)","20.10.2017 - 14:00","VC Prikamye","VC ASK Nizhniy Novgorod",
"Statistics","VC Prikamye","Type","VC ASK Nizhniy Novgorod",
,"0","Score","3",
,"58","Points","75",
,"0","Sets","3",
,"3","Aces","6",
,"11","Service errors","10",
,"27","Kills","36",
,"8","Blocks","10",
,"5","Errors","3",
,"7","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:21:31","00:00","Game conditions changed","Game conditions changed",
,"13:43:52","00:00","Players warming up","Players warming up",
,"13:46:12","00:00","Coin flipping","Coin flipping",
,"13:46:13","00:00","Warm up at the net","Warm up at the net",
,"13:46:35","00:00","Jersey colours updated","Jersey colours updated",
,"13:46:36","00:00","Jersey colours updated","Jersey colours updated",
,"13:56:25","00:00","National anthem singing","National anthem singing",
,"13:56:29","00:00","Players lined up","Players lined up",
,"13:57:59","00:00","Shake hands","Shake hands",
,"14:00:20","00:00","Game about to start","Game about to start",
,"14:00:47","00:00","Start SRV","Start SRV   VC Prikamye",
,"14:00:58","00:00","Start 1st Set","Start 1st Set",
,"14:00:58","00:00","SRV","SRV   VC Prikamye",
,"14:01:06","00:07","RS","RS   VC Prikamye",
,"14:01:06","00:07","B POSS","B POSS   VC ASK Nizhniy Novgorod",
,"14:01:11","00:13","B POSS","B POSS   VC Prikamye",
,"14:01:14","00:16","B POSS","B POSS   VC ASK Nizhniy Novgorod",
,"14:01:18","00:20","K","K   VC ASK Nizhniy Novgorod",
,"14:01:18","00:20","P","[0 : 1]   P   VC ASK Nizhniy Novgorod",
,"14:01:30","00:31","Pt Conf","Pt Conf   VC ASK Nizhniy Novgorod",
,"14:01:32","00:34","SRV","SRV   VC ASK Nizhniy Novgorod",
,"14:01:41","00:42","RS","RS   VC ASK Nizhniy Novgorod",
,"14:01:41","00:43","B POSS","B POSS   VC Prikamye",
,"14:01:46","00:48","B POSS","B POSS   VC ASK Nizhniy Novgorod",
,"14:01:50","00:52","B POSS","B POSS   VC Prikamye",
,"14:01:55","00:56","B POSS","B POSS   VC ASK Nizhniy Novgorod",
,"14:01:59","01:00","B POSS","B POSS   VC Prikamye",
,"14:02:03","01:05","ERR","ERR   VC Prikamye",
,"14:02:03","01:05","P","[0 : 2]   P   VC ASK Nizhniy Novgorod",
,"14:02:12","01:14","Pt Conf","Pt Conf   VC ASK Nizhniy Novgorod",
,"14:02:17","01:19","SRV","SRV   VC ASK Nizhniy Novgorod",
