"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"892677","Slovenia","1. DOL (men)","20.10.2017 - 16:30","OK Maribor","MOK Krka",
"Statistics","OK Maribor","Type","MOK Krka",
,"3","Score","0",
,"75","Points","48",
,"3","Sets","0",
,"8","Aces","2",
,"11","Service errors","14",
,"28","Kills","25",
,"5","Blocks","5",
,"4","Errors","8",
,"1","Outs","12",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:55:15","00:00","Game conditions changed","Game conditions changed",
,"15:55:17","00:00","Players warming up","Players warming up",
,"16:15:12","00:00","Coin flipping","Coin flipping",
,"16:22:24","00:00","Warm up at the net","Warm up at the net",
,"16:24:45","00:00","Jersey colours updated","Jersey colours updated",
,"16:24:46","00:00","Jersey colours updated","Jersey colours updated",
,"16:26:45","00:00","Players intro","Players intro",
,"16:27:04","00:00","Players lined up","Players lined up",
,"16:27:41","00:00","Shake hands","Shake hands",
,"16:29:51","00:00","Game about to start","Game about to start",
,"16:30:13","00:00","Start SRV","Start SRV   MOK Krka",
,"16:30:29","00:00","Start 1st Set","Start 1st Set",
,"16:30:30","00:00","SRV","SRV   MOK Krka",
,"16:30:31","00:01","RS","RS   MOK Krka",
,"16:30:31","00:01","B POSS","B POSS   OK Maribor",
,"16:30:34","00:04","B POSS","B POSS   MOK Krka",
,"16:30:36","00:07","B POSS","B POSS   OK Maribor",
,"16:30:43","00:13","B POSS","B POSS   MOK Krka",
,"16:30:44","00:15","B POSS","B POSS   OK Maribor",
,"16:30:48","00:18","K","K   OK Maribor",
,"16:30:48","00:18","P","[1 : 0]   P   OK Maribor",
,"16:31:09","00:39","Pt Conf","Pt Conf   OK Maribor",
,"16:31:13","00:43","SRV","SRV   OK Maribor",
,"16:31:15","00:45","RS","RS   OK Maribor",
,"16:31:15","00:45","B POSS","B POSS   MOK Krka",
,"16:31:18","00:48","B POSS","B POSS   OK Maribor",
,"16:31:20","00:51","B POSS","B POSS   MOK Krka",
,"16:31:27","00:57","OUT","OUT   MOK Krka",
,"16:31:27","00:57","P","[2 : 0]   P   OK Maribor",
,"16:31:39","01:09","Pt Conf","Pt Conf   OK Maribor",
,"16:31:47","01:17","SRV","SRV   OK Maribor",
,"16:31:48","01:18","S ERR","S ERR   OK Maribor",
,"16:31:48","01:18","P","[2 : 1]   P   MOK Krka",
,"16:31:57","01:27","Pt Conf","Pt Conf   MOK Krka",
,"16:32:05","01:35","SRV","SRV   MOK Krka",
,"16:32:06","01:36","RS","RS   MOK Krka",
,"16:32:07","01:37","B POSS","B POSS   OK Maribor",
,"16:32:11","01:41","B","B   MOK Krka",
,"16:32:11","01:41","P","[2 : 2]   P   MOK Krka",
,"16:32:25","01:55","Pt Conf","Pt Conf   MOK Krka",
,"16:32:29","01:59","SRV","SRV   MOK Krka",
,"16:32:32","02:02","RS","RS   MOK Krka",
,"16:32:32","02:02","B POSS","B POSS   OK Maribor",
,"16:32:34","02:04","B POSS","B POSS   MOK Krka",
,"16:32:37","02:07","B POSS","B POSS   OK Maribor",
,"16:32:41","02:11","B POSS","B POSS   MOK Krka",
,"16:32:47","02:17","B","B   OK Maribor",
,"16:32:47","02:17","P","[3 : 2]   P   OK Maribor",
,"16:33:04","02:34","Pt Conf","Pt Conf   OK Maribor",
,"16:33:09","02:39","SRV","SRV   OK Maribor",
,"16:33:13","02:43","RS","RS   OK Maribor",
,"16:33:14","02:44","B POSS","B POSS   MOK Krka",
,"16:33:16","02:46","ERR","ERR   MOK Krka",
,"16:33:16","02:46","P","[4 : 2]   P   OK Maribor",
,"16:33:25","02:55","Pt Conf","Pt Conf   OK Maribor",
,"16:33:33","03:03","SRV","SRV   OK Maribor",
,"16:33:34","03:04","RS","RS   OK Maribor",
,"16:33:35","03:05","B POSS","B POSS   MOK Krka",
,"16:33:42","03:12","OUT","OUT   MOK Krka",
,"16:33:42","03:12","P","[5 : 2]   P   OK Maribor",
,"16:33:53","03:23","Pt Conf","Pt Conf   OK Maribor",
,"16:33:59","03:29","SRV","SRV   OK Maribor",
,"16:34:02","03:32","RS","RS   OK Maribor",
,"16:34:03","03:33","B POSS","B POSS   MOK Krka",
,"16:34:05","03:35","ERR","ERR   MOK Krka",
,"16:34:05","03:35","P","[6 : 2]   P   OK Maribor",
,"16:34:15","03:45","Pt Conf","Pt Conf   OK Maribor",
,"16:34:16","03:46","TIME","TIME",
,"16:34:17","03:47","TIME","TIME   MOK Krka",
,"16:35:12","04:42","SRV","SRV   OK Maribor",
,"16:35:14","04:44","RS","RS   OK Maribor",
,"16:35:14","04:44","B POSS","B POSS   MOK Krka",
,"16:35:18","04:48","B POSS","B POSS   OK Maribor",
,"16:35:22","04:52","B POSS","B POSS   MOK Krka",
,"16:35:27","04:57","OUT","OUT   MOK Krka",
,"16:35:27","04:57","P","[7 : 2]   P   OK Maribor",
,"16:35:42","05:13","Pt Conf","Pt Conf   OK Maribor",
,"16:35:47","05:17","SRV","SRV   OK Maribor",
,"16:35:50","05:20","RS","RS   OK Maribor",
,"16:35:50","05:20","B POSS","B POSS   MOK Krka",
,"16:35:52","05:22","ERR","ERR   MOK Krka",
,"16:35:52","05:22","P","[8 : 2]   P   OK Maribor",
,"16:35:56","05:26","Pt Conf","Pt Conf   OK Maribor",
,"16:35:57","05:27","TIME","TIME",
,"16:35:58","05:28","TTO","TTO",
,"16:36:52","06:22","SRV","SRV   OK Maribor",
,"16:36:54","06:24","RS","RS   OK Maribor",
,"16:36:54","06:25","B POSS","B POSS   MOK Krka",
,"16:37:00","06:30","OUT","OUT   MOK Krka",
,"16:37:00","06:30","P","[9 : 2]   P   OK Maribor",
,"16:37:11","06:41","Pt Conf","Pt Conf   OK Maribor",
,"16:37:42","07:12","SRV","SRV   OK Maribor",
,"16:37:44","07:14","RS","RS   OK Maribor",
,"16:37:45","07:15","B POSS","B POSS   MOK Krka",
,"16:37:47","07:17","B POSS","B POSS   OK Maribor",
,"16:37:52","07:22","B POSS","B POSS   MOK Krka",
,"16:37:57","07:27","K","K   OK Maribor",
,"16:37:57","07:27","P","[10 : 2]   P   OK Maribor",
,"16:38:11","07:41","Pt Conf","Pt Conf   OK Maribor",
,"16:38:21","07:51","SRV","SRV   OK Maribor",
,"16:38:24","07:54","S ERR","S ERR   OK Maribor",
,"16:38:24","07:54","P","[10 : 3]   P   MOK Krka",
,"16:38:33","08:04","Pt Conf","Pt Conf   MOK Krka",
,"16:38:43","08:13","SRV","SRV   MOK Krka",
,"16:38:45","08:16","S ERR","S ERR   MOK Krka",
,"16:38:45","08:16","P","[11 : 3]   P   OK Maribor",
,"16:38:56","08:26","Pt Conf","Pt Conf   OK Maribor",
,"16:39:08","08:38","SRV","SRV   OK Maribor",
,"16:39:10","08:40","S ERR","S ERR   OK Maribor",
,"16:39:10","08:40","P","[11 : 4]   P   MOK Krka",
,"16:39:22","08:52","Pt Conf","Pt Conf   MOK Krka",
,"16:39:35","09:05","SRV","SRV   MOK Krka",
,"16:39:36","09:06","RS","RS   MOK Krka",
,"16:39:37","09:07","B POSS","B POSS   OK Maribor",
,"16:39:40","09:10","B POSS","B POSS   MOK Krka",
,"16:39:46","09:16","OUT","OUT   MOK Krka",
,"16:39:46","09:16","P","[12 : 4]   P   OK Maribor",
,"16:39:59","09:29","Pt Conf","Pt Conf   OK Maribor",
,"16:40:05","09:35","SRV","SRV   OK Maribor",
,"16:40:07","09:37","RS","RS   OK Maribor",
,"16:40:07","09:37","B POSS","B POSS   MOK Krka",
,"16:40:11","09:41","K","K   MOK Krka",
,"16:40:11","09:41","P","[12 : 5]   P   MOK Krka",
,"16:40:25","09:55","Pt Conf","Pt Conf   MOK Krka",
,"16:40:31","10:01","SRV","SRV   MOK Krka",
,"16:40:33","10:03","RS","RS   MOK Krka",
,"16:40:33","10:04","B POSS","B POSS   OK Maribor",
,"16:40:37","10:07","B POSS","B POSS   MOK Krka",
,"16:40:45","10:15","B POSS","B POSS   OK Maribor",
,"16:40:46","10:16","B POSS","B POSS   MOK Krka",
,"16:40:49","10:19","B POSS","B POSS   OK Maribor",
,"16:40:54","10:24","K","K   OK Maribor",
,"16:40:54","10:24","P","[13 : 5]   P   OK Maribor",
,"16:41:11","10:42","Pt Conf","Pt Conf   OK Maribor",
,"16:41:18","10:48","SRV","SRV   OK Maribor",
,"16:41:21","10:51","A","A   OK Maribor",
,"16:41:21","10:51","P","[14 : 5]   P   OK Maribor",
,"16:41:30","11:00","Pt Conf","Pt Conf   OK Maribor",
,"16:41:31","11:01","TIME","TIME",
,"16:41:31","11:02","TIME","TIME   MOK Krka",
,"16:42:29","11:59","SRV","SRV   OK Maribor",
,"16:42:31","12:01","RS","RS   OK Maribor",
,"16:42:31","12:01","B POSS","B POSS   MOK Krka",
,"16:42:32","12:02","B POSS","B POSS   OK Maribor",
,"16:42:37","12:07","B POSS","B POSS   MOK Krka",
,"16:42:37","12:07","B POSS","B POSS   OK Maribor",
,"16:42:43","12:13","K","K   OK Maribor",
,"16:42:43","12:13","P","[15 : 5]   P   OK Maribor",
,"16:42:56","12:26","Pt Conf","Pt Conf   OK Maribor",
,"16:43:03","12:33","SRV","SRV   OK Maribor",
,"16:43:05","12:35","RS","RS   OK Maribor",
,"16:43:05","12:35","B POSS","B POSS   MOK Krka",
,"16:43:08","12:38","K","K   MOK Krka",
,"16:43:08","12:38","P","[15 : 6]   P   MOK Krka",
,"16:43:22","12:52","Pt Conf","Pt Conf   MOK Krka",
,"16:43:29","12:59","SRV","SRV   MOK Krka",
,"16:43:31","13:01","RS","RS   MOK Krka",
,"16:43:32","13:02","B POSS","B POSS   OK Maribor",
,"16:43:36","13:06","K","K   OK Maribor",
,"16:43:36","13:06","P","[16 : 6]   P   OK Maribor",
,"16:43:41","13:12","Pt Conf","Pt Conf   OK Maribor",
,"16:43:42","13:12","TIME","TIME",
,"16:43:43","13:13","TTO","TTO",
,"16:44:38","14:08","SRV","SRV   OK Maribor",
,"16:44:40","14:10","RS","RS   OK Maribor",
,"16:44:40","14:11","B POSS","B POSS   MOK Krka",
,"16:44:43","14:13","K","K   MOK Krka",
,"16:44:43","14:13","P","[16 : 7]   P   MOK Krka",
,"16:44:52","14:22","Pt Conf","Pt Conf   MOK Krka",
,"16:45:02","14:32","SRV","SRV   MOK Krka",
,"16:45:04","14:34","RS","RS   MOK Krka",
,"16:45:05","14:35","B POSS","B POSS   OK Maribor",
,"16:45:10","14:40","B POSS","B POSS   MOK Krka",
,"16:45:12","14:42","B POSS","B POSS   OK Maribor",
,"16:45:16","14:46","ERR","ERR   OK Maribor",
,"16:45:16","14:46","P","[16 : 8]   P   MOK Krka",
