"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891089","USA","NCAA Women","20.10.2017 - 22:30","Alabama State Hornets (women/students)","Grambling State Tigers (women/students)",
"Statistics","Alabama State Hornets (women/students)","Type","Grambling State Tigers (women/students)",
,"3","Score","0",
,"75","Points","47",
,"3","Sets","0",
,"5","Aces","4",
,"6","Service errors","5",
,"42","Kills","22",
,"11","Blocks","6",
,"5","Errors","6",
,"4","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"21:13:02","00:00","Game conditions changed","Game conditions changed",
,"21:13:05","00:00","Players warming up","Players warming up",
,"22:00:26","00:00","Coin flipping","Coin flipping",
,"22:11:45","00:00","Warm up at the net","Warm up at the net",
,"22:25:39","00:00","Game conditions changed","Game conditions changed",
,"22:30:55","00:00","Players intro","Players intro",
,"22:31:20","00:00","Jersey colours updated","Jersey colours updated",
,"22:31:21","00:00","Jersey colours updated","Jersey colours updated",
,"22:32:25","00:00","Shake hands","Shake hands",
,"22:33:05","00:00","Game conditions changed","Game conditions changed",
,"22:34:01","00:00","Game about to start","Game about to start",
,"22:34:09","00:00","Start SRV","Start SRV   Grambling State Tigers (women/students)",
,"22:34:12","00:00","Start 1st Set","Start 1st Set",
,"22:34:13","00:01","SRV","SRV   Grambling State Tigers (women/students)",
,"22:34:14","00:02","RS","RS   Grambling State Tigers (women/students)",
,"22:34:15","00:03","B POSS","B POSS   Alabama State Hornets (women/students)",
,"22:34:17","00:05","K","K   Alabama State Hornets (women/students)",
,"22:34:17","00:05","P","[1 : 0]   P   Alabama State Hornets (women/students)",
,"22:34:31","00:19","Pt Conf","Pt Conf   Alabama State Hornets (women/students)",
,"22:34:33","00:21","SRV","SRV   Alabama State Hornets (women/students)",
,"22:34:35","00:23","RS","RS   Alabama State Hornets (women/students)",
,"22:34:36","00:24","B POSS","B POSS   Grambling State Tigers (women/students)",
,"22:34:39","00:26","K","K   Grambling State Tigers (women/students)",
,"22:34:39","00:26","P","[1 : 1]   P   Grambling State Tigers (women/students)",
,"22:34:49","00:37","Pt Conf","Pt Conf   Grambling State Tigers (women/students)",
,"22:34:50","00:37","SRV","SRV   Grambling State Tigers (women/students)",
,"22:34:52","00:40","RS","RS   Grambling State Tigers (women/students)",
,"22:34:53","00:41","B POSS","B POSS   Alabama State Hornets (women/students)",
,"22:34:58","00:45","OUT","OUT   Alabama State Hornets (women/students)",
,"22:34:58","00:45","P","[1 : 2]   P   Grambling State Tigers (women/students)",
,"22:35:06","00:54","Pt Conf","Pt Conf   Grambling State Tigers (women/students)",
,"22:35:07","00:55","SRV","SRV   Grambling State Tigers (women/students)",
,"22:35:08","00:56","RS","RS   Grambling State Tigers (women/students)",
,"22:35:09","00:57","B POSS","B POSS   Alabama State Hornets (women/students)",
,"22:35:13","01:01","B POSS","B POSS   Grambling State Tigers (women/students)",
,"22:35:17","01:05","B POSS","B POSS   Alabama State Hornets (women/students)",
,"22:35:20","01:08","B POSS","B POSS   Grambling State Tigers (women/students)",
,"22:35:24","01:12","B POSS","B POSS   Alabama State Hornets (women/students)",
,"22:35:28","01:16","B POSS","B POSS   Grambling State Tigers (women/students)",
,"22:35:28","01:16","Rally over 5 possession changes","Rally over 5 possession changes",
,"22:35:32","01:20","B POSS","B POSS   Alabama State Hornets (women/students)",
,"22:35:36","01:24","B POSS","B POSS   Grambling State Tigers (women/students)",
,"22:35:39","01:27","ERR","ERR   Grambling State Tigers (women/students)",
,"22:35:39","01:27","P","[2 : 2]   P   Alabama State Hornets (women/students)",
,"22:35:49","01:37","Pt Conf","Pt Conf   Alabama State Hornets (women/students)",
,"22:35:51","01:39","SRV","SRV   Alabama State Hornets (women/students)",
,"22:35:54","01:42","RS","RS   Alabama State Hornets (women/students)",
,"22:35:55","01:43","B POSS","B POSS   Grambling State Tigers (women/students)",
,"22:35:57","01:45","B POSS","B POSS   Alabama State Hornets (women/students)",
,"22:36:02","01:50","K","K   Alabama State Hornets (women/students)",
,"22:36:02","01:50","P","[3 : 2]   P   Alabama State Hornets (women/students)",
,"22:36:09","01:56","Pt Conf","Pt Conf   Alabama State Hornets (women/students)",
,"22:36:10","01:57","SRV","SRV   Alabama State Hornets (women/students)",
,"22:36:12","02:00","RS","RS   Alabama State Hornets (women/students)",
,"22:36:13","02:00","B POSS","B POSS   Grambling State Tigers (women/students)",
,"22:36:15","02:02","B POSS","B POSS   Alabama State Hornets (women/students)",
,"22:36:19","02:07","K","K   Alabama State Hornets (women/students)",
,"22:36:19","02:07","P","[4 : 2]   P   Alabama State Hornets (women/students)",
,"22:36:27","02:15","Pt Conf","Pt Conf   Alabama State Hornets (women/students)",
,"22:36:28","02:16","SRV","SRV   Alabama State Hornets (women/students)",
,"22:36:30","02:18","RS","RS   Alabama State Hornets (women/students)",
,"22:36:31","02:19","B POSS","B POSS   Grambling State Tigers (women/students)",
,"22:36:33","02:20","ERR","ERR   Grambling State Tigers (women/students)",
,"22:36:33","02:20","P","[5 : 2]   P   Alabama State Hornets (women/students)",
,"22:36:41","02:29","Pt Conf","Pt Conf   Alabama State Hornets (women/students)",
,"22:36:42","02:30","SRV","SRV   Alabama State Hornets (women/students)",
,"22:36:44","02:32","RS","RS   Alabama State Hornets (women/students)",
,"22:36:45","02:32","B POSS","B POSS   Grambling State Tigers (women/students)",
,"22:36:51","02:39","B","B   Alabama State Hornets (women/students)",
,"22:36:51","02:39","P","[6 : 2]   P   Alabama State Hornets (women/students)",
,"22:36:58","02:45","Pt Conf","Pt Conf   Alabama State Hornets (women/students)",
,"22:36:58","02:46","SRV","SRV   Alabama State Hornets (women/students)",
,"22:37:00","02:48","RS","RS   Alabama State Hornets (women/students)",
,"22:37:01","02:48","B POSS","B POSS   Grambling State Tigers (women/students)",
,"22:37:04","02:51","K","K   Grambling State Tigers (women/students)",
,"22:37:04","02:51","P","[6 : 3]   P   Grambling State Tigers (women/students)",
,"22:37:27","03:15","Pt Conf","Pt Conf   Grambling State Tigers (women/students)",
