"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891710","USA","NCAA Women","20.10.2017 - 23:00","New Hampshire Wildcats (women/students)","University of Massachusetts Lowell (women/students)",
"Statistics","New Hampshire Wildcats (women/students)","Type","University of Massachusetts Lowell (women/students)",
,"3","Score","0",
,"75","Points","48",
,"3","Sets","0",
,"8","Aces","3",
,"8","Service errors","2",
,"40","Kills","26",
,"5","Blocks","2",
,"4","Errors","11",
,"5","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"22:18:16","00:00","Game conditions changed","Game conditions changed",
,"22:18:18","00:00","Players warming up","Players warming up",
,"22:34:05","00:00","Coin flipping","Coin flipping",
,"22:40:59","00:00","Warm up at the net","Warm up at the net",
,"22:49:08","00:00","Jersey colours updated","Jersey colours updated",
,"22:49:08","00:00","Jersey colours updated","Jersey colours updated",
,"22:59:59","00:00","Players lined up","Players lined up",
,"23:00:26","00:00","National anthem singing","National anthem singing",
,"23:02:10","00:00","Players intro","Players intro",
,"23:04:55","00:00","Shake hands","Shake hands",
,"23:05:24","00:00","Game about to start","Game about to start",
,"23:06:11","00:00","Start SRV","Start SRV   University of Massachusetts Lowell (women/students)",
,"23:06:31","00:00","Start 1st Set","Start 1st Set",
,"23:06:32","00:00","SRV","SRV   University of Massachusetts Lowell (women/students)",
,"23:06:34","00:02","RS","RS   University of Massachusetts Lowell (women/students)",
,"23:06:34","00:03","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:06:39","00:07","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:06:43","00:11","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:06:45","00:13","K","K   New Hampshire Wildcats (women/students)",
,"23:06:45","00:13","P","[1 : 0]   P   New Hampshire Wildcats (women/students)",
,"23:06:54","00:23","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"23:07:01","00:29","SRV","SRV   New Hampshire Wildcats (women/students)",
,"23:07:05","00:33","A","A   New Hampshire Wildcats (women/students)",
,"23:07:05","00:33","P","[2 : 0]   P   New Hampshire Wildcats (women/students)",
,"23:07:13","00:41","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"23:07:17","00:45","SRV","SRV   New Hampshire Wildcats (women/students)",
,"23:07:21","00:50","RS","RS   New Hampshire Wildcats (women/students)",
,"23:07:22","00:50","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:07:24","00:52","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:07:26","00:54","ERR","ERR   New Hampshire Wildcats (women/students)",
,"23:07:26","00:54","P","[2 : 1]   P   University of Massachusetts Lowell (women/students)",
,"23:07:42","01:10","Pt Conf","Pt Conf   University of Massachusetts Lowell (women/students)",
,"23:07:49","01:17","SRV","SRV   University of Massachusetts Lowell (women/students)",
,"23:07:51","01:19","RS","RS   University of Massachusetts Lowell (women/students)",
,"23:07:52","01:20","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:07:55","01:23","K","K   New Hampshire Wildcats (women/students)",
,"23:07:55","01:23","P","[3 : 1]   P   New Hampshire Wildcats (women/students)",
,"23:08:05","01:33","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"23:08:11","01:39","SRV","SRV   New Hampshire Wildcats (women/students)",
,"23:08:12","01:40","RS","RS   New Hampshire Wildcats (women/students)",
,"23:08:12","01:40","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:08:16","01:44","K","K   University of Massachusetts Lowell (women/students)",
,"23:08:16","01:44","P","[3 : 2]   P   University of Massachusetts Lowell (women/students)",
,"23:08:25","01:53","Pt Conf","Pt Conf   University of Massachusetts Lowell (women/students)",
,"23:08:34","02:02","SRV","SRV   University of Massachusetts Lowell (women/students)",
,"23:08:37","02:05","RS","RS   University of Massachusetts Lowell (women/students)",
,"23:08:37","02:05","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:08:39","02:07","K","K   New Hampshire Wildcats (women/students)",
,"23:08:39","02:07","P","[4 : 2]   P   New Hampshire Wildcats (women/students)",
,"23:08:50","02:18","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"23:08:55","02:23","SRV","SRV   New Hampshire Wildcats (women/students)",
,"23:08:57","02:25","RS","RS   New Hampshire Wildcats (women/students)",
,"23:08:57","02:25","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:09:01","02:29","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:09:04","02:33","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:09:10","02:38","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:09:10","02:38","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:09:13","02:41","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:09:13","02:41","Rally over 5 possession changes","Rally over 5 possession changes",
,"23:09:17","02:46","OUT","OUT   New Hampshire Wildcats (women/students)",
,"23:09:17","02:46","P","[4 : 3]   P   University of Massachusetts Lowell (women/students)",
,"23:09:36","03:04","Pt Conf","Pt Conf   University of Massachusetts Lowell (women/students)",
,"23:09:42","03:10","SRV","SRV   University of Massachusetts Lowell (women/students)",
,"23:09:45","03:13","A","A   University of Massachusetts Lowell (women/students)",
,"23:09:45","03:13","P","[4 : 4]   P   University of Massachusetts Lowell (women/students)",
,"23:09:54","03:22","Pt Conf","Pt Conf   University of Massachusetts Lowell (women/students)",
,"23:09:59","03:27","SRV","SRV   University of Massachusetts Lowell (women/students)",
,"23:10:01","03:29","RS","RS   University of Massachusetts Lowell (women/students)",
,"23:10:01","03:30","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:10:05","03:33","B","B   University of Massachusetts Lowell (women/students)",
,"23:10:05","03:33","P","[4 : 5]   P   University of Massachusetts Lowell (women/students)",
,"23:10:13","03:41","Pt Conf","Pt Conf   University of Massachusetts Lowell (women/students)",
,"23:10:19","03:47","SRV","SRV   University of Massachusetts Lowell (women/students)",
,"23:10:22","03:50","RS","RS   University of Massachusetts Lowell (women/students)",
,"23:10:23","03:51","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:10:23","03:51","K","K   New Hampshire Wildcats (women/students)",
,"23:10:23","03:51","P","[5 : 5]   P   New Hampshire Wildcats (women/students)",
,"23:10:39","04:08","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"23:10:47","04:15","SRV","SRV   New Hampshire Wildcats (women/students)",
,"23:10:51","04:19","RS","RS   New Hampshire Wildcats (women/students)",
,"23:10:51","04:19","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:10:52","04:20","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:10:56","04:24","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:10:59","04:27","K","K   University of Massachusetts Lowell (women/students)",
,"23:10:59","04:27","P","[5 : 6]   P   University of Massachusetts Lowell (women/students)",
,"23:11:10","04:38","Pt Conf","Pt Conf   University of Massachusetts Lowell (women/students)",
,"23:11:18","04:46","SRV","SRV   University of Massachusetts Lowell (women/students)",
,"23:11:21","04:49","RS","RS   University of Massachusetts Lowell (women/students)",
,"23:11:22","04:50","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:11:23","04:52","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:11:28","04:56","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:11:33","05:01","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:11:36","05:05","OUT","OUT   University of Massachusetts Lowell (women/students)",
,"23:11:36","05:05","P","[6 : 6]   P   New Hampshire Wildcats (women/students)",
,"23:11:46","05:15","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"23:11:51","05:19","SRV","SRV   New Hampshire Wildcats (women/students)",
,"23:11:53","05:21","RS","RS   New Hampshire Wildcats (women/students)",
,"23:11:53","05:21","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:11:56","05:24","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:12:00","05:28","K","K   New Hampshire Wildcats (women/students)",
,"23:12:00","05:28","P","[7 : 6]   P   New Hampshire Wildcats (women/students)",
,"23:12:10","05:38","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"23:12:13","05:41","SRV","SRV   New Hampshire Wildcats (women/students)",
,"23:12:16","05:44","RS","RS   New Hampshire Wildcats (women/students)",
,"23:12:16","05:44","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:12:19","05:47","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:12:26","05:54","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:12:27","05:55","ERR","ERR   University of Massachusetts Lowell (women/students)",
,"23:12:27","05:55","P","[8 : 6]   P   New Hampshire Wildcats (women/students)",
,"23:12:37","06:05","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"23:12:40","06:09","SRV","SRV   New Hampshire Wildcats (women/students)",
,"23:12:42","06:10","S ERR","S ERR   New Hampshire Wildcats (women/students)",
,"23:12:42","06:10","P","[8 : 7]   P   University of Massachusetts Lowell (women/students)",
,"23:12:53","06:21","Pt Conf","Pt Conf   University of Massachusetts Lowell (women/students)",
,"23:13:05","06:33","SRV","SRV   University of Massachusetts Lowell (women/students)",
,"23:13:07","06:35","RS","RS   University of Massachusetts Lowell (women/students)",
,"23:13:07","06:36","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:13:10","06:38","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:13:15","06:43","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:13:18","06:47","K","K   New Hampshire Wildcats (women/students)",
,"23:13:18","06:47","P","[9 : 7]   P   New Hampshire Wildcats (women/students)",
,"23:13:31","06:59","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"23:13:34","07:02","SRV","SRV   New Hampshire Wildcats (women/students)",
,"23:13:38","07:06","RS","RS   New Hampshire Wildcats (women/students)",
,"23:13:38","07:07","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:13:39","07:07","K","K   New Hampshire Wildcats (women/students)",
,"23:13:39","07:07","P","[10 : 7]   P   New Hampshire Wildcats (women/students)",
,"23:13:48","07:16","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"23:13:52","07:20","SRV","SRV   New Hampshire Wildcats (women/students)",
,"23:13:55","07:23","S ERR","S ERR   New Hampshire Wildcats (women/students)",
,"23:13:55","07:23","P","[10 : 8]   P   University of Massachusetts Lowell (women/students)",
,"23:14:18","07:46","Pt Conf","Pt Conf   University of Massachusetts Lowell (women/students)",
,"23:14:23","07:51","SRV","SRV   University of Massachusetts Lowell (women/students)",
,"23:14:25","07:53","RS","RS   University of Massachusetts Lowell (women/students)",
,"23:14:25","07:53","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:14:29","07:57","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:14:31","07:59","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:14:36","08:04","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:14:40","08:08","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:14:42","08:10","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:14:42","08:10","Rally over 5 possession changes","Rally over 5 possession changes",
,"23:14:47","08:15","B","B   New Hampshire Wildcats (women/students)",
,"23:14:47","08:15","P","[11 : 8]   P   New Hampshire Wildcats (women/students)",
,"23:15:02","08:30","Pt Conf","Pt Conf   New Hampshire Wildcats (women/students)",
,"23:15:10","08:38","SRV","SRV   New Hampshire Wildcats (women/students)",
,"23:15:12","08:40","RS","RS   New Hampshire Wildcats (women/students)",
,"23:15:12","08:40","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:15:15","08:44","B POSS","B POSS   New Hampshire Wildcats (women/students)",
,"23:15:19","08:47","B POSS","B POSS   University of Massachusetts Lowell (women/students)",
,"23:15:23","08:52","B POSS","B POSS   New Hampshire Wildcats (women/students)",
