"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"893665","Ukraine","Super League (women)","20.10.2017 - 14:00","Khimik Yuzhny Odessa (women)","VK Favorit Kyiv (women)",
"Statistics","Khimik Yuzhny Odessa (women)","Type","VK Favorit Kyiv (women)",
,"3","Score","0",
,"75","Points","33",
,"3","Sets","0",
,"6","Aces","5",
,"5","Service errors","1",
,"39","Kills","11",
,"3","Blocks","2",
,"6","Errors","15",
,"4","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:22:07","00:00","Game conditions changed","Game conditions changed",
,"13:22:09","00:00","Players warming up","Players warming up",
,"13:22:35","00:00","Jersey colours updated","Jersey colours updated",
,"13:22:35","00:00","Jersey colours updated","Jersey colours updated",
,"13:42:45","00:00","Coin flipping","Coin flipping",
,"13:43:51","00:00","Warm up at the net","Warm up at the net",
,"13:54:39","00:00","Players intro","Players intro",
,"13:54:45","00:00","Players lined up","Players lined up",
,"13:55:36","00:00","National anthem singing","National anthem singing",
,"13:57:05","00:00","Shake hands","Shake hands",
,"13:59:14","00:00","Game about to start","Game about to start",
,"13:59:50","00:00","Start SRV","Start SRV   VK Favorit Kyiv (women)",
,"13:59:53","00:00","Start 1st Set","Start 1st Set",
,"13:59:53","00:00","SRV","SRV   VK Favorit Kyiv (women)",
,"13:59:59","00:06","RS","RS   VK Favorit Kyiv (women)",
,"13:59:59","00:06","B POSS","B POSS   Khimik Yuzhny Odessa (women)",
,"14:00:04","00:10","K","K   Khimik Yuzhny Odessa (women)",
,"14:00:04","00:10","P","[1 : 0]   P   Khimik Yuzhny Odessa (women)",
,"14:00:07","00:13","Pt Conf","Pt Conf   Khimik Yuzhny Odessa (women)",
,"14:00:15","00:21","SRV","SRV   Khimik Yuzhny Odessa (women)",
,"14:00:21","00:28","RS","RS   Khimik Yuzhny Odessa (women)",
,"14:00:22","00:28","B POSS","B POSS   VK Favorit Kyiv (women)",
,"14:00:25","00:31","B POSS","B POSS   Khimik Yuzhny Odessa (women)",
,"14:00:30","00:36","B POSS","B POSS   VK Favorit Kyiv (women)",
,"14:00:34","00:40","B POSS","B POSS   Khimik Yuzhny Odessa (women)",
,"14:00:38","00:45","K","K   Khimik Yuzhny Odessa (women)",
,"14:00:38","00:45","P","[2 : 0]   P   Khimik Yuzhny Odessa (women)",
,"14:00:40","00:46","Pt Conf","Pt Conf   Khimik Yuzhny Odessa (women)",
,"14:00:49","00:55","SRV","SRV   Khimik Yuzhny Odessa (women)",
,"14:00:56","01:02","RS","RS   Khimik Yuzhny Odessa (women)",
,"14:00:56","01:03","B POSS","B POSS   VK Favorit Kyiv (women)",
,"14:01:02","01:09","OUT","OUT   VK Favorit Kyiv (women)",
,"14:01:02","01:09","P","[3 : 0]   P   Khimik Yuzhny Odessa (women)",
,"14:01:04","01:11","Pt Conf","Pt Conf   Khimik Yuzhny Odessa (women)",
,"14:01:11","01:18","SRV","SRV   Khimik Yuzhny Odessa (women)",
,"14:01:19","01:25","RS","RS   Khimik Yuzhny Odessa (women)",
,"14:01:19","01:26","B POSS","B POSS   VK Favorit Kyiv (women)",
,"14:01:23","01:30","B POSS","B POSS   Khimik Yuzhny Odessa (women)",
,"14:01:26","01:33","B POSS","B POSS   VK Favorit Kyiv (women)",
,"14:01:31","01:38","B POSS","B POSS   Khimik Yuzhny Odessa (women)",
,"14:01:35","01:41","K","K   Khimik Yuzhny Odessa (women)",
,"14:01:35","01:41","P","[4 : 0]   P   Khimik Yuzhny Odessa (women)",
,"14:01:36","01:43","Pt Conf","Pt Conf   Khimik Yuzhny Odessa (women)",
,"14:01:47","01:53","SRV","SRV   Khimik Yuzhny Odessa (women)",
,"14:01:54","02:01","RS","RS   Khimik Yuzhny Odessa (women)",
,"14:01:55","02:01","B POSS","B POSS   VK Favorit Kyiv (women)",
,"14:01:57","02:04","B POSS","B POSS   Khimik Yuzhny Odessa (women)",
,"14:02:01","02:08","B POSS","B POSS   VK Favorit Kyiv (women)",
,"14:02:06","02:13","K","K   Khimik Yuzhny Odessa (women)",
,"14:02:06","02:13","P","[5 : 0]   P   Khimik Yuzhny Odessa (women)",
,"14:02:08","02:15","Pt Conf","Pt Conf   Khimik Yuzhny Odessa (women)",
,"14:02:14","02:21","SRV","SRV   Khimik Yuzhny Odessa (women)",
,"14:02:22","02:29","RS","RS   Khimik Yuzhny Odessa (women)",
