"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888225","Belgium","Liga Heren (men)","21.10.2017 - 18:30","Lindemans Aalst","Axis Shanks Guibertin",
"Statistics","Lindemans Aalst","Type","Axis Shanks Guibertin",
,"3","Score","0",
,"75","Points","54",
,"3","Sets","0",
,"2","Aces","3",
,"12","Service errors","10",
,"35","Kills","26",
,"12","Blocks","4",
,"7","Errors","10",
,"2","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:54:36","00:00","Players warming up","Players warming up",
,"18:13:32","00:00","Jersey colours updated","Jersey colours updated",
,"18:13:32","00:00","Jersey colours updated","Jersey colours updated",
,"18:13:38","00:00","Game conditions changed","Game conditions changed",
,"18:13:40","00:00","Coin flipping","Coin flipping",
,"18:14:22","00:00","Warm up at the net","Warm up at the net",
,"18:25:57","00:00","Game conditions changed","Game conditions changed",
,"18:27:50","00:00","Players lined up","Players lined up",
,"18:28:20","00:00","Shake hands","Shake hands",
,"18:28:49","00:00","Players intro","Players intro",
,"18:30:49","00:00","Game about to start","Game about to start",
,"18:30:53","00:00","Start SRV","Start SRV   Axis Shanks Guibertin",
,"18:31:07","00:00","Start 1st Set","Start 1st Set",
,"18:31:07","00:00","SRV","SRV   Axis Shanks Guibertin",
,"18:31:09","00:01","RS","RS   Axis Shanks Guibertin",
,"18:31:09","00:02","B POSS","B POSS   Lindemans Aalst",
,"18:31:11","00:04","B POSS","B POSS   Axis Shanks Guibertin",
,"18:31:17","00:10","B","B   Lindemans Aalst",
,"18:31:17","00:10","P","[1 : 0]   P   Lindemans Aalst",
,"18:31:26","00:19","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:31:33","00:26","SRV","SRV   Lindemans Aalst",
,"18:31:35","00:28","RS","RS   Lindemans Aalst",
,"18:31:36","00:29","B POSS","B POSS   Axis Shanks Guibertin",
,"18:31:41","00:34","K","K   Axis Shanks Guibertin",
,"18:31:41","00:34","P","[1 : 1]   P   Axis Shanks Guibertin",
,"18:31:55","00:48","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:31:59","00:52","SRV","SRV   Axis Shanks Guibertin",
,"18:32:03","00:56","A","A   Axis Shanks Guibertin",
,"18:32:03","00:56","P","[1 : 2]   P   Axis Shanks Guibertin",
,"18:32:15","01:08","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:32:19","01:11","SRV","SRV   Axis Shanks Guibertin",
,"18:32:21","01:14","S ERR","S ERR   Axis Shanks Guibertin",
,"18:32:21","01:14","P","[2 : 2]   P   Lindemans Aalst",
,"18:32:33","01:26","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:32:39","01:32","SRV","SRV   Lindemans Aalst",
,"18:32:40","01:33","RS","RS   Lindemans Aalst",
,"18:32:41","01:34","B POSS","B POSS   Axis Shanks Guibertin",
,"18:32:45","01:38","K","K   Axis Shanks Guibertin",
,"18:32:45","01:38","P","[2 : 3]   P   Axis Shanks Guibertin",
,"18:33:01","01:54","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:33:06","01:59","SRV","SRV   Axis Shanks Guibertin",
,"18:33:10","02:03","RS","RS   Axis Shanks Guibertin",
,"18:33:10","02:03","B POSS","B POSS   Lindemans Aalst",
,"18:33:12","02:05","B POSS","B POSS   Axis Shanks Guibertin",
,"18:33:23","02:16","ERR","ERR   Axis Shanks Guibertin",
,"18:33:23","02:16","P","[3 : 3]   P   Lindemans Aalst",
,"18:33:35","02:28","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:33:38","02:31","SRV","SRV   Lindemans Aalst",
,"18:33:40","02:33","RS","RS   Lindemans Aalst",
,"18:33:41","02:34","B POSS","B POSS   Axis Shanks Guibertin",
,"18:33:46","02:39","K","K   Axis Shanks Guibertin",
,"18:33:46","02:39","P","[3 : 4]   P   Axis Shanks Guibertin",
,"18:33:57","02:50","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:34:02","02:55","SRV","SRV   Axis Shanks Guibertin",
,"18:34:05","02:58","RS","RS   Axis Shanks Guibertin",
,"18:34:05","02:58","B POSS","B POSS   Lindemans Aalst",
,"18:34:10","03:03","K","K   Lindemans Aalst",
,"18:34:10","03:03","P","[4 : 4]   P   Lindemans Aalst",
,"18:34:21","03:14","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:34:26","03:19","SRV","SRV   Lindemans Aalst",
,"18:34:28","03:21","RS","RS   Lindemans Aalst",
,"18:34:28","03:21","B POSS","B POSS   Axis Shanks Guibertin",
,"18:34:32","03:25","K","K   Axis Shanks Guibertin",
,"18:34:32","03:25","P","[4 : 5]   P   Axis Shanks Guibertin",
,"18:34:50","03:43","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:34:52","03:45","SRV","SRV   Axis Shanks Guibertin",
,"18:34:54","03:47","RS","RS   Axis Shanks Guibertin",
,"18:34:54","03:47","B POSS","B POSS   Lindemans Aalst",
,"18:35:00","03:53","K","K   Lindemans Aalst",
,"18:35:00","03:53","P","[5 : 5]   P   Lindemans Aalst",
,"18:35:14","04:07","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:35:21","04:14","SRV","SRV   Lindemans Aalst",
,"18:35:23","04:16","RS","RS   Lindemans Aalst",
,"18:35:24","04:17","B POSS","B POSS   Axis Shanks Guibertin",
,"18:35:30","04:23","OUT","OUT   Axis Shanks Guibertin",
,"18:35:30","04:23","P","[6 : 5]   P   Lindemans Aalst",
,"18:35:42","04:35","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:35:49","04:42","SRV","SRV   Lindemans Aalst",
,"18:35:54","04:47","S ERR","S ERR   Lindemans Aalst",
,"18:35:54","04:47","P","[6 : 6]   P   Axis Shanks Guibertin",
,"18:36:05","04:58","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:36:07","05:00","SRV","SRV   Axis Shanks Guibertin",
,"18:36:09","05:02","RS","RS   Axis Shanks Guibertin",
,"18:36:09","05:02","B POSS","B POSS   Lindemans Aalst",
,"18:36:14","05:06","K","K   Lindemans Aalst",
,"18:36:14","05:06","P","[7 : 6]   P   Lindemans Aalst",
,"18:36:24","05:17","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:36:30","05:23","SRV","SRV   Lindemans Aalst",
,"18:36:32","05:25","RS","RS   Lindemans Aalst",
,"18:36:33","05:26","B POSS","B POSS   Axis Shanks Guibertin",
,"18:36:33","05:26","B POSS","B POSS   Lindemans Aalst",
,"18:36:41","05:34","ERR","ERR   Axis Shanks Guibertin",
,"18:36:41","05:34","P","[8 : 6]   P   Lindemans Aalst",
,"18:36:45","05:38","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:36:46","05:39","TIME","TIME",
,"18:36:47","05:40","TTO","TTO",
,"18:37:57","06:50","SRV","SRV   Lindemans Aalst",
,"18:37:58","06:51","RS","RS   Lindemans Aalst",
,"18:37:59","06:52","B POSS","B POSS   Axis Shanks Guibertin",
,"18:38:02","06:55","B POSS","B POSS   Lindemans Aalst",
,"18:38:04","06:57","B POSS","B POSS   Axis Shanks Guibertin",
,"18:38:11","07:04","K","K   Axis Shanks Guibertin",
,"18:38:11","07:04","P","[8 : 7]   P   Axis Shanks Guibertin",
,"18:38:23","07:16","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:38:25","07:18","SRV","SRV   Axis Shanks Guibertin",
,"18:38:29","07:22","S ERR","S ERR   Axis Shanks Guibertin",
,"18:38:29","07:22","P","[9 : 7]   P   Lindemans Aalst",
,"18:38:41","07:34","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:38:45","07:38","SRV","SRV   Lindemans Aalst",
,"18:38:47","07:39","RS","RS   Lindemans Aalst",
,"18:38:47","07:40","B POSS","B POSS   Axis Shanks Guibertin",
,"18:38:50","07:43","B POSS","B POSS   Lindemans Aalst",
,"18:38:56","07:49","K","K   Lindemans Aalst",
,"18:38:56","07:49","P","[10 : 7]   P   Lindemans Aalst",
,"18:39:07","08:00","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:39:08","08:01","TIME","TIME",
,"18:39:09","08:02","TIME","TIME   Axis Shanks Guibertin",
,"18:40:04","08:56","SRV","SRV   Lindemans Aalst",
,"18:40:05","08:58","RS","RS   Lindemans Aalst",
,"18:40:06","08:59","B POSS","B POSS   Axis Shanks Guibertin",
,"18:40:11","09:04","K","K   Axis Shanks Guibertin",
,"18:40:11","09:04","P","[10 : 8]   P   Axis Shanks Guibertin",
,"18:40:21","09:14","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:40:24","09:17","SRV","SRV   Axis Shanks Guibertin",
,"18:40:27","09:19","RS","RS   Axis Shanks Guibertin",
,"18:40:27","09:20","B POSS","B POSS   Lindemans Aalst",
,"18:40:31","09:24","K","K   Lindemans Aalst",
,"18:40:31","09:24","P","[11 : 8]   P   Lindemans Aalst",
,"18:40:43","09:36","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:40:47","09:40","SRV","SRV   Lindemans Aalst",
,"18:40:49","09:42","RS","RS   Lindemans Aalst",
,"18:40:50","09:42","B POSS","B POSS   Axis Shanks Guibertin",
,"18:40:53","09:46","K","K   Axis Shanks Guibertin",
,"18:40:53","09:46","P","[11 : 9]   P   Axis Shanks Guibertin",
,"18:41:06","09:59","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:41:10","10:03","SRV","SRV   Axis Shanks Guibertin",
,"18:41:12","10:05","RS","RS   Axis Shanks Guibertin",
,"18:41:12","10:05","B POSS","B POSS   Lindemans Aalst",
,"18:41:18","10:11","K","K   Lindemans Aalst",
,"18:41:18","10:11","P","[12 : 9]   P   Lindemans Aalst",
,"18:41:31","10:24","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:41:33","10:26","SRV","SRV   Lindemans Aalst",
,"18:41:35","10:28","RS","RS   Lindemans Aalst",
,"18:41:35","10:28","B POSS","B POSS   Axis Shanks Guibertin",
,"18:41:40","10:33","K","K   Axis Shanks Guibertin",
,"18:41:40","10:33","P","[12 : 10]   P   Axis Shanks Guibertin",
,"18:41:54","10:46","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:41:57","10:50","SRV","SRV   Axis Shanks Guibertin",
,"18:41:58","10:51","RS","RS   Axis Shanks Guibertin",
,"18:41:59","10:52","B POSS","B POSS   Lindemans Aalst",
,"18:42:03","10:56","K","K   Lindemans Aalst",
,"18:42:03","10:56","P","[13 : 10]   P   Lindemans Aalst",
,"18:42:22","11:15","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:42:25","11:18","SRV","SRV   Lindemans Aalst",
,"18:42:28","11:21","S ERR","S ERR   Lindemans Aalst",
,"18:42:28","11:21","P","[13 : 11]   P   Axis Shanks Guibertin",
,"18:42:38","11:31","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:42:43","11:36","SRV","SRV   Axis Shanks Guibertin",
,"18:42:45","11:38","RS","RS   Axis Shanks Guibertin",
,"18:42:46","11:39","B POSS","B POSS   Lindemans Aalst",
,"18:42:49","11:41","K","K   Lindemans Aalst",
,"18:42:49","11:41","P","[14 : 11]   P   Lindemans Aalst",
,"18:43:02","11:55","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:43:10","12:03","SRV","SRV   Lindemans Aalst",
,"18:43:12","12:04","RS","RS   Lindemans Aalst",
,"18:43:12","12:05","B POSS","B POSS   Axis Shanks Guibertin",
,"18:43:18","12:11","ERR","ERR   Axis Shanks Guibertin",
,"18:43:18","12:11","P","[15 : 11]   P   Lindemans Aalst",
,"18:43:27","12:20","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:43:36","12:29","SRV","SRV   Lindemans Aalst",
,"18:43:37","12:30","RS","RS   Lindemans Aalst",
,"18:43:38","12:31","B POSS","B POSS   Axis Shanks Guibertin",
,"18:43:41","12:34","B","B   Lindemans Aalst",
,"18:43:41","12:34","P","[16 : 11]   P   Lindemans Aalst",
,"18:43:44","12:37","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:43:45","12:38","TIME","TIME",
,"18:43:46","12:39","TTO","TTO",
,"18:45:14","14:06","SRV","SRV   Lindemans Aalst",
,"18:45:15","14:08","RS","RS   Lindemans Aalst",
,"18:45:15","14:08","B POSS","B POSS   Axis Shanks Guibertin",
,"18:45:20","14:13","B POSS","B POSS   Lindemans Aalst",
,"18:45:26","14:19","K","K   Lindemans Aalst",
,"18:45:26","14:19","P","[17 : 11]   P   Lindemans Aalst",
,"18:45:36","14:29","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:45:36","14:29","TIME","TIME",
,"18:45:37","14:30","TIME","TIME   Axis Shanks Guibertin",
,"18:46:32","15:25","SRV","SRV   Lindemans Aalst",
,"18:46:33","15:26","RS","RS   Lindemans Aalst",
,"18:46:34","15:27","B POSS","B POSS   Axis Shanks Guibertin",
,"18:46:41","15:33","B","B   Lindemans Aalst",
,"18:46:41","15:33","P","[18 : 11]   P   Lindemans Aalst",
,"18:47:09","16:02","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:47:10","16:03","SRV","SRV   Lindemans Aalst",
,"18:47:11","16:04","RS","RS   Lindemans Aalst",
,"18:47:11","16:04","B POSS","B POSS   Axis Shanks Guibertin",
,"18:47:20","16:13","K","K   Axis Shanks Guibertin",
,"18:47:20","16:13","P","[18 : 12]   P   Axis Shanks Guibertin",
,"18:47:30","16:23","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:47:32","16:25","SRV","SRV   Axis Shanks Guibertin",
,"18:47:34","16:27","RS","RS   Axis Shanks Guibertin",
,"18:47:35","16:28","B POSS","B POSS   Lindemans Aalst",
,"18:47:42","16:35","ERR","ERR   Axis Shanks Guibertin",
,"18:47:42","16:35","P","[19 : 12]   P   Lindemans Aalst",
,"18:47:52","16:45","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:47:56","16:49","SRV","SRV   Lindemans Aalst",
,"18:47:58","16:51","RS","RS   Lindemans Aalst",
,"18:47:58","16:51","B POSS","B POSS   Axis Shanks Guibertin",
,"18:48:03","16:56","K","K   Axis Shanks Guibertin",
,"18:48:03","16:56","P","[19 : 13]   P   Axis Shanks Guibertin",
,"18:48:17","17:10","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:48:18","17:11","SRV","SRV   Axis Shanks Guibertin",
,"18:48:20","17:13","RS","RS   Axis Shanks Guibertin",
,"18:48:21","17:13","B POSS","B POSS   Lindemans Aalst",
,"18:48:24","17:17","K","K   Lindemans Aalst",
,"18:48:24","17:17","P","[20 : 13]   P   Lindemans Aalst",
,"18:48:34","17:27","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:48:40","17:33","SRV","SRV   Lindemans Aalst",
,"18:48:45","17:38","S ERR","S ERR   Lindemans Aalst",
,"18:48:45","17:38","P","[20 : 14]   P   Axis Shanks Guibertin",
,"18:48:55","17:48","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:48:59","17:52","SRV","SRV   Axis Shanks Guibertin",
,"18:49:02","17:55","RS","RS   Axis Shanks Guibertin",
,"18:49:02","17:55","B POSS","B POSS   Lindemans Aalst",
,"18:49:07","18:00","ERR","ERR   Axis Shanks Guibertin",
,"18:49:07","18:00","P","[21 : 14]   P   Lindemans Aalst",
,"18:49:22","18:15","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:49:23","18:16","SRV","SRV   Lindemans Aalst",
,"18:49:26","18:19","S ERR","S ERR   Lindemans Aalst",
,"18:49:26","18:19","P","[21 : 15]   P   Axis Shanks Guibertin",
,"18:49:37","18:30","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:49:41","18:34","SRV","SRV   Axis Shanks Guibertin",
,"18:49:45","18:38","S ERR","S ERR   Axis Shanks Guibertin",
,"18:49:45","18:38","P","[22 : 15]   P   Lindemans Aalst",
,"18:49:56","18:49","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:49:56","18:49","SRV","SRV   Lindemans Aalst",
,"18:49:58","18:51","RS","RS   Lindemans Aalst",
,"18:49:59","18:52","B POSS","B POSS   Axis Shanks Guibertin",
,"18:50:05","18:58","OUT","OUT   Axis Shanks Guibertin",
,"18:50:05","18:58","P","[23 : 15]   P   Lindemans Aalst",
,"18:50:16","19:09","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:50:17","19:10","SRV","SRV   Lindemans Aalst",
,"18:50:18","19:11","RS","RS   Lindemans Aalst",
,"18:50:19","19:12","B POSS","B POSS   Axis Shanks Guibertin",
,"18:50:24","19:17","B POSS","B POSS   Lindemans Aalst",
,"18:50:32","19:25","ERR","ERR   Lindemans Aalst",
,"18:50:32","19:25","P","[23 : 16]   P   Axis Shanks Guibertin",
,"18:50:42","19:35","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:50:48","19:41","SRV","SRV   Axis Shanks Guibertin",
,"18:50:50","19:43","RS","RS   Axis Shanks Guibertin",
,"18:50:50","19:43","B POSS","B POSS   Lindemans Aalst",
,"18:50:56","19:49","OUT","OUT   Lindemans Aalst",
,"18:50:56","19:49","P","[23 : 17]   P   Axis Shanks Guibertin",
,"18:51:06","19:59","Pt Conf","Pt Conf   Axis Shanks Guibertin",
,"18:51:12","20:05","SRV","SRV   Axis Shanks Guibertin",
,"18:51:14","20:07","RS","RS   Axis Shanks Guibertin",
,"18:51:14","20:07","B POSS","B POSS   Lindemans Aalst",
,"18:51:19","20:12","K","K   Lindemans Aalst",
,"18:51:19","20:12","P","[24 : 17]   P   Lindemans Aalst",
,"18:51:30","20:23","Pt Conf","Pt Conf   Lindemans Aalst",
,"18:51:36","20:29","SRV","SRV   Lindemans Aalst",
,"18:51:38","20:30","RS","RS   Lindemans Aalst",
,"18:51:38","20:31","B POSS","B POSS   Axis Shanks Guibertin",
