"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"878770","Brazil","Superliga (men)","21.10.2017 - 20:30","Funvic/Taubate","Maringa Volei",
"Statistics","Funvic/Taubate","Type","Maringa Volei",
,"3","Score","0",
,"75","Points","55",
,"3","Sets","0",
,"3","Aces","1",
,"11","Service errors","20",
,"31","Kills","27",
,"9","Blocks","4",
,"4","Errors","7",
,"8","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"19:58:52","00:00","Game conditions changed","Game conditions changed",
,"19:58:55","00:00","Players warming up","Players warming up",
,"19:59:36","00:00","Jersey colours updated","Jersey colours updated",
,"19:59:36","00:00","Jersey colours updated","Jersey colours updated",
,"20:16:06","00:00","National anthem singing","National anthem singing",
,"20:16:09","00:00","Game conditions changed","Game conditions changed",
,"20:19:13","00:00","Warm up at the net","Warm up at the net",
,"20:28:57","00:00","Game conditions changed","Game conditions changed",
,"20:30:35","00:00","Players intro","Players intro",
,"20:31:38","00:00","Game about to start","Game about to start",
,"20:31:39","00:00","Start SRV","Start SRV   Maringa Volei",
,"20:31:52","00:00","Start 1st Set","Start 1st Set",
,"20:31:53","00:00","SRV","SRV   Maringa Volei",
,"20:31:54","00:02","S ERR","S ERR   Maringa Volei",
,"20:31:54","00:02","P","[1 : 0]   P   Funvic/Taubate",
,"20:32:09","00:16","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:32:16","00:23","SRV","SRV   Funvic/Taubate",
,"20:32:17","00:25","RS","RS   Funvic/Taubate",
,"20:32:18","00:25","B POSS","B POSS   Maringa Volei",
,"20:32:23","00:31","K","K   Maringa Volei",
,"20:32:23","00:31","P","[1 : 1]   P   Maringa Volei",
,"20:32:42","00:49","Pt Conf","Pt Conf   Maringa Volei",
,"20:32:47","00:55","SRV","SRV   Maringa Volei",
,"20:32:50","00:57","RS","RS   Maringa Volei",
,"20:32:50","00:57","B POSS","B POSS   Funvic/Taubate",
,"20:32:53","01:01","K","K   Funvic/Taubate",
,"20:32:53","01:01","P","[2 : 1]   P   Funvic/Taubate",
,"20:33:17","01:24","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:33:23","01:31","SRV","SRV   Funvic/Taubate",
,"20:33:26","01:34","RS","RS   Funvic/Taubate",
,"20:33:27","01:34","B POSS","B POSS   Maringa Volei",
,"20:33:30","01:37","B POSS","B POSS   Funvic/Taubate",
,"20:33:32","01:40","K","K   Funvic/Taubate",
,"20:33:32","01:40","P","[3 : 1]   P   Funvic/Taubate",
,"20:34:05","02:13","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:34:12","02:19","SRV","SRV   Funvic/Taubate",
,"20:34:14","02:21","RS","RS   Funvic/Taubate",
,"20:34:14","02:22","B POSS","B POSS   Maringa Volei",
,"20:34:18","02:26","ERR","ERR   Funvic/Taubate",
,"20:34:18","02:26","P","[3 : 2]   P   Maringa Volei",
,"20:34:34","02:41","Pt Conf","Pt Conf   Maringa Volei",
,"20:34:37","02:45","SRV","SRV   Maringa Volei",
,"20:34:40","02:47","RS","RS   Maringa Volei",
,"20:34:40","02:48","B POSS","B POSS   Funvic/Taubate",
,"20:34:45","02:53","ERR","ERR   Maringa Volei",
,"20:34:45","02:53","P","[4 : 2]   P   Funvic/Taubate",
,"20:34:59","03:06","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:35:03","03:10","SRV","SRV   Funvic/Taubate",
,"20:35:05","03:12","RS","RS   Funvic/Taubate",
,"20:35:05","03:13","B POSS","B POSS   Maringa Volei",
,"20:35:06","03:14","ERR","ERR   Maringa Volei",
,"20:35:06","03:14","P","[5 : 2]   P   Funvic/Taubate",
,"20:35:21","03:28","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:35:26","03:33","SRV","SRV   Funvic/Taubate",
,"20:35:28","03:36","RS","RS   Funvic/Taubate",
,"20:35:29","03:36","B POSS","B POSS   Maringa Volei",
,"20:35:32","03:39","K","K   Maringa Volei",
,"20:35:32","03:39","P","[5 : 3]   P   Maringa Volei",
,"20:35:50","03:58","Pt Conf","Pt Conf   Maringa Volei",
,"20:35:54","04:02","SRV","SRV   Maringa Volei",
,"20:35:56","04:03","S ERR","S ERR   Maringa Volei",
,"20:35:56","04:03","P","[6 : 3]   P   Funvic/Taubate",
,"20:36:11","04:18","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:36:15","04:22","SRV","SRV   Funvic/Taubate",
,"20:36:18","04:25","RS","RS   Funvic/Taubate",
,"20:36:18","04:26","B POSS","B POSS   Maringa Volei",
,"20:36:22","04:30","K","K   Maringa Volei",
,"20:36:22","04:30","P","[6 : 4]   P   Maringa Volei",
,"20:36:36","04:44","Pt Conf","Pt Conf   Maringa Volei",
,"20:36:42","04:50","SRV","SRV   Maringa Volei",
,"20:36:44","04:52","RS","RS   Maringa Volei",
,"20:36:45","04:52","B POSS","B POSS   Funvic/Taubate",
,"20:36:52","04:59","K","K   Funvic/Taubate",
,"20:36:52","04:59","P","[7 : 4]   P   Funvic/Taubate",
,"20:37:06","05:14","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:37:13","05:20","SRV","SRV   Funvic/Taubate",
,"20:37:15","05:23","S ERR","S ERR   Funvic/Taubate",
,"20:37:15","05:23","P","[7 : 5]   P   Maringa Volei",
,"20:37:28","05:36","Pt Conf","Pt Conf   Maringa Volei",
,"20:37:35","05:42","SRV","SRV   Maringa Volei",
,"20:37:37","05:45","RS","RS   Maringa Volei",
,"20:37:38","05:46","B POSS","B POSS   Funvic/Taubate",
,"20:37:41","05:49","OUT","OUT   Funvic/Taubate",
,"20:37:41","05:49","P","[7 : 6]   P   Maringa Volei",
,"20:37:56","06:04","Pt Conf","Pt Conf   Maringa Volei",
,"20:38:04","06:12","SRV","SRV   Maringa Volei",
,"20:38:07","06:14","RS","RS   Maringa Volei",
,"20:38:07","06:15","B POSS","B POSS   Funvic/Taubate",
,"20:38:12","06:19","K","K   Funvic/Taubate",
,"20:38:12","06:19","P","[8 : 6]   P   Funvic/Taubate",
,"20:38:29","06:36","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:38:36","06:44","SRV","SRV   Funvic/Taubate",
,"20:38:38","06:46","S ERR","S ERR   Funvic/Taubate",
,"20:38:38","06:46","P","[8 : 7]   P   Maringa Volei",
,"20:38:52","06:59","Pt Conf","Pt Conf   Maringa Volei",
,"20:38:57","07:05","SRV","SRV   Maringa Volei",
,"20:38:59","07:07","RS","RS   Maringa Volei",
,"20:39:00","07:07","B POSS","B POSS   Funvic/Taubate",
,"20:39:03","07:10","B POSS","B POSS   Maringa Volei",
,"20:39:06","07:14","B","B   Funvic/Taubate",
,"20:39:06","07:14","P","[9 : 7]   P   Funvic/Taubate",
,"20:39:26","07:33","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:39:33","07:40","SRV","SRV   Funvic/Taubate",
,"20:39:35","07:42","RS","RS   Funvic/Taubate",
,"20:39:35","07:43","B POSS","B POSS   Maringa Volei",
,"20:39:37","07:44","K","K   Maringa Volei",
,"20:39:37","07:44","P","[9 : 8]   P   Maringa Volei",
,"20:39:56","08:03","Pt Conf","Pt Conf   Maringa Volei",
,"20:40:00","08:07","SRV","SRV   Maringa Volei",
,"20:40:01","08:09","RS","RS   Maringa Volei",
,"20:40:02","08:09","B POSS","B POSS   Funvic/Taubate",
,"20:40:06","08:13","K","K   Funvic/Taubate",
,"20:40:06","08:13","P","[10 : 8]   P   Funvic/Taubate",
,"20:40:22","08:29","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:40:28","08:35","SRV","SRV   Funvic/Taubate",
,"20:40:30","08:37","RS","RS   Funvic/Taubate",
,"20:40:30","08:38","B POSS","B POSS   Maringa Volei",
,"20:40:35","08:43","K","K   Maringa Volei",
,"20:40:35","08:43","P","[10 : 9]   P   Maringa Volei",
,"20:41:37","09:44","Pt Conf","Pt Conf   Maringa Volei",
,"20:41:37","09:45","SRV","SRV   Maringa Volei",
,"20:41:40","09:47","RS","RS   Maringa Volei",
,"20:41:40","09:48","B POSS","B POSS   Funvic/Taubate",
,"20:41:43","09:50","B POSS","B POSS   Maringa Volei",
,"20:41:47","09:54","B","B   Funvic/Taubate",
,"20:41:47","09:54","P","[11 : 9]   P   Funvic/Taubate",
,"20:42:07","10:14","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:42:10","10:17","SRV","SRV   Funvic/Taubate",
,"20:42:12","10:19","RS","RS   Funvic/Taubate",
,"20:42:12","10:20","B POSS","B POSS   Maringa Volei",
,"20:42:17","10:25","B POSS","B POSS   Funvic/Taubate",
,"20:42:21","10:28","B POSS","B POSS   Maringa Volei",
,"20:42:26","10:33","OUT","OUT   Maringa Volei",
,"20:42:26","10:33","P","[12 : 9]   P   Funvic/Taubate",
,"20:42:43","10:50","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:42:48","10:56","SRV","SRV   Funvic/Taubate",
,"20:42:50","10:58","RS","RS   Funvic/Taubate",
,"20:42:51","10:58","B POSS","B POSS   Maringa Volei",
,"20:43:00","11:07","K","K   Maringa Volei",
,"20:43:00","11:07","P","[12 : 10]   P   Maringa Volei",
,"20:43:18","11:26","Pt Conf","Pt Conf   Maringa Volei",
,"20:43:23","11:31","SRV","SRV   Maringa Volei",
,"20:43:26","11:33","S ERR","S ERR   Maringa Volei",
,"20:43:26","11:33","P","[13 : 10]   P   Funvic/Taubate",
,"20:43:39","11:46","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:43:44","11:51","SRV","SRV   Funvic/Taubate",
,"20:43:46","11:54","RS","RS   Funvic/Taubate",
,"20:43:47","11:54","B POSS","B POSS   Maringa Volei",
,"20:43:49","11:56","B POSS","B POSS   Funvic/Taubate",
,"20:43:57","12:04","OUT","OUT   Funvic/Taubate",
,"20:43:57","12:04","P","[13 : 11]   P   Maringa Volei",
,"20:44:26","12:33","Pt Conf","Pt Conf   Maringa Volei",
,"20:44:32","12:39","SRV","SRV   Maringa Volei",
,"20:44:35","12:43","RS","RS   Maringa Volei",
,"20:44:36","12:43","B POSS","B POSS   Funvic/Taubate",
,"20:44:38","12:45","B","B   Maringa Volei",
,"20:44:38","12:45","P","[13 : 12]   P   Maringa Volei",
,"20:45:08","13:16","Pt Conf","Pt Conf   Maringa Volei",
,"20:45:12","13:19","SRV","SRV   Maringa Volei",
,"20:45:14","13:21","S ERR","S ERR   Maringa Volei",
,"20:45:14","13:21","P","[14 : 12]   P   Funvic/Taubate",
,"20:45:30","13:37","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:45:37","13:44","SRV","SRV   Funvic/Taubate",
,"20:45:39","13:46","RS","RS   Funvic/Taubate",
,"20:45:39","13:47","B POSS","B POSS   Maringa Volei",
,"20:45:42","13:49","K","K   Maringa Volei",
,"20:45:42","13:49","P","[14 : 13]   P   Maringa Volei",
,"20:46:00","14:07","Pt Conf","Pt Conf   Maringa Volei",
,"20:46:05","14:13","SRV","SRV   Maringa Volei",
,"20:46:06","14:14","S ERR","S ERR   Maringa Volei",
,"20:46:06","14:14","P","[15 : 13]   P   Funvic/Taubate",
,"20:46:22","14:29","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:46:30","14:37","SRV","SRV   Funvic/Taubate",
,"20:46:32","14:40","RS","RS   Funvic/Taubate",
,"20:46:33","14:40","B POSS","B POSS   Maringa Volei",
,"20:46:36","14:43","K","K   Maringa Volei",
,"20:46:36","14:43","P","[15 : 14]   P   Maringa Volei",
,"20:46:58","15:05","Pt Conf","Pt Conf   Maringa Volei",
,"20:47:04","15:11","SRV","SRV   Maringa Volei",
,"20:47:06","15:13","RS","RS   Maringa Volei",
,"20:47:06","15:13","B POSS","B POSS   Funvic/Taubate",
,"20:47:08","15:15","K","K   Funvic/Taubate",
,"20:47:08","15:15","P","[16 : 14]   P   Funvic/Taubate",
,"20:47:27","15:35","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:47:35","15:42","SRV","SRV   Funvic/Taubate",
,"20:47:37","15:44","RS","RS   Funvic/Taubate",
,"20:47:37","15:45","B POSS","B POSS   Maringa Volei",
,"20:47:40","15:48","K","K   Maringa Volei",
,"20:47:40","15:48","P","[16 : 15]   P   Maringa Volei",
,"20:47:59","16:06","Pt Conf","Pt Conf   Maringa Volei",
,"20:48:04","16:11","SRV","SRV   Maringa Volei",
,"20:48:06","16:14","RS","RS   Maringa Volei",
,"20:48:06","16:14","B POSS","B POSS   Funvic/Taubate",
,"20:48:10","16:18","OUT","OUT   Funvic/Taubate",
,"20:48:10","16:18","P","[16 : 16]   P   Maringa Volei",
,"20:48:28","16:35","Pt Conf","Pt Conf   Maringa Volei",
,"20:48:35","16:43","SRV","SRV   Maringa Volei",
,"20:48:37","16:45","S ERR","S ERR   Maringa Volei",
,"20:48:37","16:45","P","[17 : 16]   P   Funvic/Taubate",
,"20:48:54","17:01","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:49:21","17:28","SRV","SRV   Funvic/Taubate",
,"20:49:23","17:30","A","A   Funvic/Taubate",
,"20:49:23","17:30","P","[18 : 16]   P   Funvic/Taubate",
,"20:49:55","18:03","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:50:03","18:10","SRV","SRV   Funvic/Taubate",
,"20:50:06","18:13","RS","RS   Funvic/Taubate",
,"20:50:06","18:13","B POSS","B POSS   Maringa Volei",
,"20:50:08","18:16","B","B   Funvic/Taubate",
,"20:50:08","18:16","P","[19 : 16]   P   Funvic/Taubate",
,"20:50:28","18:35","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:50:29","18:36","TIME","TIME",
,"20:50:30","18:37","TIME","TIME   Maringa Volei",
,"20:51:41","19:48","SRV","SRV   Funvic/Taubate",
,"20:51:43","19:51","S ERR","S ERR   Funvic/Taubate",
,"20:51:43","19:51","P","[19 : 17]   P   Maringa Volei",
,"20:52:01","20:09","Pt Conf","Pt Conf   Maringa Volei",
,"20:52:05","20:12","SRV","SRV   Maringa Volei",
,"20:52:07","20:14","S ERR","S ERR   Maringa Volei",
,"20:52:07","20:14","P","[20 : 17]   P   Funvic/Taubate",
,"20:52:27","20:34","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:52:28","20:35","SRV","SRV   Funvic/Taubate",
,"20:52:30","20:37","RS","RS   Funvic/Taubate",
,"20:52:30","20:37","B POSS","B POSS   Maringa Volei",
,"20:52:32","20:39","K","K   Maringa Volei",
,"20:52:32","20:39","P","[20 : 18]   P   Maringa Volei",
,"20:52:46","20:53","Pt Conf","Pt Conf   Maringa Volei",
,"20:52:53","21:01","SRV","SRV   Maringa Volei",
,"20:52:55","21:03","S ERR","S ERR   Maringa Volei",
,"20:52:55","21:03","P","[21 : 18]   P   Funvic/Taubate",
,"20:53:20","21:27","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:53:23","21:30","SRV","SRV   Funvic/Taubate",
,"20:53:25","21:32","RS","RS   Funvic/Taubate",
,"20:53:25","21:33","B POSS","B POSS   Maringa Volei",
,"20:53:29","21:36","B","B   Funvic/Taubate",
,"20:53:29","21:36","P","[22 : 18]   P   Funvic/Taubate",
,"20:53:44","21:52","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:53:49","21:56","SRV","SRV   Funvic/Taubate",
,"20:53:51","21:59","S ERR","S ERR   Funvic/Taubate",
,"20:53:51","21:59","P","[22 : 19]   P   Maringa Volei",
,"20:54:05","22:12","Pt Conf","Pt Conf   Maringa Volei",
,"20:54:10","22:18","SRV","SRV   Maringa Volei",
,"20:54:13","22:21","S ERR","S ERR   Maringa Volei",
,"20:54:13","22:21","P","[23 : 19]   P   Funvic/Taubate",
,"20:54:57","23:05","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:54:58","23:06","SRV","SRV   Funvic/Taubate",
,"20:55:00","23:07","RS","RS   Funvic/Taubate",
,"20:55:00","23:08","B POSS","B POSS   Maringa Volei",
,"20:55:01","23:09","K","K   Funvic/Taubate",
,"20:55:01","23:09","P","[24 : 19]   P   Funvic/Taubate",
,"20:55:10","23:17","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:55:10","23:18","TIME","TIME",
,"20:55:11","23:18","TIME","TIME   Maringa Volei",
,"20:56:06","24:13","SRV","SRV   Funvic/Taubate",
,"20:56:08","24:15","S ERR","S ERR   Funvic/Taubate",
,"20:56:08","24:15","P","[24 : 20]   P   Maringa Volei",
,"20:56:34","24:42","Pt Conf","Pt Conf   Maringa Volei",
,"20:56:41","24:49","SRV","SRV   Maringa Volei",
,"20:56:43","24:51","S ERR","S ERR   Maringa Volei",
,"20:56:43","24:51","P","[25 : 20]   P   Funvic/Taubate",
,"20:56:47","24:54","Pt Conf","Pt Conf   Funvic/Taubate",
,"20:56:47","24:55","S","S   Funvic/Taubate",
,"20:56:47","24:55","Stop Set","Stop Set",
,"20:56:58","25:06","Score of last period confirmed","Score of last period confirmed",
,"21:00:39","28:46","Start SRV","Start SRV   Funvic/Taubate",
,"21:00:41","28:49","Game about to start","Game about to start",
,"21:01:04","29:11","Start 2nd Set","Start 2nd Set",
,"21:01:07","29:14","SRV","SRV   Funvic/Taubate",
,"21:01:08","29:15","RS","RS   Funvic/Taubate",
,"21:01:08","29:16","B POSS","B POSS   Maringa Volei",
,"21:01:10","29:18","OUT","OUT   Maringa Volei",
,"21:01:10","29:18","P","[1 : 0]   P   Funvic/Taubate",
,"21:01:29","29:36","Pt Conf","Pt Conf   Funvic/Taubate",
,"21:01:37","29:44","SRV","SRV   Funvic/Taubate",
,"21:01:39","29:46","RS","RS   Funvic/Taubate",
,"21:01:40","29:47","B POSS","B POSS   Maringa Volei",
,"21:01:41","29:49","K","K   Maringa Volei",
,"21:01:41","29:49","P","[1 : 1]   P   Maringa Volei",
,"21:02:02","30:10","Pt Conf","Pt Conf   Maringa Volei",
,"21:02:10","30:17","SRV","SRV   Maringa Volei",
,"21:02:12","30:20","RS","RS   Maringa Volei",
,"21:02:13","30:20","B POSS","B POSS   Funvic/Taubate",
,"21:02:16","30:23","K","K   Funvic/Taubate",
,"21:02:16","30:23","P","[2 : 1]   P   Funvic/Taubate",
,"21:02:43","30:50","Pt Conf","Pt Conf   Funvic/Taubate",
,"21:02:49","30:57","SRV","SRV   Funvic/Taubate",
,"21:02:51","30:58","S ERR","S ERR   Funvic/Taubate",
,"21:02:51","30:58","P","[2 : 2]   P   Maringa Volei",
,"21:03:04","31:12","Pt Conf","Pt Conf   Maringa Volei",
,"21:03:11","31:18","SRV","SRV   Maringa Volei",
