"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"878769","Brazil","Superliga (men)","21.10.2017 - 23:30","Volei Campinas","Canoas Volei",
"Statistics","Volei Campinas","Type","Canoas Volei",
,"0","Score","3",
,"61","Points","75",
,"0","Sets","3",
,"3","Aces","4",
,"10","Service errors","9",
,"35","Kills","39",
,"6","Blocks","14",
,"3","Errors","2",
,"5","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"22:38:35","00:00","Jersey colours updated","Jersey colours updated",
,"22:38:35","00:00","Jersey colours updated","Jersey colours updated",
,"22:38:39","00:00","Game conditions changed","Game conditions changed",
,"23:00:44","00:00","Players warming up","Players warming up",
,"23:12:13","00:00","Players lined up","Players lined up",
,"23:15:08","00:00","National anthem singing","National anthem singing",
,"23:16:22","00:00","Shake hands","Shake hands",
,"23:17:40","00:00","Warm up at the net","Warm up at the net",
,"23:30:11","00:00","Players intro","Players intro",
,"23:31:20","00:00","Game about to start","Game about to start",
,"23:31:35","00:00","Start SRV","Start SRV   Volei Campinas",
,"23:31:39","00:00","Start SRV","Start SRV   Volei Campinas",
,"23:31:47","00:00","Start 1st Set","Start 1st Set",
,"23:31:47","00:00","SRV","SRV   Volei Campinas",
,"23:31:56","00:09","RS","RS   Volei Campinas",
,"23:31:56","00:09","B POSS","B POSS   Canoas Volei",
,"23:32:00","00:12","K","K   Canoas Volei",
,"23:32:00","00:12","P","[0 : 1]   P   Canoas Volei",
,"23:32:08","00:21","Pt Conf","Pt Conf   Canoas Volei",
,"23:32:15","00:28","SRV","SRV   Canoas Volei",
,"23:32:18","00:31","RS","RS   Canoas Volei",
,"23:32:18","00:31","B POSS","B POSS   Volei Campinas",
,"23:32:24","00:37","K","K   Volei Campinas",
,"23:32:24","00:37","P","[1 : 1]   P   Volei Campinas",
,"23:32:33","00:45","Pt Conf","Pt Conf   Volei Campinas",
,"23:32:39","00:52","SRV","SRV   Volei Campinas",
,"23:32:42","00:54","RS","RS   Volei Campinas",
,"23:32:42","00:55","B POSS","B POSS   Canoas Volei",
,"23:32:49","01:02","K","K   Canoas Volei",
,"23:32:49","01:02","P","[1 : 2]   P   Canoas Volei",
,"23:32:55","01:08","Pt Conf","Pt Conf   Canoas Volei",
,"23:33:13","01:26","SRV","SRV   Canoas Volei",
,"23:33:19","01:32","RS","RS   Canoas Volei",
,"23:33:20","01:32","B POSS","B POSS   Volei Campinas",
,"23:33:22","01:34","K","K   Volei Campinas",
,"23:33:22","01:34","P","[2 : 2]   P   Volei Campinas",
,"23:33:29","01:41","Pt Conf","Pt Conf   Volei Campinas",
,"23:33:42","01:54","SRV","SRV   Volei Campinas",
,"23:33:45","01:58","RS","RS   Volei Campinas",
,"23:33:46","01:58","B POSS","B POSS   Canoas Volei",
,"23:33:50","02:02","B","B   Volei Campinas",
,"23:33:50","02:02","P","[3 : 2]   P   Volei Campinas",
,"23:34:02","02:15","Pt Conf","Pt Conf   Volei Campinas",
,"23:34:09","02:22","SRV","SRV   Volei Campinas",
,"23:34:13","02:26","S ERR","S ERR   Volei Campinas",
,"23:34:13","02:26","P","[3 : 3]   P   Canoas Volei",
,"23:34:18","02:30","Pt Conf","Pt Conf   Canoas Volei",
,"23:34:26","02:39","SRV","SRV   Canoas Volei",
,"23:34:30","02:43","RS","RS   Canoas Volei",
,"23:34:31","02:44","B POSS","B POSS   Volei Campinas",
,"23:34:35","02:47","K","K   Volei Campinas",
,"23:34:35","02:47","P","[4 : 3]   P   Volei Campinas",
,"23:34:46","02:58","Pt Conf","Pt Conf   Volei Campinas",
,"23:34:54","03:07","SRV","SRV   Volei Campinas",
,"23:34:57","03:10","RS","RS   Volei Campinas",
,"23:34:57","03:10","B POSS","B POSS   Canoas Volei",
,"23:35:02","03:15","B POSS","B POSS   Volei Campinas",
,"23:35:03","03:16","B POSS","B POSS   Canoas Volei",
,"23:35:07","03:20","K","K   Canoas Volei",
,"23:35:07","03:20","P","[4 : 4]   P   Canoas Volei",
,"23:35:19","03:31","Pt Conf","Pt Conf   Canoas Volei",
,"23:35:33","03:46","SRV","SRV   Canoas Volei",
,"23:35:36","03:49","RS","RS   Canoas Volei",
,"23:35:36","03:49","B POSS","B POSS   Volei Campinas",
,"23:35:40","03:53","K","K   Volei Campinas",
,"23:35:40","03:53","P","[5 : 4]   P   Volei Campinas",
,"23:35:49","04:01","Pt Conf","Pt Conf   Volei Campinas",
,"23:35:56","04:09","SRV","SRV   Volei Campinas",
,"23:36:05","04:18","RS","RS   Volei Campinas",
,"23:36:05","04:18","B POSS","B POSS   Canoas Volei",
,"23:36:09","04:22","K","K   Volei Campinas",
,"23:36:09","04:22","P","[6 : 4]   P   Volei Campinas",
,"23:36:17","04:30","Pt Conf","Pt Conf   Volei Campinas",
,"23:36:32","04:45","SRV","SRV   Volei Campinas",
,"23:36:37","04:50","A","A   Volei Campinas",
,"23:36:37","04:50","P","[7 : 4]   P   Volei Campinas",
,"23:36:47","05:00","Pt Conf","Pt Conf   Volei Campinas",
,"23:37:11","05:24","SRV","SRV   Volei Campinas",
,"23:37:15","05:27","RS","RS   Volei Campinas",
,"23:37:15","05:28","B POSS","B POSS   Canoas Volei",
,"23:37:18","05:31","K","K   Canoas Volei",
,"23:37:18","05:31","P","[7 : 5]   P   Canoas Volei",
,"23:37:24","05:37","Pt Conf","Pt Conf   Canoas Volei",
,"23:37:37","05:50","SRV","SRV   Canoas Volei",
,"23:37:41","05:54","RS","RS   Canoas Volei",
,"23:37:42","05:55","B POSS","B POSS   Volei Campinas",
,"23:37:44","05:57","B POSS","B POSS   Canoas Volei",
,"23:37:48","06:01","B POSS","B POSS   Volei Campinas",
,"23:37:55","06:08","B","B   Canoas Volei",
,"23:37:55","06:08","P","[7 : 6]   P   Canoas Volei",
,"23:38:03","06:15","Pt Conf","Pt Conf   Canoas Volei",
,"23:38:15","06:28","SRV","SRV   Canoas Volei",
,"23:38:19","06:32","RS","RS   Canoas Volei",
,"23:38:19","06:32","B POSS","B POSS   Volei Campinas",
,"23:38:23","06:36","K","K   Volei Campinas",
,"23:38:23","06:36","P","[8 : 6]   P   Volei Campinas",
,"23:38:31","06:44","Pt Conf","Pt Conf   Volei Campinas",
,"23:38:45","06:58","SRV","SRV   Volei Campinas",
,"23:38:49","07:02","RS","RS   Volei Campinas",
,"23:38:49","07:02","B POSS","B POSS   Canoas Volei",
,"23:38:53","07:05","B POSS","B POSS   Volei Campinas",
,"23:38:56","07:09","B POSS","B POSS   Canoas Volei",
,"23:39:00","07:13","B","B   Volei Campinas",
,"23:39:00","07:13","P","[9 : 6]   P   Volei Campinas",
,"23:39:12","07:25","Pt Conf","Pt Conf   Volei Campinas",
,"23:39:27","07:40","SRV","SRV   Volei Campinas",
,"23:39:32","07:44","S ERR","S ERR   Volei Campinas",
,"23:39:32","07:44","P","[9 : 7]   P   Canoas Volei",
,"23:39:41","07:53","Pt Conf","Pt Conf   Canoas Volei",
,"23:39:50","08:02","SRV","SRV   Canoas Volei",
,"23:39:52","08:05","RS","RS   Canoas Volei",
,"23:39:53","08:05","B POSS","B POSS   Volei Campinas",
,"23:39:58","08:11","OUT","OUT   Volei Campinas",
,"23:39:58","08:11","P","[9 : 8]   P   Canoas Volei",
,"23:40:06","08:19","Pt Conf","Pt Conf   Canoas Volei",
,"23:40:13","08:26","SRV","SRV   Canoas Volei",
,"23:40:16","08:29","RS","RS   Canoas Volei",
,"23:40:17","08:30","B POSS","B POSS   Volei Campinas",
,"23:40:30","08:42","K","K   Volei Campinas",
,"23:40:30","08:42","P","[10 : 8]   P   Volei Campinas",
,"23:40:40","08:53","Pt Conf","Pt Conf   Volei Campinas",
,"23:40:46","08:59","SRV","SRV   Volei Campinas",
,"23:40:49","09:02","RS","RS   Volei Campinas",
,"23:40:49","09:02","B POSS","B POSS   Canoas Volei",
,"23:40:56","09:08","K","K   Canoas Volei",
,"23:40:56","09:08","P","[10 : 9]   P   Canoas Volei",
,"23:41:32","09:45","Pt Conf","Pt Conf   Canoas Volei",
,"23:41:42","09:54","SRV","SRV   Canoas Volei",
,"23:41:46","09:59","RS","RS   Canoas Volei",
,"23:41:47","10:00","B POSS","B POSS   Volei Campinas",
,"23:41:53","10:06","K","K   Volei Campinas",
,"23:41:53","10:06","P","[11 : 9]   P   Volei Campinas",
,"23:42:14","10:26","Pt Conf","Pt Conf   Volei Campinas",
,"23:42:16","10:29","SRV","SRV   Volei Campinas",
,"23:42:20","10:33","RS","RS   Volei Campinas",
,"23:42:20","10:33","B POSS","B POSS   Canoas Volei",
,"23:42:25","10:38","K","K   Canoas Volei",
,"23:42:25","10:38","P","[11 : 10]   P   Canoas Volei",
,"23:42:39","10:52","Pt Conf","Pt Conf   Canoas Volei",
,"23:42:47","11:00","SRV","SRV   Canoas Volei",
,"23:42:50","11:03","S ERR","S ERR   Canoas Volei",
,"23:42:50","11:03","P","[12 : 10]   P   Volei Campinas",
,"23:42:58","11:11","Pt Conf","Pt Conf   Volei Campinas",
,"23:43:07","11:19","SRV","SRV   Volei Campinas",
,"23:43:11","11:24","RS","RS   Volei Campinas",
,"23:43:11","11:24","B POSS","B POSS   Canoas Volei",
,"23:43:15","11:28","B POSS","B POSS   Volei Campinas",
