"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"892452","Europe","CEV Champions League - Qualification (women)","21.10.2017 - 18:35","Imoco Volley Conegliano (women)","Bekescsabai RSE (women)",
"Statistics","Imoco Volley Conegliano (women)","Type","Bekescsabai RSE (women)",
,"3","Score","0",
,"75","Points","36",
,"3","Sets","0",
,"16","Aces","2",
,"5","Service errors","7",
,"35","Kills","18",
,"5","Blocks","3",
,"2","Errors","7",
,"6","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:25:37","00:00","Game conditions changed","Game conditions changed",
,"17:51:52","00:00","Game conditions changed","Game conditions changed",
,"17:51:55","00:00","Players warming up","Players warming up",
,"17:58:28","00:00","Jersey colours updated","Jersey colours updated",
,"17:58:28","00:00","Jersey colours updated","Jersey colours updated",
,"18:19:29","00:00","Coin flipping","Coin flipping",
,"18:20:23","00:00","Warm up at the net","Warm up at the net",
,"18:32:44","00:00","Players lined up","Players lined up",
,"18:33:15","00:00","Shake hands","Shake hands",
,"18:34:37","00:00","Players intro","Players intro",
,"18:36:39","00:00","Game about to start","Game about to start",
,"18:36:40","00:00","Start SRV","Start SRV   Bekescsabai RSE (women)",
,"18:37:30","00:00","Start 1st Set","Start 1st Set",
,"18:37:30","00:00","SRV","SRV   Bekescsabai RSE (women)",
,"18:37:38","00:08","RS","RS   Bekescsabai RSE (women)",
,"18:37:38","00:08","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:37:47","00:17","ERR","ERR   Imoco Volley Conegliano (women)",
,"18:37:47","00:17","P","[0 : 1]   P   Bekescsabai RSE (women)",
,"18:37:58","00:27","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"18:38:01","00:30","SRV","SRV   Bekescsabai RSE (women)",
,"18:38:05","00:34","RS","RS   Bekescsabai RSE (women)",
,"18:38:05","00:34","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:38:08","00:38","OUT","OUT   Imoco Volley Conegliano (women)",
,"18:38:08","00:38","P","[0 : 2]   P   Bekescsabai RSE (women)",
,"18:38:20","00:50","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"18:38:24","00:54","SRV","SRV   Bekescsabai RSE (women)",
,"18:38:28","00:58","RS","RS   Bekescsabai RSE (women)",
,"18:38:28","00:58","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:38:34","01:04","OUT","OUT   Imoco Volley Conegliano (women)",
,"18:38:34","01:04","P","[0 : 3]   P   Bekescsabai RSE (women)",
,"18:38:45","01:14","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"18:38:47","01:17","SRV","SRV   Bekescsabai RSE (women)",
,"18:38:51","01:21","RS","RS   Bekescsabai RSE (women)",
,"18:38:52","01:21","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:38:56","01:25","OUT","OUT   Imoco Volley Conegliano (women)",
,"18:38:56","01:25","P","[0 : 4]   P   Bekescsabai RSE (women)",
,"18:39:12","01:42","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"18:39:15","01:44","SRV","SRV   Bekescsabai RSE (women)",
,"18:39:19","01:49","RS","RS   Bekescsabai RSE (women)",
,"18:39:19","01:49","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:39:23","01:53","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:39:27","01:57","OUT","OUT   Bekescsabai RSE (women)",
,"18:39:27","01:57","P","[1 : 4]   P   Imoco Volley Conegliano (women)",
,"18:39:41","02:10","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:39:50","02:19","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:39:54","02:23","A","A   Imoco Volley Conegliano (women)",
,"18:39:54","02:23","P","[2 : 4]   P   Imoco Volley Conegliano (women)",
,"18:40:05","02:35","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:40:13","02:43","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:40:17","02:46","RS","RS   Imoco Volley Conegliano (women)",
,"18:40:17","02:46","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:40:19","02:49","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:40:25","02:54","K","K   Imoco Volley Conegliano (women)",
,"18:40:25","02:54","P","[3 : 4]   P   Imoco Volley Conegliano (women)",
,"18:40:37","03:06","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:40:43","03:13","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:40:49","03:19","A","A   Imoco Volley Conegliano (women)",
,"18:40:49","03:19","P","[4 : 4]   P   Imoco Volley Conegliano (women)",
,"18:41:00","03:30","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:41:01","03:31","TIME","TIME",
,"18:41:02","03:32","TIME","TIME   Bekescsabai RSE (women)",
,"18:41:55","04:25","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:42:00","04:30","RS","RS   Imoco Volley Conegliano (women)",
,"18:42:00","04:30","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:42:01","04:31","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:42:04","04:34","K","K   Imoco Volley Conegliano (women)",
,"18:42:04","04:34","P","[5 : 4]   P   Imoco Volley Conegliano (women)",
,"18:42:17","04:47","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:42:25","04:55","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:42:29","04:59","A","A   Imoco Volley Conegliano (women)",
,"18:42:29","04:59","P","[6 : 4]   P   Imoco Volley Conegliano (women)",
,"18:42:41","05:10","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:42:48","05:18","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:42:52","05:21","RS","RS   Imoco Volley Conegliano (women)",
,"18:42:52","05:22","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:42:56","05:25","K","K   Bekescsabai RSE (women)",
,"18:42:56","05:25","P","[6 : 5]   P   Bekescsabai RSE (women)",
,"18:43:12","05:42","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"18:43:16","05:46","SRV","SRV   Bekescsabai RSE (women)",
,"18:43:18","05:48","RS","RS   Bekescsabai RSE (women)",
,"18:43:19","05:48","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:43:23","05:53","ERR","ERR   Bekescsabai RSE (women)",
,"18:43:23","05:53","P","[7 : 5]   P   Imoco Volley Conegliano (women)",
,"18:43:35","06:05","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:43:37","06:07","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:43:41","06:11","RS","RS   Imoco Volley Conegliano (women)",
,"18:43:41","06:11","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:43:46","06:15","OUT","OUT   Bekescsabai RSE (women)",
,"18:43:46","06:15","P","[8 : 5]   P   Imoco Volley Conegliano (women)",
,"18:43:58","06:28","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:43:59","06:29","TIME","TIME",
,"18:44:00","06:30","TTO","TTO",
,"18:45:03","07:33","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:45:07","07:37","A","A   Imoco Volley Conegliano (women)",
,"18:45:07","07:37","P","[9 : 5]   P   Imoco Volley Conegliano (women)",
,"18:45:19","07:49","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:45:23","07:53","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:45:25","07:55","RS","RS   Imoco Volley Conegliano (women)",
,"18:45:26","07:55","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:45:27","07:56","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:45:31","08:00","K","K   Imoco Volley Conegliano (women)",
,"18:45:31","08:00","P","[10 : 5]   P   Imoco Volley Conegliano (women)",
,"18:45:57","08:26","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:46:01","08:30","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:46:04","08:34","A","A   Imoco Volley Conegliano (women)",
,"18:46:04","08:34","P","[11 : 5]   P   Imoco Volley Conegliano (women)",
,"18:46:17","08:46","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:46:20","08:50","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:46:24","08:53","RS","RS   Imoco Volley Conegliano (women)",
,"18:46:24","08:53","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:46:28","08:58","OUT","OUT   Bekescsabai RSE (women)",
,"18:46:28","08:58","P","[12 : 5]   P   Imoco Volley Conegliano (women)",
,"18:46:38","09:08","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:46:39","09:09","TIME","TIME",
,"18:46:40","09:10","TIME","TIME   Bekescsabai RSE (women)",
,"18:47:25","09:55","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:47:30","10:00","A","A   Imoco Volley Conegliano (women)",
,"18:47:30","10:00","P","[13 : 5]   P   Imoco Volley Conegliano (women)",
,"18:47:40","10:10","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:47:45","10:14","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:47:47","10:17","RS","RS   Imoco Volley Conegliano (women)",
,"18:47:47","10:17","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:47:51","10:20","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:47:53","10:23","K","K   Imoco Volley Conegliano (women)",
,"18:47:53","10:23","P","[14 : 5]   P   Imoco Volley Conegliano (women)",
,"18:48:09","10:39","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:48:11","10:40","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:48:14","10:44","RS","RS   Imoco Volley Conegliano (women)",
,"18:48:14","10:44","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:48:19","10:49","ERR","ERR   Bekescsabai RSE (women)",
,"18:48:19","10:49","P","[15 : 5]   P   Imoco Volley Conegliano (women)",
,"18:48:46","11:15","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:48:49","11:19","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:48:53","11:22","RS","RS   Imoco Volley Conegliano (women)",
,"18:48:53","11:22","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:49:00","11:30","OUT","OUT   Bekescsabai RSE (women)",
,"18:49:00","11:30","P","[16 : 5]   P   Imoco Volley Conegliano (women)",
,"18:49:06","11:35","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:49:07","11:36","TIME","TIME",
,"18:49:07","11:37","TTO","TTO",
,"18:50:23","12:53","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:50:27","12:56","RS","RS   Imoco Volley Conegliano (women)",
,"18:50:27","12:57","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:50:30","12:59","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:50:33","13:03","K","K   Bekescsabai RSE (women)",
,"18:50:33","13:03","P","[16 : 6]   P   Bekescsabai RSE (women)",
,"18:50:47","13:17","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"18:50:52","13:22","SRV","SRV   Bekescsabai RSE (women)",
,"18:50:55","13:24","RS","RS   Bekescsabai RSE (women)",
,"18:50:55","13:24","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:50:59","13:29","K","K   Imoco Volley Conegliano (women)",
,"18:50:59","13:29","P","[17 : 6]   P   Imoco Volley Conegliano (women)",
,"18:51:10","13:39","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:51:16","13:46","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:51:18","13:48","S ERR","S ERR   Imoco Volley Conegliano (women)",
,"18:51:18","13:48","P","[17 : 7]   P   Bekescsabai RSE (women)",
,"18:51:30","14:00","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"18:51:36","14:06","SRV","SRV   Bekescsabai RSE (women)",
,"18:51:39","14:08","S ERR","S ERR   Bekescsabai RSE (women)",
,"18:51:39","14:08","P","[18 : 7]   P   Imoco Volley Conegliano (women)",
,"18:51:51","14:21","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:51:57","14:27","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:52:00","14:29","RS","RS   Imoco Volley Conegliano (women)",
,"18:52:00","14:29","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:52:04","14:34","K","K   Bekescsabai RSE (women)",
,"18:52:04","14:34","P","[18 : 8]   P   Bekescsabai RSE (women)",
,"18:52:18","14:47","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"18:52:23","14:53","SRV","SRV   Bekescsabai RSE (women)",
,"18:52:28","14:57","S ERR","S ERR   Bekescsabai RSE (women)",
,"18:52:28","14:57","P","[19 : 8]   P   Imoco Volley Conegliano (women)",
,"18:53:25","15:54","Pt Conf","Pt Conf   Imoco Volley Conegliano (women)",
,"18:53:41","16:11","SRV","SRV   Imoco Volley Conegliano (women)",
,"18:53:45","16:15","S ERR","S ERR   Imoco Volley Conegliano (women)",
,"18:53:45","16:15","P","[19 : 9]   P   Bekescsabai RSE (women)",
,"18:54:11","16:40","Pt Conf","Pt Conf   Bekescsabai RSE (women)",
,"18:54:13","16:43","SRV","SRV   Bekescsabai RSE (women)",
,"18:54:17","16:46","RS","RS   Bekescsabai RSE (women)",
,"18:54:17","16:47","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:54:20","16:49","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:54:23","16:53","B POSS","B POSS   Imoco Volley Conegliano (women)",
,"18:54:27","16:57","B POSS","B POSS   Bekescsabai RSE (women)",
,"18:54:32","17:01","B POSS","B POSS   Imoco Volley Conegliano (women)",
