"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"893654","Germany","Bundesliga (men)","21.10.2017 - 17:00","Netzhoppers KW-Bestensee","VfB Friedrichshafen",
"Statistics","Netzhoppers KW-Bestensee","Type","VfB Friedrichshafen",
,"1","Score","3",
,"85","Points","99",
,"1","Sets","3",
,"1","Aces","2",
,"17","Service errors","12",
,"49","Kills","49",
,"7","Blocks","14",
,"7","Errors","9",
,"10","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:37:56","00:00","Game conditions changed","Game conditions changed",
,"16:38:05","00:00","Players warming up","Players warming up",
,"16:43:36","00:00","Coin flipping","Coin flipping",
,"16:43:37","00:00","Warm up at the net","Warm up at the net",
,"16:44:35","00:00","Jersey colours updated","Jersey colours updated",
,"16:44:35","00:00","Jersey colours updated","Jersey colours updated",
,"16:56:24","00:00","Players intro","Players intro",
,"16:59:35","00:00","Game about to start","Game about to start",
,"17:00:13","00:00","Start SRV","Start SRV   Netzhoppers KW-Bestensee",
,"17:00:22","00:00","Start 1st Set","Start 1st Set",
,"17:00:22","00:00","SRV","SRV   Netzhoppers KW-Bestensee",
,"17:00:24","00:02","S ERR","S ERR   Netzhoppers KW-Bestensee",
,"17:00:24","00:02","P","[0 : 1]   P   VfB Friedrichshafen",
,"17:00:44","00:21","Pt Conf","Pt Conf   VfB Friedrichshafen",
,"17:00:45","00:22","SRV","SRV   VfB Friedrichshafen",
,"17:00:46","00:24","RS","RS   VfB Friedrichshafen",
,"17:00:46","00:24","B POSS","B POSS   Netzhoppers KW-Bestensee",
,"17:00:53","00:31","B POSS","B POSS   VfB Friedrichshafen",
,"17:00:56","00:34","ERR","ERR   Netzhoppers KW-Bestensee",
,"17:00:56","00:34","P","[0 : 2]   P   VfB Friedrichshafen",
,"17:01:17","00:54","Pt Conf","Pt Conf   VfB Friedrichshafen",
,"17:01:17","00:55","SRV","SRV   VfB Friedrichshafen",
,"17:01:19","00:57","RS","RS   VfB Friedrichshafen",
,"17:01:20","00:57","B POSS","B POSS   Netzhoppers KW-Bestensee",
,"17:01:25","01:03","K","K   Netzhoppers KW-Bestensee",
,"17:01:25","01:03","P","[1 : 2]   P   Netzhoppers KW-Bestensee",
,"17:01:42","01:20","Pt Conf","Pt Conf   Netzhoppers KW-Bestensee",
,"17:01:43","01:20","SRV","SRV   Netzhoppers KW-Bestensee",
,"17:01:45","01:23","RS","RS   Netzhoppers KW-Bestensee",
,"17:01:45","01:23","B POSS","B POSS   VfB Friedrichshafen",
,"17:01:49","01:27","OUT","OUT   Netzhoppers KW-Bestensee",
,"17:01:49","01:27","P","[1 : 3]   P   VfB Friedrichshafen",
,"17:02:10","01:47","Pt Conf","Pt Conf   VfB Friedrichshafen",
,"17:02:10","01:48","SRV","SRV   VfB Friedrichshafen",
,"17:02:11","01:49","RS","RS   VfB Friedrichshafen",
,"17:02:11","01:49","B POSS","B POSS   Netzhoppers KW-Bestensee",
,"17:02:16","01:54","B POSS","B POSS   VfB Friedrichshafen",
,"17:02:22","01:59","K","K   VfB Friedrichshafen",
,"17:02:22","01:59","P","[1 : 4]   P   VfB Friedrichshafen",
,"17:02:41","02:19","Pt Conf","Pt Conf   VfB Friedrichshafen",
,"17:02:42","02:20","SRV","SRV   VfB Friedrichshafen",
,"17:02:44","02:21","S ERR","S ERR   VfB Friedrichshafen",
,"17:02:44","02:21","P","[2 : 4]   P   Netzhoppers KW-Bestensee",
,"17:03:06","02:44","Pt Conf","Pt Conf   Netzhoppers KW-Bestensee",
,"17:03:07","02:44","SRV","SRV   Netzhoppers KW-Bestensee",
,"17:03:11","02:48","RS","RS   Netzhoppers KW-Bestensee",
,"17:03:11","02:49","B POSS","B POSS   VfB Friedrichshafen",
,"17:03:14","02:52","B POSS","B POSS   Netzhoppers KW-Bestensee",
,"17:03:19","02:57","OUT","OUT   VfB Friedrichshafen",
,"17:03:19","02:57","P","[3 : 4]   P   Netzhoppers KW-Bestensee",
,"17:03:39","03:16","Pt Conf","Pt Conf   Netzhoppers KW-Bestensee",
,"17:03:39","03:17","SRV","SRV   Netzhoppers KW-Bestensee",
,"17:03:46","03:24","RS","RS   Netzhoppers KW-Bestensee",
,"17:03:47","03:25","B POSS","B POSS   VfB Friedrichshafen",
,"17:03:47","03:25","K","K   VfB Friedrichshafen",
,"17:03:47","03:25","P","[3 : 5]   P   VfB Friedrichshafen",
,"17:04:11","03:49","Pt Conf","Pt Conf   VfB Friedrichshafen",
,"17:04:11","03:49","SRV","SRV   VfB Friedrichshafen",
,"17:04:11","03:49","RS","RS   VfB Friedrichshafen",
,"17:04:12","03:49","B POSS","B POSS   Netzhoppers KW-Bestensee",
,"17:04:13","03:51","K","K   Netzhoppers KW-Bestensee",
,"17:04:13","03:51","P","[4 : 5]   P   Netzhoppers KW-Bestensee",
,"17:04:32","04:09","Pt Conf","Pt Conf   Netzhoppers KW-Bestensee",
,"17:04:32","04:10","SRV","SRV   Netzhoppers KW-Bestensee",
,"17:04:34","04:12","RS","RS   Netzhoppers KW-Bestensee",
,"17:04:35","04:12","B POSS","B POSS   VfB Friedrichshafen",
,"17:04:39","04:17","ERR","ERR   VfB Friedrichshafen",
,"17:04:39","04:17","P","[5 : 5]   P   Netzhoppers KW-Bestensee",
,"17:04:55","04:32","Pt Conf","Pt Conf   Netzhoppers KW-Bestensee",
,"17:04:55","04:33","SRV","SRV   Netzhoppers KW-Bestensee",
,"17:05:00","04:38","S ERR","S ERR   Netzhoppers KW-Bestensee",
,"17:05:00","04:38","P","[5 : 6]   P   VfB Friedrichshafen",
,"17:05:16","04:53","Pt Conf","Pt Conf   VfB Friedrichshafen",
,"17:05:16","04:54","SRV","SRV   VfB Friedrichshafen",
,"17:05:20","04:57","S ERR","S ERR   VfB Friedrichshafen",
,"17:05:20","04:57","P","[6 : 6]   P   Netzhoppers KW-Bestensee",
,"17:05:43","05:20","Pt Conf","Pt Conf   Netzhoppers KW-Bestensee",
,"17:05:43","05:21","SRV","SRV   Netzhoppers KW-Bestensee",
,"17:05:44","05:22","S ERR","S ERR   Netzhoppers KW-Bestensee",
,"17:05:44","05:22","P","[6 : 7]   P   VfB Friedrichshafen",
,"17:05:59","05:37","Pt Conf","Pt Conf   VfB Friedrichshafen",
,"17:05:59","05:37","SRV","SRV   VfB Friedrichshafen",
,"17:06:01","05:38","RS","RS   VfB Friedrichshafen",
,"17:06:01","05:39","B POSS","B POSS   Netzhoppers KW-Bestensee",
,"17:06:05","05:43","B POSS","B POSS   VfB Friedrichshafen",
,"17:06:07","05:44","K","K   VfB Friedrichshafen",
,"17:06:07","05:44","P","[6 : 8]   P   VfB Friedrichshafen",
,"17:06:21","05:58","Pt Conf","Pt Conf   VfB Friedrichshafen",
,"17:06:21","05:58","TIME","TIME",
,"17:06:21","05:58","TTO","TTO",
,"17:07:28","07:06","SRV","SRV   VfB Friedrichshafen",
,"17:07:30","07:08","RS","RS   VfB Friedrichshafen",
,"17:07:31","07:08","B POSS","B POSS   Netzhoppers KW-Bestensee",
,"17:07:34","07:12","K","K   Netzhoppers KW-Bestensee",
,"17:07:34","07:12","P","[7 : 8]   P   Netzhoppers KW-Bestensee",
,"17:07:48","07:26","Pt Conf","Pt Conf   Netzhoppers KW-Bestensee",
,"17:07:48","07:26","SRV","SRV   Netzhoppers KW-Bestensee",
,"17:07:53","07:31","S ERR","S ERR   Netzhoppers KW-Bestensee",
,"17:07:53","07:31","P","[7 : 9]   P   VfB Friedrichshafen",
,"17:08:14","07:52","Danger","Danger",
,"17:08:14","07:52","Scout offline","Scout offline",
,"17:08:43","08:21","Updating score","Updating score",
,"17:08:45","08:23","K","K   Netzhoppers KW-Bestensee",
,"17:08:45","08:23","P","[8 : 9]   P   Netzhoppers KW-Bestensee",
,"17:08:49","08:27","K","K   VfB Friedrichshafen",
,"17:08:49","08:27","P","[8 : 10]   P   VfB Friedrichshafen",
,"17:08:51","08:29","Score updated","Score updated",
,"17:08:56","08:34","SRV","SRV   VfB Friedrichshafen",
,"17:08:57","08:35","RS","RS   VfB Friedrichshafen",
,"17:08:58","08:35","B POSS","B POSS   Netzhoppers KW-Bestensee",
,"17:09:01","08:39","OUT","OUT   VfB Friedrichshafen",
,"17:09:01","08:39","P","[9 : 10]   P   Netzhoppers KW-Bestensee",
,"17:09:17","08:55","Pt Conf","Pt Conf   Netzhoppers KW-Bestensee",
,"17:09:18","08:56","SRV","SRV   Netzhoppers KW-Bestensee",
,"17:09:19","08:57","RS","RS   Netzhoppers KW-Bestensee",
,"17:09:19","08:57","B POSS","B POSS   VfB Friedrichshafen",
,"17:09:23","09:01","K","K   VfB Friedrichshafen",
,"17:09:23","09:01","P","[9 : 11]   P   VfB Friedrichshafen",
,"17:09:46","09:24","Pt Conf","Pt Conf   VfB Friedrichshafen",
,"17:09:47","09:24","SRV","SRV   VfB Friedrichshafen",
,"17:09:49","09:27","RS","RS   VfB Friedrichshafen",
,"17:09:49","09:27","B POSS","B POSS   Netzhoppers KW-Bestensee",
,"17:10:07","09:45","ERR","ERR   Netzhoppers KW-Bestensee",
,"17:10:07","09:45","P","[9 : 12]   P   VfB Friedrichshafen",
,"17:10:23","10:01","Pt Conf","Pt Conf   VfB Friedrichshafen",
,"17:10:24","10:02","TIME","TIME",
