"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891340","Japan","V Premier League","21.10.2017 - 04:00","Suntory Sunbirds","JT Thunder",
"Statistics","Suntory Sunbirds","Type","JT Thunder",
,"2","Score","3",
,"101","Points","113",
,"2","Sets","3",
,"4","Aces","3",
,"10","Service errors","14",
,"52","Kills","68",
,"8","Blocks","5",
,"11","Errors","3",
,"16","Outs","20",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"03:33:35","00:00","Players warming up","Players warming up",
,"03:34:19","00:00","Jersey colours updated","Jersey colours updated",
,"03:34:19","00:00","Jersey colours updated","Jersey colours updated",
,"03:35:16","00:00","Warm up at the net","Warm up at the net",
,"03:36:24","00:00","Game conditions changed","Game conditions changed",
,"03:50:15","00:00","Coin flipping","Coin flipping",
,"03:54:56","00:00","Players lined up","Players lined up",
,"03:56:57","00:00","Shake hands","Shake hands",
,"03:59:26","00:00","Players intro","Players intro",
,"04:01:14","00:00","Game about to start","Game about to start",
,"04:01:24","00:00","Start SRV","Start SRV   Suntory Sunbirds",
,"04:01:41","00:00","Start 1st Set","Start 1st Set",
,"04:01:42","00:00","SRV","SRV   Suntory Sunbirds",
,"04:01:45","00:03","RS","RS   Suntory Sunbirds",
,"04:01:46","00:04","B POSS","B POSS   JT Thunder",
,"04:01:48","00:06","K","K   JT Thunder",
,"04:01:48","00:06","P","[0 : 1]   P   JT Thunder",
,"04:01:59","00:17","Pt Conf","Pt Conf   JT Thunder",
,"04:02:03","00:21","SRV","SRV   JT Thunder",
,"04:02:06","00:24","RS","RS   JT Thunder",
,"04:02:06","00:24","B POSS","B POSS   Suntory Sunbirds",
,"04:02:12","00:30","K","K   Suntory Sunbirds",
,"04:02:12","00:30","P","[1 : 1]   P   Suntory Sunbirds",
,"04:02:22","00:40","Pt Conf","Pt Conf   Suntory Sunbirds",
,"04:02:25","00:43","SRV","SRV   Suntory Sunbirds",
,"04:02:29","00:47","RS","RS   Suntory Sunbirds",
