"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886814","Netherlands","Eredivisie (men)","21.10.2017 - 11:30","Talentteam Papendal/Arnhem","SV Dynamo Apeldoorn",
"Statistics","Talentteam Papendal/Arnhem","Type","SV Dynamo Apeldoorn",
,"1","Score","3",
,"74","Points","90",
,"1","Sets","3",
,"3","Aces","5",
,"15","Service errors","13",
,"42","Kills","47",
,"8","Blocks","7",
,"8","Errors","5",
,"8","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:44:49","00:00","Players warming up","Players warming up",
,"10:44:51","00:00","Game conditions changed","Game conditions changed",
,"10:55:10","00:00","Jersey colours updated","Jersey colours updated",
,"10:55:10","00:00","Jersey colours updated","Jersey colours updated",
,"11:12:23","00:00","Coin flipping","Coin flipping",
,"11:12:24","00:00","Warm up at the net","Warm up at the net",
,"11:12:31","00:00","Game conditions changed","Game conditions changed",
,"11:17:06","00:00","Players intro","Players intro",
,"11:21:26","00:00","Game conditions changed","Game conditions changed",
,"11:26:08","00:00","Players lined up","Players lined up",
,"11:26:15","00:00","Shake hands","Shake hands",
,"11:27:30","00:00","Game about to start","Game about to start",
,"11:29:18","00:00","Start SRV","Start SRV   SV Dynamo Apeldoorn",
,"11:29:21","00:00","Start 1st Set","Start 1st Set",
,"11:29:22","00:00","SRV","SRV   SV Dynamo Apeldoorn",
,"11:29:23","00:01","RS","RS   SV Dynamo Apeldoorn",
,"11:29:24","00:02","B POSS","B POSS   Talentteam Papendal/Arnhem",
,"11:29:28","00:06","K","K   Talentteam Papendal/Arnhem",
,"11:29:28","00:06","P","[1 : 0]   P   Talentteam Papendal/Arnhem",
,"11:29:38","00:16","Pt Conf","Pt Conf   Talentteam Papendal/Arnhem",
,"11:29:43","00:21","SRV","SRV   Talentteam Papendal/Arnhem",
,"11:30:09","00:47","RS","RS   Talentteam Papendal/Arnhem",
,"11:30:09","00:47","B POSS","B POSS   SV Dynamo Apeldoorn",
,"11:30:12","00:50","B POSS","B POSS   Talentteam Papendal/Arnhem",
,"11:30:14","00:52","B POSS","B POSS   SV Dynamo Apeldoorn",
,"11:30:20","00:58","K","K   SV Dynamo Apeldoorn",
