"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"894315","Philippines","PSL Grand Prix (women)","21.10.2017 - 08:00","Generika Lifesavers (women)","Petron Blaze Spikers (women)",
"Statistics","Generika Lifesavers (women)","Type","Petron Blaze Spikers (women)",
,"0","Score","3",
,"49","Points","75",
,"0","Sets","3",
,"2","Aces","5",
,"3","Service errors","4",
,"31","Kills","40",
,"5","Blocks","10",
,"9","Errors","4",
,"8","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"07:38:26","00:00","Game conditions changed","Game conditions changed",
,"07:38:28","00:00","Players warming up","Players warming up",
,"07:39:29","00:00","Jersey colours updated","Jersey colours updated",
,"07:39:29","00:00","Jersey colours updated","Jersey colours updated",
,"07:50:29","00:00","Warm up at the net","Warm up at the net",
,"08:05:44","00:00","Game conditions changed","Game conditions changed",
,"08:06:48","00:00","Players intro","Players intro",
,"08:14:29","00:00","Game about to start","Game about to start",
,"08:15:31","00:00","Start SRV","Start SRV   Generika Lifesavers (women)",
,"08:15:35","00:00","Start 1st Set","Start 1st Set",
,"08:15:35","00:00","SRV","SRV   Generika Lifesavers (women)",
,"08:15:37","00:02","RS","RS   Generika Lifesavers (women)",
,"08:15:38","00:02","B POSS","B POSS   Petron Blaze Spikers (women)",
,"08:15:41","00:05","K","K   Petron Blaze Spikers (women)",
,"08:15:41","00:05","P","[0 : 1]   P   Petron Blaze Spikers (women)",
,"08:15:55","00:20","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:16:02","00:26","SRV","SRV   Petron Blaze Spikers (women)",
,"08:16:05","00:29","RS","RS   Petron Blaze Spikers (women)",
,"08:16:05","00:29","B POSS","B POSS   Generika Lifesavers (women)",
,"08:16:08","00:33","K","K   Generika Lifesavers (women)",
,"08:16:08","00:33","P","[1 : 1]   P   Generika Lifesavers (women)",
,"08:16:22","00:46","Pt Conf","Pt Conf   Generika Lifesavers (women)",
,"08:16:22","00:47","SRV","SRV   Generika Lifesavers (women)",
,"08:16:25","00:50","RS","RS   Generika Lifesavers (women)",
,"08:16:25","00:50","B POSS","B POSS   Petron Blaze Spikers (women)",
,"08:16:28","00:52","K","K   Petron Blaze Spikers (women)",
,"08:16:28","00:52","P","[1 : 2]   P   Petron Blaze Spikers (women)",
,"08:16:43","01:07","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:16:47","01:12","SRV","SRV   Petron Blaze Spikers (women)",
,"08:16:50","01:15","RS","RS   Petron Blaze Spikers (women)",
,"08:16:50","01:15","B POSS","B POSS   Generika Lifesavers (women)",
,"08:16:56","01:20","OUT","OUT   Generika Lifesavers (women)",
,"08:16:56","01:20","P","[1 : 3]   P   Petron Blaze Spikers (women)",
,"08:17:10","01:35","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:17:13","01:38","SRV","SRV   Petron Blaze Spikers (women)",
,"08:17:16","01:40","RS","RS   Petron Blaze Spikers (women)",
,"08:17:16","01:40","B POSS","B POSS   Generika Lifesavers (women)",
,"08:17:18","01:43","K","K   Generika Lifesavers (women)",
,"08:17:18","01:43","P","[2 : 3]   P   Generika Lifesavers (women)",
,"08:17:34","01:59","Pt Conf","Pt Conf   Generika Lifesavers (women)",
,"08:17:39","02:04","SRV","SRV   Generika Lifesavers (women)",
,"08:17:42","02:07","RS","RS   Generika Lifesavers (women)",
,"08:17:42","02:07","B POSS","B POSS   Petron Blaze Spikers (women)",
,"08:17:45","02:10","B POSS","B POSS   Generika Lifesavers (women)",
,"08:17:49","02:14","B POSS","B POSS   Petron Blaze Spikers (women)",
,"08:17:53","02:17","B","B   Generika Lifesavers (women)",
,"08:17:53","02:17","P","[3 : 3]   P   Generika Lifesavers (women)",
,"08:18:06","02:31","Pt Conf","Pt Conf   Generika Lifesavers (women)",
,"08:18:10","02:35","SRV","SRV   Generika Lifesavers (women)",
,"08:18:13","02:37","RS","RS   Generika Lifesavers (women)",
,"08:18:13","02:37","B POSS","B POSS   Petron Blaze Spikers (women)",
,"08:18:16","02:40","K","K   Petron Blaze Spikers (women)",
,"08:18:16","02:40","P","[3 : 4]   P   Petron Blaze Spikers (women)",
,"08:18:33","02:58","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:18:35","03:00","SRV","SRV   Petron Blaze Spikers (women)",
,"08:18:38","03:03","RS","RS   Petron Blaze Spikers (women)",
,"08:18:38","03:03","B POSS","B POSS   Generika Lifesavers (women)",
,"08:18:41","03:05","K","K   Generika Lifesavers (women)",
,"08:18:41","03:05","P","[4 : 4]   P   Generika Lifesavers (women)",
,"08:18:54","03:19","Pt Conf","Pt Conf   Generika Lifesavers (women)",
,"08:18:59","03:23","SRV","SRV   Generika Lifesavers (women)",
,"08:19:02","03:26","S ERR","S ERR   Generika Lifesavers (women)",
,"08:19:02","03:26","P","[4 : 5]   P   Petron Blaze Spikers (women)",
,"08:19:16","03:41","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:19:20","03:45","SRV","SRV   Petron Blaze Spikers (women)",
,"08:19:24","03:49","RS","RS   Petron Blaze Spikers (women)",
,"08:19:25","03:49","B POSS","B POSS   Generika Lifesavers (women)",
,"08:19:26","03:51","B POSS","B POSS   Petron Blaze Spikers (women)",
,"08:19:29","03:54","B POSS","B POSS   Generika Lifesavers (women)",
,"08:19:32","03:57","K","K   Generika Lifesavers (women)",
,"08:19:32","03:57","P","[5 : 5]   P   Generika Lifesavers (women)",
,"08:19:44","04:09","Pt Conf","Pt Conf   Generika Lifesavers (women)",
,"08:19:48","04:12","SRV","SRV   Generika Lifesavers (women)",
,"08:19:51","04:15","RS","RS   Generika Lifesavers (women)",
,"08:19:51","04:15","B POSS","B POSS   Petron Blaze Spikers (women)",
,"08:19:55","04:20","ERR","ERR   Petron Blaze Spikers (women)",
,"08:19:55","04:20","P","[6 : 5]   P   Generika Lifesavers (women)",
,"08:20:07","04:32","Pt Conf","Pt Conf   Generika Lifesavers (women)",
,"08:20:09","04:34","SRV","SRV   Generika Lifesavers (women)",
,"08:20:12","04:37","RS","RS   Generika Lifesavers (women)",
,"08:20:12","04:37","B POSS","B POSS   Petron Blaze Spikers (women)",
,"08:20:16","04:40","K","K   Petron Blaze Spikers (women)",
,"08:20:16","04:40","P","[6 : 6]   P   Petron Blaze Spikers (women)",
,"08:20:30","04:55","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:20:34","04:59","SRV","SRV   Petron Blaze Spikers (women)",
,"08:20:37","05:01","RS","RS   Petron Blaze Spikers (women)",
,"08:20:37","05:01","B POSS","B POSS   Generika Lifesavers (women)",
,"08:20:40","05:05","K","K   Generika Lifesavers (women)",
,"08:20:40","05:05","P","[7 : 6]   P   Generika Lifesavers (women)",
,"08:20:53","05:17","Pt Conf","Pt Conf   Generika Lifesavers (women)",
,"08:20:57","05:22","SRV","SRV   Generika Lifesavers (women)",
,"08:20:59","05:24","S ERR","S ERR   Generika Lifesavers (women)",
,"08:20:59","05:24","P","[7 : 7]   P   Petron Blaze Spikers (women)",
,"08:21:13","05:37","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:21:17","05:41","SRV","SRV   Petron Blaze Spikers (women)",
,"08:21:19","05:44","RS","RS   Petron Blaze Spikers (women)",
,"08:21:19","05:44","B POSS","B POSS   Generika Lifesavers (women)",
,"08:21:26","05:50","B","B   Petron Blaze Spikers (women)",
,"08:21:26","05:50","P","[7 : 8]   P   Petron Blaze Spikers (women)",
,"08:21:35","06:00","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:21:36","06:01","TIME","TIME",
,"08:21:37","06:01","TTO","TTO",
,"08:22:50","07:15","SRV","SRV   Petron Blaze Spikers (women)",
,"08:22:54","07:18","RS","RS   Petron Blaze Spikers (women)",
,"08:22:54","07:18","B POSS","B POSS   Generika Lifesavers (women)",
,"08:22:58","07:22","B POSS","B POSS   Petron Blaze Spikers (women)",
,"08:23:02","07:27","K","K   Petron Blaze Spikers (women)",
,"08:23:02","07:27","P","[7 : 9]   P   Petron Blaze Spikers (women)",
,"08:23:15","07:39","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:23:20","07:44","SRV","SRV   Petron Blaze Spikers (women)",
,"08:23:23","07:47","A","A   Petron Blaze Spikers (women)",
,"08:23:23","07:47","P","[7 : 10]   P   Petron Blaze Spikers (women)",
,"08:23:29","07:53","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:23:29","07:54","TIME","TIME",
,"08:23:30","07:55","TIME","TIME   Generika Lifesavers (women)",
,"08:24:26","08:50","SRV","SRV   Petron Blaze Spikers (women)",
,"08:24:29","08:53","RS","RS   Petron Blaze Spikers (women)",
,"08:24:29","08:54","B POSS","B POSS   Generika Lifesavers (women)",
,"08:24:34","08:59","ERR","ERR   Generika Lifesavers (women)",
,"08:24:34","08:59","P","[7 : 11]   P   Petron Blaze Spikers (women)",
,"08:24:46","09:11","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:24:50","09:15","SRV","SRV   Petron Blaze Spikers (women)",
,"08:24:53","09:18","RS","RS   Petron Blaze Spikers (women)",
,"08:24:53","09:18","B POSS","B POSS   Generika Lifesavers (women)",
,"08:24:56","09:21","ERR","ERR   Generika Lifesavers (women)",
,"08:24:56","09:21","P","[7 : 12]   P   Petron Blaze Spikers (women)",
,"08:25:12","09:37","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:25:14","09:39","SRV","SRV   Petron Blaze Spikers (women)",
,"08:25:17","09:42","RS","RS   Petron Blaze Spikers (women)",
,"08:25:17","09:42","B POSS","B POSS   Generika Lifesavers (women)",
,"08:25:22","09:47","OUT","OUT   Generika Lifesavers (women)",
,"08:25:22","09:47","P","[7 : 13]   P   Petron Blaze Spikers (women)",
,"08:25:39","10:04","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:25:40","10:05","SRV","SRV   Petron Blaze Spikers (women)",
,"08:25:43","10:07","A","A   Petron Blaze Spikers (women)",
,"08:25:43","10:07","P","[7 : 14]   P   Petron Blaze Spikers (women)",
,"08:25:57","10:21","Pt Conf","Pt Conf   Petron Blaze Spikers (women)",
,"08:26:01","10:26","SRV","SRV   Petron Blaze Spikers (women)",
,"08:26:04","10:29","RS","RS   Petron Blaze Spikers (women)",
,"08:26:04","10:29","B POSS","B POSS   Generika Lifesavers (women)",
,"08:26:08","10:33","B POSS","B POSS   Petron Blaze Spikers (women)",
,"08:26:12","10:37","B POSS","B POSS   Generika Lifesavers (women)",
,"08:26:16","10:40","K","K   Generika Lifesavers (women)",
,"08:26:16","10:40","P","[8 : 14]   P   Generika Lifesavers (women)",
,"08:26:31","10:55","Pt Conf","Pt Conf   Generika Lifesavers (women)",
,"08:26:35","11:00","SRV","SRV   Generika Lifesavers (women)",
,"08:26:38","11:02","RS","RS   Generika Lifesavers (women)",
,"08:26:38","11:02","B POSS","B POSS   Petron Blaze Spikers (women)",
,"08:26:42","11:06","K","K   Petron Blaze Spikers (women)",
