"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879494","Poland","Polska Liga (men)","21.10.2017 - 15:00","ZAKSA Kedzierzyn-Kozle","RCS Czarni Radom",
"Statistics","ZAKSA Kedzierzyn-Kozle","Type","RCS Czarni Radom",
,"3","Score","0",
,"80","Points","65",
,"3","Sets","0",
,"1","Aces","4",
,"13","Service errors","16",
,"36","Kills","37",
,"15","Blocks","5",
,"2","Errors","4",
,"4","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:21:47","00:00","Game conditions changed","Game conditions changed",
,"14:21:48","00:00","Players warming up","Players warming up",
,"14:36:20","00:00","Jersey colours updated","Jersey colours updated",
,"14:36:20","00:00","Jersey colours updated","Jersey colours updated",
,"14:44:47","00:00","Coin flipping","Coin flipping",
,"14:45:10","00:00","Warm up at the net","Warm up at the net",
,"14:52:38","00:00","Game conditions changed","Game conditions changed",
,"14:52:43","00:00","Players intro","Players intro",
,"14:57:07","00:00","Players lined up","Players lined up",
,"14:57:40","00:00","Shake hands","Shake hands",
,"14:59:50","00:00","Game about to start","Game about to start",
,"15:00:00","00:00","Start SRV","Start SRV   RCS Czarni Radom",
,"15:00:19","00:00","Start 1st Set","Start 1st Set",
,"15:00:19","00:00","SRV","SRV   RCS Czarni Radom",
,"15:00:29","00:09","RS","RS   RCS Czarni Radom",
,"15:00:29","00:10","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"15:00:32","00:12","K","K   ZAKSA Kedzierzyn-Kozle",
,"15:00:32","00:12","P","[1 : 0]   P   ZAKSA Kedzierzyn-Kozle",
,"15:00:47","00:27","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"15:00:51","00:32","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"15:00:53","00:34","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"15:00:54","00:34","B POSS","B POSS   RCS Czarni Radom",
,"15:00:58","00:38","K","K   RCS Czarni Radom",
,"15:00:58","00:38","P","[1 : 1]   P   RCS Czarni Radom",
,"15:01:12","00:52","Pt Conf","Pt Conf   RCS Czarni Radom",
,"15:01:15","00:56","SRV","SRV   RCS Czarni Radom",
,"15:01:19","00:59","RS","RS   RCS Czarni Radom",
,"15:01:19","01:00","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"15:01:26","01:06","K","K   ZAKSA Kedzierzyn-Kozle",
,"15:01:26","01:06","P","[2 : 1]   P   ZAKSA Kedzierzyn-Kozle",
,"15:01:38","01:19","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"15:01:39","01:19","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"15:01:42","01:23","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"15:01:43","01:23","B POSS","B POSS   RCS Czarni Radom",
,"15:01:45","01:25","B","B   ZAKSA Kedzierzyn-Kozle",
,"15:01:45","01:25","P","[3 : 1]   P   ZAKSA Kedzierzyn-Kozle",
,"15:01:59","01:40","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"15:02:00","01:40","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"15:02:04","01:44","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"15:02:04","01:44","B POSS","B POSS   RCS Czarni Radom",
,"15:02:09","01:49","B","B   ZAKSA Kedzierzyn-Kozle",
,"15:02:09","01:49","P","[4 : 1]   P   ZAKSA Kedzierzyn-Kozle",
,"15:02:26","02:07","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"15:02:27","02:07","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"15:02:29","02:10","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"15:02:29","02:10","B POSS","B POSS   RCS Czarni Radom",
,"15:02:33","02:14","K","K   RCS Czarni Radom",
,"15:02:33","02:14","P","[4 : 2]   P   RCS Czarni Radom",
,"15:02:51","02:31","Pt Conf","Pt Conf   RCS Czarni Radom",
,"15:02:53","02:33","SRV","SRV   RCS Czarni Radom",
,"15:02:56","02:37","RS","RS   RCS Czarni Radom",
,"15:02:57","02:37","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"15:03:00","02:41","K","K   ZAKSA Kedzierzyn-Kozle",
,"15:03:00","02:41","P","[5 : 2]   P   ZAKSA Kedzierzyn-Kozle",
,"15:03:16","02:57","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"15:03:18","02:58","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"15:03:21","03:02","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"15:03:22","03:02","B POSS","B POSS   RCS Czarni Radom",
,"15:03:32","03:12","K","K   RCS Czarni Radom",
,"15:03:32","03:12","P","[5 : 3]   P   RCS Czarni Radom",
,"15:03:52","03:33","Pt Conf","Pt Conf   RCS Czarni Radom",
,"15:03:54","03:34","SRV","SRV   RCS Czarni Radom",
,"15:03:57","03:38","RS","RS   RCS Czarni Radom",
,"15:03:57","03:38","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"15:04:02","03:42","B","B   RCS Czarni Radom",
,"15:04:02","03:42","P","[5 : 4]   P   RCS Czarni Radom",
,"15:04:21","04:02","Pt Conf","Pt Conf   RCS Czarni Radom",
,"15:04:23","04:03","SRV","SRV   RCS Czarni Radom",
,"15:04:29","04:09","RS","RS   RCS Czarni Radom",
,"15:04:29","04:10","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"15:04:30","04:11","B POSS","B POSS   RCS Czarni Radom",
,"15:04:33","04:13","OUT","OUT   RCS Czarni Radom",
,"15:04:33","04:13","P","[6 : 4]   P   ZAKSA Kedzierzyn-Kozle",
,"15:04:47","04:28","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"15:04:48","04:29","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"15:04:51","04:32","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"15:04:52","04:32","B POSS","B POSS   RCS Czarni Radom",
,"15:04:58","04:38","K","K   RCS Czarni Radom",
,"15:04:58","04:38","P","[6 : 5]   P   RCS Czarni Radom",
,"15:05:11","04:52","Pt Conf","Pt Conf   RCS Czarni Radom",
,"15:05:12","04:53","SRV","SRV   RCS Czarni Radom",
,"15:05:14","04:55","S ERR","S ERR   RCS Czarni Radom",
,"15:05:14","04:55","P","[7 : 5]   P   ZAKSA Kedzierzyn-Kozle",
,"15:05:32","05:13","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"15:05:34","05:14","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"15:05:36","05:17","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"15:05:37","05:17","B POSS","B POSS   RCS Czarni Radom",
,"15:05:41","05:21","K","K   RCS Czarni Radom",
,"15:05:41","05:21","P","[7 : 6]   P   RCS Czarni Radom",
