"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884696","Poland","Polska Liga (women)","21.10.2017 - 16:00","KS Palac Bydgoszcz (women)","Impel Wroclaw (women)",
"Statistics","KS Palac Bydgoszcz (women)","Type","Impel Wroclaw (women)",
,"3","Score","1",
,"97","Points","81",
,"3","Sets","1",
,"6","Aces","7",
,"9","Service errors","8",
,"60","Kills","38",
,"3","Blocks","9",
,"9","Errors","12",
,"9","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:07:46","00:00","Game conditions changed","Game conditions changed",
,"15:10:39","00:00","Players warming up","Players warming up",
,"15:41:41","00:00","Coin flipping","Coin flipping",
,"15:42:21","00:00","Jersey colours updated","Jersey colours updated",
,"15:42:21","00:00","Jersey colours updated","Jersey colours updated",
,"15:44:06","00:00","Warm up at the net","Warm up at the net",
,"15:54:35","00:00","Players lined up","Players lined up",
,"15:55:16","00:00","Shake hands","Shake hands",
,"15:56:43","00:00","Players intro","Players intro",
,"15:58:14","00:00","Game about to start","Game about to start",
,"15:58:51","00:00","Start SRV","Start SRV   Impel Wroclaw (women)",
,"15:58:57","00:00","Start 1st Set","Start 1st Set",
,"15:58:59","00:01","SRV","SRV   Impel Wroclaw (women)",
,"15:59:00","00:02","RS","RS   Impel Wroclaw (women)",
,"15:59:01","00:03","B POSS","B POSS   KS Palac Bydgoszcz (women)",
,"15:59:04","00:06","ERR","ERR   KS Palac Bydgoszcz (women)",
,"15:59:04","00:06","P","[0 : 1]   P   Impel Wroclaw (women)",
,"15:59:17","00:19","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"15:59:20","00:22","SRV","SRV   Impel Wroclaw (women)",
,"15:59:22","00:24","RS","RS   Impel Wroclaw (women)",
,"15:59:23","00:25","B POSS","B POSS   KS Palac Bydgoszcz (women)",
,"15:59:26","00:29","B POSS","B POSS   Impel Wroclaw (women)",
,"15:59:32","00:34","OUT","OUT   Impel Wroclaw (women)",
,"15:59:32","00:34","P","[1 : 1]   P   KS Palac Bydgoszcz (women)",
,"15:59:47","00:49","Pt Conf","Pt Conf   KS Palac Bydgoszcz (women)",
,"15:59:50","00:52","SRV","SRV   KS Palac Bydgoszcz (women)",
,"15:59:52","00:54","S ERR","S ERR   KS Palac Bydgoszcz (women)",
,"15:59:52","00:54","P","[1 : 2]   P   Impel Wroclaw (women)",
,"16:00:05","01:07","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:00:09","01:12","SRV","SRV   Impel Wroclaw (women)",
,"16:00:11","01:13","RS","RS   Impel Wroclaw (women)",
,"16:00:12","01:14","B POSS","B POSS   KS Palac Bydgoszcz (women)",
,"16:00:19","01:21","B POSS","B POSS   Impel Wroclaw (women)",
,"16:00:20","01:22","B POSS","B POSS   KS Palac Bydgoszcz (women)",
,"16:00:22","01:25","K","K   KS Palac Bydgoszcz (women)",
,"16:00:22","01:25","P","[2 : 2]   P   KS Palac Bydgoszcz (women)",
,"16:00:37","01:39","Pt Conf","Pt Conf   KS Palac Bydgoszcz (women)",
,"16:00:41","01:43","SRV","SRV   KS Palac Bydgoszcz (women)",
,"16:00:44","01:46","RS","RS   KS Palac Bydgoszcz (women)",
,"16:00:45","01:47","B POSS","B POSS   Impel Wroclaw (women)",
,"16:00:47","01:49","B POSS","B POSS   KS Palac Bydgoszcz (women)",
,"16:00:52","01:54","ERR","ERR   Impel Wroclaw (women)",
,"16:00:52","01:54","P","[3 : 2]   P   KS Palac Bydgoszcz (women)",
,"16:01:06","02:08","Pt Conf","Pt Conf   KS Palac Bydgoszcz (women)",
,"16:01:10","02:13","SRV","SRV   KS Palac Bydgoszcz (women)",
,"16:01:13","02:15","RS","RS   KS Palac Bydgoszcz (women)",
,"16:01:14","02:16","B POSS","B POSS   Impel Wroclaw (women)",
,"16:01:17","02:19","B POSS","B POSS   KS Palac Bydgoszcz (women)",
,"16:01:21","02:23","B POSS","B POSS   Impel Wroclaw (women)",
,"16:01:25","02:27","K","K   Impel Wroclaw (women)",
,"16:01:25","02:27","P","[3 : 3]   P   Impel Wroclaw (women)",
,"16:01:37","02:40","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:01:43","02:45","SRV","SRV   Impel Wroclaw (women)",
,"16:01:44","02:47","S ERR","S ERR   Impel Wroclaw (women)",
,"16:01:44","02:47","P","[4 : 3]   P   KS Palac Bydgoszcz (women)",
,"16:02:00","03:02","Pt Conf","Pt Conf   KS Palac Bydgoszcz (women)",
,"16:02:05","03:07","SRV","SRV   KS Palac Bydgoszcz (women)",
,"16:02:07","03:09","RS","RS   KS Palac Bydgoszcz (women)",
,"16:02:08","03:10","B POSS","B POSS   Impel Wroclaw (women)",
,"16:02:12","03:14","K","K   Impel Wroclaw (women)",
,"16:02:12","03:14","P","[4 : 4]   P   Impel Wroclaw (women)",
,"16:02:27","03:29","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:02:30","03:33","SRV","SRV   Impel Wroclaw (women)",
,"16:02:33","03:35","A","A   Impel Wroclaw (women)",
,"16:02:33","03:35","P","[4 : 5]   P   Impel Wroclaw (women)",
,"16:02:45","03:48","Pt Conf","Pt Conf   Impel Wroclaw (women)",
,"16:02:49","03:51","SRV","SRV   Impel Wroclaw (women)",
,"16:02:52","03:54","S ERR","S ERR   Impel Wroclaw (women)",
,"16:02:52","03:54","P","[5 : 5]   P   KS Palac Bydgoszcz (women)",
,"16:03:06","04:08","Pt Conf","Pt Conf   KS Palac Bydgoszcz (women)",
,"16:03:12","04:15","SRV","SRV   KS Palac Bydgoszcz (women)",
,"16:03:15","04:17","A","A   KS Palac Bydgoszcz (women)",
,"16:03:15","04:17","P","[6 : 5]   P   KS Palac Bydgoszcz (women)",
,"16:03:29","04:32","Pt Conf","Pt Conf   KS Palac Bydgoszcz (women)",
