"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"894386","Portugal","A1 (men)","21.10.2017 - 17:00","AA de Espinho","Leixoes SC",
"Statistics","AA de Espinho","Type","Leixoes SC",
,"2","Score","3",
,"101","Points","110",
,"2","Sets","3",
,"5","Aces","3",
,"14","Service errors","21",
,"52","Kills","67",
,"8","Blocks","10",
,"11","Errors","8",
,"5","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:17:42","00:00","Game conditions changed","Game conditions changed",
,"16:17:43","00:00","Players warming up","Players warming up",
,"16:20:27","00:00","Jersey colours updated","Jersey colours updated",
,"16:20:27","00:00","Jersey colours updated","Jersey colours updated",
,"16:46:50","00:00","Coin flipping","Coin flipping",
,"16:47:57","00:00","Warm up at the net","Warm up at the net",
,"16:55:38","00:00","Game conditions changed","Game conditions changed",
,"16:59:02","00:00","Players lined up","Players lined up",
,"17:00:15","00:00","Shake hands","Shake hands",
,"17:01:40","00:00","Players intro","Players intro",
,"17:02:35","00:00","Minute of silence","Minute of silence",
,"17:03:32","00:00","Game about to start","Game about to start",
,"17:04:56","00:00","Start SRV","Start SRV   AA de Espinho",
,"17:05:05","00:00","Start 1st Set","Start 1st Set",
,"17:05:07","00:02","SRV","SRV   AA de Espinho",
,"17:05:08","00:03","RS","RS   AA de Espinho",
,"17:05:09","00:04","B POSS","B POSS   Leixoes SC",
,"17:05:13","00:07","B","B   AA de Espinho",
,"17:05:13","00:07","P","[1 : 0]   P   AA de Espinho",
,"17:05:22","00:17","Pt Conf","Pt Conf   AA de Espinho",
,"17:05:23","00:18","SRV","SRV   AA de Espinho",
,"17:05:26","00:21","A","A   AA de Espinho",
,"17:05:26","00:21","P","[2 : 0]   P   AA de Espinho",
,"17:05:35","00:29","Pt Conf","Pt Conf   AA de Espinho",
,"17:05:40","00:35","SRV","SRV   AA de Espinho",
,"17:05:41","00:36","RS","RS   AA de Espinho",
