"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"892649","Turkey","Sultanlar Ligi (women)","21.10.2017 - 12:00","Iller Bankasi GSK (women)","Galatasaray Spor Kulubu (women)",
"Statistics","Iller Bankasi GSK (women)","Type","Galatasaray Spor Kulubu (women)",
,"0","Score","3",
,"60","Points","75",
,"0","Sets","3",
,"5","Aces","3",
,"12","Service errors","11",
,"32","Kills","37",
,"5","Blocks","13",
,"2","Errors","3",
,"8","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:36:36","00:00","Players warming up","Players warming up",
,"11:45:39","00:00","Jersey colours updated","Jersey colours updated",
,"11:45:40","00:00","Jersey colours updated","Jersey colours updated",
,"11:47:02","00:00","Warm up at the net","Warm up at the net",
,"11:47:10","00:00","Game conditions changed","Game conditions changed",
,"11:56:16","00:00","Players lined up","Players lined up",
,"11:57:36","00:00","Players intro","Players intro",
,"11:58:47","00:00","Game about to start","Game about to start",
,"11:59:53","00:00","Start SRV","Start SRV   Iller Bankasi GSK (women)",
,"12:00:03","00:00","Start 1st Set","Start 1st Set",
,"12:00:03","00:00","SRV","SRV   Iller Bankasi GSK (women)",
,"12:00:05","00:02","RS","RS   Iller Bankasi GSK (women)",
,"12:00:05","00:02","B POSS","B POSS   Galatasaray Spor Kulubu (women)",
,"12:00:13","00:10","B POSS","B POSS   Iller Bankasi GSK (women)",
,"12:00:18","00:14","B POSS","B POSS   Galatasaray Spor Kulubu (women)",
,"12:00:23","00:19","B POSS","B POSS   Iller Bankasi GSK (women)",
,"12:00:26","00:22","B POSS","B POSS   Galatasaray Spor Kulubu (women)",
,"12:00:34","00:30","B POSS","B POSS   Iller Bankasi GSK (women)",
,"12:00:34","00:30","Rally over 5 possession changes","Rally over 5 possession changes",
,"12:00:40","00:36","B POSS","B POSS   Galatasaray Spor Kulubu (women)",
,"12:00:41","00:37","K","K   Galatasaray Spor Kulubu (women)",
,"12:00:41","00:37","P","[0 : 1]   P   Galatasaray Spor Kulubu (women)",
,"12:00:54","00:50","Pt Conf","Pt Conf   Galatasaray Spor Kulubu (women)",
,"12:00:57","00:54","SRV","SRV   Galatasaray Spor Kulubu (women)",
,"12:01:00","00:56","RS","RS   Galatasaray Spor Kulubu (women)",
,"12:01:00","00:57","B POSS","B POSS   Iller Bankasi GSK (women)",
,"12:01:02","00:58","B POSS","B POSS   Galatasaray Spor Kulubu (women)",
,"12:01:10","01:06","K","K   Galatasaray Spor Kulubu (women)",
,"12:01:10","01:06","P","[0 : 2]   P   Galatasaray Spor Kulubu (women)",
,"12:01:25","01:22","Pt Conf","Pt Conf   Galatasaray Spor Kulubu (women)",
,"12:01:30","01:26","SRV","SRV   Galatasaray Spor Kulubu (women)",
,"12:01:31","01:28","RS","RS   Galatasaray Spor Kulubu (women)",
,"12:01:31","01:28","B POSS","B POSS   Iller Bankasi GSK (women)",
,"12:01:35","01:31","OUT","OUT   Iller Bankasi GSK (women)",
,"12:01:35","01:31","P","[0 : 3]   P   Galatasaray Spor Kulubu (women)",
,"12:01:49","01:45","Pt Conf","Pt Conf   Galatasaray Spor Kulubu (women)",
,"12:01:52","01:48","SRV","SRV   Galatasaray Spor Kulubu (women)",
,"12:01:54","01:50","RS","RS   Galatasaray Spor Kulubu (women)",
,"12:01:54","01:50","B POSS","B POSS   Iller Bankasi GSK (women)",
,"12:01:57","01:54","OUT","OUT   Iller Bankasi GSK (women)",
,"12:01:57","01:54","P","[0 : 4]   P   Galatasaray Spor Kulubu (women)",
,"12:02:19","02:15","Pt Conf","Pt Conf   Galatasaray Spor Kulubu (women)",
,"12:02:20","02:16","TIME","TIME",
,"12:02:22","02:18","TIME","TIME   Iller Bankasi GSK (women)",
,"12:02:54","02:51","SRV","SRV   Galatasaray Spor Kulubu (women)",
,"12:02:59","02:56","RS","RS   Galatasaray Spor Kulubu (women)",
,"12:03:00","02:56","B POSS","B POSS   Iller Bankasi GSK (women)",
,"12:03:03","02:59","B POSS","B POSS   Galatasaray Spor Kulubu (women)",
,"12:03:06","03:03","B POSS","B POSS   Iller Bankasi GSK (women)",
,"12:03:10","03:06","K","K   Iller Bankasi GSK (women)",
,"12:03:10","03:06","P","[1 : 4]   P   Iller Bankasi GSK (women)",
,"12:03:24","03:21","Pt Conf","Pt Conf   Iller Bankasi GSK (women)",
,"12:03:27","03:23","SRV","SRV   Iller Bankasi GSK (women)",
,"12:03:29","03:26","RS","RS   Iller Bankasi GSK (women)",
,"12:03:29","03:26","B POSS","B POSS   Galatasaray Spor Kulubu (women)",
,"12:03:32","03:28","ERR","ERR   Galatasaray Spor Kulubu (women)",
,"12:03:32","03:28","P","[2 : 4]   P   Iller Bankasi GSK (women)",
,"12:03:45","03:41","Pt Conf","Pt Conf   Iller Bankasi GSK (women)",
,"12:03:47","03:44","SRV","SRV   Iller Bankasi GSK (women)",
,"12:03:50","03:46","RS","RS   Iller Bankasi GSK (women)",
,"12:03:50","03:46","B POSS","B POSS   Galatasaray Spor Kulubu (women)",
,"12:03:52","03:48","K","K   Galatasaray Spor Kulubu (women)",
,"12:03:52","03:48","P","[2 : 5]   P   Galatasaray Spor Kulubu (women)",
,"12:04:06","04:02","Pt Conf","Pt Conf   Galatasaray Spor Kulubu (women)",
,"12:04:08","04:04","SRV","SRV   Galatasaray Spor Kulubu (women)",
,"12:04:12","04:08","RS","RS   Galatasaray Spor Kulubu (women)",
,"12:04:12","04:09","B POSS","B POSS   Iller Bankasi GSK (women)",
,"12:04:13","04:09","K","K   Iller Bankasi GSK (women)",
,"12:04:13","04:09","P","[3 : 5]   P   Iller Bankasi GSK (women)",
,"12:04:27","04:24","Pt Conf","Pt Conf   Iller Bankasi GSK (women)",
,"12:04:31","04:27","SRV","SRV   Iller Bankasi GSK (women)",
,"12:04:35","04:32","S ERR","S ERR   Iller Bankasi GSK (women)",
,"12:04:35","04:32","P","[3 : 6]   P   Galatasaray Spor Kulubu (women)",
,"12:04:49","04:45","Pt Conf","Pt Conf   Galatasaray Spor Kulubu (women)",
,"12:04:52","04:48","SRV","SRV   Galatasaray Spor Kulubu (women)",
,"12:04:55","04:51","RS","RS   Galatasaray Spor Kulubu (women)",
,"12:04:55","04:51","B POSS","B POSS   Iller Bankasi GSK (women)",
,"12:04:59","04:55","B","B   Galatasaray Spor Kulubu (women)",
,"12:04:59","04:55","P","[3 : 7]   P   Galatasaray Spor Kulubu (women)",
,"12:05:12","05:08","Pt Conf","Pt Conf   Galatasaray Spor Kulubu (women)",
,"12:05:15","05:12","SRV","SRV   Galatasaray Spor Kulubu (women)",
,"12:05:18","05:14","RS","RS   Galatasaray Spor Kulubu (women)",
,"12:05:18","05:14","B POSS","B POSS   Iller Bankasi GSK (women)",
,"12:05:21","05:18","B","B   Galatasaray Spor Kulubu (women)",
,"12:05:21","05:18","P","[3 : 8]   P   Galatasaray Spor Kulubu (women)",
,"12:05:39","05:35","Pt Conf","Pt Conf   Galatasaray Spor Kulubu (women)",
,"12:05:43","05:39","SRV","SRV   Galatasaray Spor Kulubu (women)",
,"12:05:45","05:41","S ERR","S ERR   Galatasaray Spor Kulubu (women)",
,"12:05:45","05:41","P","[4 : 8]   P   Iller Bankasi GSK (women)",
,"12:05:58","05:55","Pt Conf","Pt Conf   Iller Bankasi GSK (women)",
,"12:06:01","05:58","SRV","SRV   Iller Bankasi GSK (women)",
