"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891958","Turkey","Sultanlar Ligi (women)","21.10.2017 - 14:00","Vakifbank SK (women)","Beylikdüzü Voleybol Ihtisas (women)",
"Statistics","Vakifbank SK (women)","Type","Beylikdüzü Voleybol Ihtisas (women)",
,"3","Score","2",
,"101","Points","91",
,"3","Sets","2",
,"10","Aces","4",
,"11","Service errors","10",
,"51","Kills","54",
,"10","Blocks","9",
,"6","Errors","9",
,"7","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:35:08","00:00","Game conditions changed","Game conditions changed",
,"13:35:09","00:00","Players warming up","Players warming up",
,"13:42:52","00:00","Coin flipping","Coin flipping",
,"13:43:57","00:00","Warm up at the net","Warm up at the net",
,"13:44:38","00:00","Jersey colours updated","Jersey colours updated",
,"13:44:38","00:00","Jersey colours updated","Jersey colours updated",
,"13:55:18","00:00","Players intro","Players intro",
,"13:56:15","00:00","Players lined up","Players lined up",
,"13:57:41","00:00","Game about to start","Game about to start",
,"14:00:10","00:00","Start SRV","Start SRV   Vakifbank SK (women)",
,"14:00:23","00:00","Start 1st Set","Start 1st Set",
,"14:00:23","00:00","SRV","SRV   Vakifbank SK (women)",
,"14:00:29","00:06","RS","RS   Vakifbank SK (women)",
,"14:00:29","00:06","B POSS","B POSS   Beylikdüzü Voleybol Ihtisas (women)",
,"14:00:34","00:10","B","B   Vakifbank SK (women)",
,"14:00:34","00:10","P","[1 : 0]   P   Vakifbank SK (women)",
,"14:00:49","00:25","Pt Conf","Pt Conf   Vakifbank SK (women)",
,"14:00:53","00:30","SRV","SRV   Vakifbank SK (women)",
,"14:00:56","00:33","RS","RS   Vakifbank SK (women)",
,"14:00:56","00:33","B POSS","B POSS   Beylikdüzü Voleybol Ihtisas (women)",
,"14:01:01","00:37","B POSS","B POSS   Vakifbank SK (women)",
,"14:01:05","00:41","K","K   Vakifbank SK (women)",
,"14:01:05","00:41","P","[2 : 0]   P   Vakifbank SK (women)",
,"14:01:22","00:58","Pt Conf","Pt Conf   Vakifbank SK (women)",
,"14:01:25","01:01","SRV","SRV   Vakifbank SK (women)",
,"14:01:28","01:05","A","A   Vakifbank SK (women)",
,"14:01:28","01:05","P","[3 : 0]   P   Vakifbank SK (women)",
,"14:01:35","01:12","Pt Conf","Pt Conf   Vakifbank SK (women)",
,"14:01:48","01:24","SRV","SRV   Vakifbank SK (women)",
,"14:01:50","01:27","RS","RS   Vakifbank SK (women)",
,"14:01:50","01:27","B POSS","B POSS   Beylikdüzü Voleybol Ihtisas (women)",
,"14:01:53","01:29","K","K   Beylikdüzü Voleybol Ihtisas (women)",
,"14:01:53","01:29","P","[3 : 1]   P   Beylikdüzü Voleybol Ihtisas (women)",
,"14:02:09","01:45","Pt Conf","Pt Conf   Beylikdüzü Voleybol Ihtisas (women)",
,"14:02:11","01:47","SRV","SRV   Beylikdüzü Voleybol Ihtisas (women)",
,"14:02:13","01:50","S ERR","S ERR   Beylikdüzü Voleybol Ihtisas (women)",
,"14:02:13","01:50","P","[4 : 1]   P   Vakifbank SK (women)",
,"14:02:25","02:01","Pt Conf","Pt Conf   Vakifbank SK (women)",
,"14:02:27","02:04","SRV","SRV   Vakifbank SK (women)",
,"14:02:32","02:08","RS","RS   Vakifbank SK (women)",
,"14:02:32","02:08","B POSS","B POSS   Beylikdüzü Voleybol Ihtisas (women)",
,"14:02:36","02:13","B POSS","B POSS   Vakifbank SK (women)",
