"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887895","USA","NCAA Women","21.10.2017 - 18:00","Columbia Lions (women/students)","Cornell Big Red (women/students)",
"Statistics","Columbia Lions (women/students)","Type","Cornell Big Red (women/students)",
,"3","Score","1",
,"98","Points","79",
,"3","Sets","1",
,"5","Aces","3",
,"9","Service errors","8",
,"49","Kills","43",
,"12","Blocks","5",
,"13","Errors","12",
,"6","Outs","12",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:55:27","00:00","Game conditions changed","Game conditions changed",
,"17:55:28","00:00","Players warming up","Players warming up",
,"17:55:28","00:00","Coin flipping","Coin flipping",
,"17:55:29","00:00","Warm up at the net","Warm up at the net",
,"18:00:08","00:00","Jersey colours updated","Jersey colours updated",
,"18:00:08","00:00","Jersey colours updated","Jersey colours updated",
,"18:00:23","00:00","Players intro","Players intro",
,"18:00:43","00:00","National anthem singing","National anthem singing",
,"18:01:58","00:00","Players lined up","Players lined up",
,"18:04:38","00:00","Shake hands","Shake hands",
,"18:04:39","00:00","Game about to start","Game about to start",
,"18:05:30","00:00","Start SRV","Start SRV   Columbia Lions (women/students)",
,"18:05:36","00:00","Start 1st Set","Start 1st Set",
,"18:05:37","00:00","SRV","SRV   Columbia Lions (women/students)",
,"18:05:43","00:06","RS","RS   Columbia Lions (women/students)",
,"18:05:43","00:06","B POSS","B POSS   Cornell Big Red (women/students)",
,"18:05:47","00:10","OUT","OUT   Cornell Big Red (women/students)",
,"18:05:47","00:10","P","[1 : 0]   P   Columbia Lions (women/students)",
,"18:05:57","00:20","Pt Conf","Pt Conf   Columbia Lions (women/students)",
,"18:05:58","00:21","SRV","SRV   Columbia Lions (women/students)",
,"18:06:05","00:28","RS","RS   Columbia Lions (women/students)",
,"18:06:05","00:28","B POSS","B POSS   Cornell Big Red (women/students)",
,"18:06:10","00:33","OUT","OUT   Cornell Big Red (women/students)",
,"18:06:10","00:33","P","[2 : 0]   P   Columbia Lions (women/students)",
,"18:06:22","00:45","Pt Conf","Pt Conf   Columbia Lions (women/students)",
,"18:06:22","00:46","SRV","SRV   Columbia Lions (women/students)",
,"18:06:26","00:49","RS","RS   Columbia Lions (women/students)",
,"18:06:27","00:50","B POSS","B POSS   Cornell Big Red (women/students)",
,"18:06:32","00:55","OUT","OUT   Cornell Big Red (women/students)",
,"18:06:32","00:55","P","[3 : 0]   P   Columbia Lions (women/students)",
,"18:06:41","01:04","Pt Conf","Pt Conf   Columbia Lions (women/students)",
