"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891711","USA","NCAA Women","21.10.2017 - 22:05","Holy Cross Crusaders (women/students)","Lafayette Leopards (women/students)",
"Statistics","Holy Cross Crusaders (women/students)","Type","Lafayette Leopards (women/students)",
,"3","Score","0",
,"75","Points","51",
,"3","Sets","0",
,"3","Aces","3",
,"7","Service errors","1",
,"49","Kills","21",
,"9","Blocks","5",
,"7","Errors","8",
,"8","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"21:17:43","00:00","Game conditions changed","Game conditions changed",
,"21:17:46","00:00","Players warming up","Players warming up",
,"21:30:16","00:00","Coin flipping","Coin flipping",
,"21:41:01","00:00","Warm up at the net","Warm up at the net",
,"21:54:41","00:00","Jersey colours updated","Jersey colours updated",
,"21:54:42","00:00","Jersey colours updated","Jersey colours updated",
,"22:00:21","00:00","Players lined up","Players lined up",
,"22:00:53","00:00","Players intro","Players intro",
,"22:03:39","00:00","National anthem singing","National anthem singing",
,"22:04:57","00:00","Shake hands","Shake hands",
,"22:05:38","00:00","Game about to start","Game about to start",
,"22:06:28","00:00","Start SRV","Start SRV   Lafayette Leopards (women/students)",
,"22:06:31","00:00","Start 1st Set","Start 1st Set",
,"22:06:31","00:00","SRV","SRV   Lafayette Leopards (women/students)",
,"22:06:33","00:02","RS","RS   Lafayette Leopards (women/students)",
,"22:06:33","00:02","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:06:37","00:06","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:06:40","00:09","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:06:45","00:14","OUT","OUT   Holy Cross Crusaders (women/students)",
,"22:06:45","00:14","P","[0 : 1]   P   Lafayette Leopards (women/students)",
,"22:06:53","00:22","Pt Conf","Pt Conf   Lafayette Leopards (women/students)",
,"22:06:58","00:27","SRV","SRV   Lafayette Leopards (women/students)",
,"22:07:08","00:37","RS","RS   Lafayette Leopards (women/students)",
,"22:07:08","00:37","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:07:08","00:37","K","K   Lafayette Leopards (women/students)",
,"22:07:08","00:37","P","[0 : 2]   P   Lafayette Leopards (women/students)",
,"22:07:11","00:40","Pt Conf","Pt Conf   Lafayette Leopards (women/students)",
,"22:07:16","00:45","SRV","SRV   Lafayette Leopards (women/students)",
,"22:07:18","00:47","RS","RS   Lafayette Leopards (women/students)",
,"22:07:19","00:48","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:07:25","00:54","K","K   Holy Cross Crusaders (women/students)",
,"22:07:25","00:54","P","[1 : 2]   P   Holy Cross Crusaders (women/students)",
,"22:07:41","01:10","Pt Conf","Pt Conf   Holy Cross Crusaders (women/students)",
,"22:07:47","01:16","SRV","SRV   Holy Cross Crusaders (women/students)",
,"22:08:06","01:35","RS","RS   Holy Cross Crusaders (women/students)",
,"22:08:06","01:35","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:08:13","01:42","ERR","ERR   Lafayette Leopards (women/students)",
,"22:08:13","01:42","P","[2 : 2]   P   Holy Cross Crusaders (women/students)",
,"22:08:25","01:54","Pt Conf","Pt Conf   Holy Cross Crusaders (women/students)",
,"22:08:29","01:58","SRV","SRV   Holy Cross Crusaders (women/students)",
,"22:08:31","02:00","RS","RS   Holy Cross Crusaders (women/students)",
,"22:08:31","02:00","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:08:35","02:04","ERR","ERR   Lafayette Leopards (women/students)",
,"22:08:35","02:04","P","[3 : 2]   P   Holy Cross Crusaders (women/students)",
,"22:09:01","02:30","Pt Conf","Pt Conf   Holy Cross Crusaders (women/students)",
,"22:09:04","02:33","SRV","SRV   Holy Cross Crusaders (women/students)",
,"22:09:05","02:34","RS","RS   Holy Cross Crusaders (women/students)",
,"22:09:06","02:35","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:09:09","02:38","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:09:14","02:43","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:09:21","02:49","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:09:22","02:51","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:09:23","02:52","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:09:23","02:52","Rally over 5 possession changes","Rally over 5 possession changes",
,"22:09:29","02:58","K","K   Holy Cross Crusaders (women/students)",
,"22:09:29","02:58","P","[4 : 2]   P   Holy Cross Crusaders (women/students)",
,"22:09:39","03:08","Pt Conf","Pt Conf   Holy Cross Crusaders (women/students)",
,"22:09:42","03:11","SRV","SRV   Holy Cross Crusaders (women/students)",
,"22:10:03","03:32","Danger","Danger",
,"22:10:03","03:32","Scout offline","Scout offline",
,"22:10:33","04:02","Updating score","Updating score",
,"22:10:35","04:04","K","K   Holy Cross Crusaders (women/students)",
,"22:10:35","04:04","P","[5 : 2]   P   Holy Cross Crusaders (women/students)",
,"22:10:38","04:07","K","K   Holy Cross Crusaders (women/students)",
,"22:10:38","04:07","P","[6 : 2]   P   Holy Cross Crusaders (women/students)",
,"22:10:41","04:10","K","K   Lafayette Leopards (women/students)",
,"22:10:41","04:10","P","[6 : 3]   P   Lafayette Leopards (women/students)",
,"22:11:00","04:29","K","K   Holy Cross Crusaders (women/students)",
,"22:11:00","04:29","P","[7 : 3]   P   Holy Cross Crusaders (women/students)",
,"22:11:04","04:33","Score updated","Score updated",
,"22:11:17","04:46","SRV","SRV   Holy Cross Crusaders (women/students)",
,"22:11:22","04:51","S ERR","S ERR   Holy Cross Crusaders (women/students)",
,"22:11:22","04:51","P","[7 : 4]   P   Lafayette Leopards (women/students)",
,"22:11:34","05:03","Pt Conf","Pt Conf   Lafayette Leopards (women/students)",
,"22:11:37","05:06","SRV","SRV   Lafayette Leopards (women/students)",
,"22:11:39","05:08","RS","RS   Lafayette Leopards (women/students)",
,"22:11:40","05:09","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:11:45","05:14","OUT","OUT   Holy Cross Crusaders (women/students)",
,"22:11:45","05:14","P","[7 : 5]   P   Lafayette Leopards (women/students)",
,"22:11:55","05:24","Pt Conf","Pt Conf   Lafayette Leopards (women/students)",
,"22:11:57","05:26","SRV","SRV   Lafayette Leopards (women/students)",
,"22:11:59","05:28","RS","RS   Lafayette Leopards (women/students)",
,"22:11:59","05:28","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:12:01","05:30","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:12:07","05:35","ERR","ERR   Holy Cross Crusaders (women/students)",
,"22:12:07","05:35","P","[7 : 6]   P   Lafayette Leopards (women/students)",
,"22:12:20","05:49","Pt Conf","Pt Conf   Lafayette Leopards (women/students)",
,"22:12:22","05:51","SRV","SRV   Lafayette Leopards (women/students)",
,"22:12:22","05:51","RS","RS   Lafayette Leopards (women/students)",
,"22:12:22","05:51","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:12:26","05:55","ERR","ERR   Holy Cross Crusaders (women/students)",
,"22:12:26","05:55","P","[7 : 7]   P   Lafayette Leopards (women/students)",
,"22:12:35","06:04","Pt Conf","Pt Conf   Lafayette Leopards (women/students)",
,"22:12:37","06:06","SRV","SRV   Lafayette Leopards (women/students)",
,"22:12:40","06:09","RS","RS   Lafayette Leopards (women/students)",
,"22:12:41","06:10","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:12:50","06:19","K","K   Holy Cross Crusaders (women/students)",
,"22:12:50","06:19","P","[8 : 7]   P   Holy Cross Crusaders (women/students)",
,"22:12:54","06:23","Pt Conf","Pt Conf   Holy Cross Crusaders (women/students)",
,"22:12:58","06:27","SRV","SRV   Holy Cross Crusaders (women/students)",
,"22:12:59","06:28","RS","RS   Holy Cross Crusaders (women/students)",
,"22:13:00","06:29","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:13:03","06:32","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:13:07","06:36","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:13:08","06:37","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:13:10","06:39","K","K   Holy Cross Crusaders (women/students)",
,"22:13:10","06:39","P","[9 : 7]   P   Holy Cross Crusaders (women/students)",
,"22:13:23","06:52","Pt Conf","Pt Conf   Holy Cross Crusaders (women/students)",
,"22:13:24","06:53","SRV","SRV   Holy Cross Crusaders (women/students)",
,"22:13:25","06:54","RS","RS   Holy Cross Crusaders (women/students)",
,"22:13:26","06:55","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:13:30","06:59","B","B   Holy Cross Crusaders (women/students)",
,"22:13:30","06:59","P","[10 : 7]   P   Holy Cross Crusaders (women/students)",
,"22:13:40","07:09","Pt Conf","Pt Conf   Holy Cross Crusaders (women/students)",
,"22:13:43","07:12","SRV","SRV   Holy Cross Crusaders (women/students)",
,"22:13:45","07:14","RS","RS   Holy Cross Crusaders (women/students)",
,"22:13:45","07:14","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:13:51","07:20","OUT","OUT   Lafayette Leopards (women/students)",
,"22:13:51","07:20","P","[11 : 7]   P   Holy Cross Crusaders (women/students)",
,"22:14:00","07:29","Pt Conf","Pt Conf   Holy Cross Crusaders (women/students)",
,"22:14:02","07:31","SRV","SRV   Holy Cross Crusaders (women/students)",
,"22:14:03","07:32","RS","RS   Holy Cross Crusaders (women/students)",
,"22:14:04","07:33","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:14:07","07:36","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:14:12","07:41","B POSS","B POSS   Lafayette Leopards (women/students)",
,"22:14:12","07:41","B POSS","B POSS   Holy Cross Crusaders (women/students)",
,"22:14:16","07:45","K","K   Holy Cross Crusaders (women/students)",
