"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"894327","Ukraine","Super League (men)","21.10.2017 - 09:00","VK Sertse Podillya","Yurakademiya",
"Statistics","VK Sertse Podillya","Type","Yurakademiya",
,"3","Score","0",
,"76","Points","68",
,"3","Sets","0",
,"2","Aces","3",
,"9","Service errors","13",
,"39","Kills","36",
,"6","Blocks","7",
,"7","Errors","11",
,"6","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:25:04","00:00","Game conditions changed","Game conditions changed",
,"08:25:08","00:00","Players warming up","Players warming up",
,"08:44:42","00:00","Coin flipping","Coin flipping",
,"08:44:43","00:00","Warm up at the net","Warm up at the net",
,"08:56:07","00:00","Players intro","Players intro",
,"08:56:08","00:00","Players lined up","Players lined up",
,"08:56:28","00:00","Jersey colours updated","Jersey colours updated",
,"08:56:29","00:00","Jersey colours updated","Jersey colours updated",
,"08:58:06","00:00","National anthem singing","National anthem singing",
,"08:58:09","00:00","Shake hands","Shake hands",
,"08:58:10","00:00","Game about to start","Game about to start",
,"09:01:11","00:00","Start SRV","Start SRV   VK Sertse Podillya",
,"09:01:18","00:00","Start 1st Set","Start 1st Set",
,"09:01:19","00:00","SRV","SRV   VK Sertse Podillya",
,"09:01:20","00:01","RS","RS   VK Sertse Podillya",
,"09:01:20","00:01","B POSS","B POSS   Yurakademiya",
,"09:01:22","00:03","B POSS","B POSS   VK Sertse Podillya",
,"09:01:24","00:06","B POSS","B POSS   Yurakademiya",
,"09:01:25","00:07","K","K   Yurakademiya",
,"09:01:25","00:07","P","[0 : 1]   P   Yurakademiya",
,"09:01:35","00:17","Pt Conf","Pt Conf   Yurakademiya",
,"09:01:40","00:21","SRV","SRV   Yurakademiya",
,"09:01:41","00:22","RS","RS   Yurakademiya",
,"09:01:41","00:23","B POSS","B POSS   VK Sertse Podillya",
,"09:01:52","00:33","B POSS","B POSS   Yurakademiya",
,"09:01:53","00:34","K","K   Yurakademiya",
,"09:01:53","00:34","P","[0 : 2]   P   Yurakademiya",
,"09:02:11","00:52","Pt Conf","Pt Conf   Yurakademiya",
,"09:02:11","00:52","SRV","SRV   Yurakademiya",
,"09:02:11","00:53","RS","RS   Yurakademiya",
,"09:02:11","00:53","B POSS","B POSS   VK Sertse Podillya",
,"09:02:19","01:01","ERR","ERR   Yurakademiya",
,"09:02:19","01:01","P","[1 : 2]   P   VK Sertse Podillya",
,"09:02:27","01:08","Pt Conf","Pt Conf   VK Sertse Podillya",
,"09:02:38","01:19","SRV","SRV   VK Sertse Podillya",
,"09:02:38","01:20","RS","RS   VK Sertse Podillya",
,"09:02:39","01:20","B POSS","B POSS   Yurakademiya",
,"09:02:45","01:26","ERR","ERR   Yurakademiya",
,"09:02:45","01:26","P","[2 : 2]   P   VK Sertse Podillya",
,"09:02:47","01:29","Pt Conf","Pt Conf   VK Sertse Podillya",
,"09:02:56","01:38","SRV","SRV   VK Sertse Podillya",
,"09:02:59","01:41","RS","RS   VK Sertse Podillya",
,"09:02:59","01:41","B POSS","B POSS   Yurakademiya",
,"09:03:04","01:45","B","B   VK Sertse Podillya",
,"09:03:04","01:45","P","[3 : 2]   P   VK Sertse Podillya",
,"09:03:14","01:55","Pt Conf","Pt Conf   VK Sertse Podillya",
,"09:03:17","01:59","SRV","SRV   VK Sertse Podillya",
,"09:03:20","02:02","S ERR","S ERR   VK Sertse Podillya",
,"09:03:20","02:02","P","[3 : 3]   P   Yurakademiya",
