"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886808","Belgium","Liga Heren (men)","21.10.2017 - 18:30","Prefaxis Volley Menen","VDK Gent",
"Statistics","Prefaxis Volley Menen","Type","VDK Gent",
,"3","Score","2",
,"102","Points","102",
,"3","Sets","2",
,"8","Aces","3",
,"14","Service errors","21",
,"55","Kills","50",
,"4","Blocks","19",
,"4","Errors","6",
,"12","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:51:59","00:00","Game conditions changed","Game conditions changed",
,"17:52:01","00:00","Players warming up","Players warming up",
,"18:13:00","00:00","Game conditions changed","Game conditions changed",
,"18:14:02","00:00","Coin flipping","Coin flipping",
,"18:14:31","00:00","Warm up at the net","Warm up at the net",
,"18:24:19","00:00","Jersey colours updated","Jersey colours updated",
,"18:24:19","00:00","Jersey colours updated","Jersey colours updated",
,"18:25:48","00:00","Players lined up","Players lined up",
,"18:27:13","00:00","Shake hands","Shake hands",
,"18:28:57","00:00","Players intro","Players intro",
,"18:30:03","00:00","Game about to start","Game about to start",
,"18:31:07","00:00","Start SRV","Start SRV   Prefaxis Volley Menen",
,"18:31:18","00:00","Start SRV","Start SRV   Prefaxis Volley Menen",
,"18:31:20","00:00","Start 1st Set","Start 1st Set",
,"18:31:20","00:00","SRV","SRV   Prefaxis Volley Menen",
,"18:31:22","00:02","RS","RS   Prefaxis Volley Menen",
,"18:31:23","00:02","B POSS","B POSS   VDK Gent",
,"18:31:28","00:07","K","K   VDK Gent",
,"18:31:28","00:07","P","[0 : 1]   P   VDK Gent",
,"18:31:42","00:22","Pt Conf","Pt Conf   VDK Gent",
,"18:31:46","00:25","SRV","SRV   VDK Gent",
,"18:31:49","00:28","RS","RS   VDK Gent",
,"18:31:49","00:28","B POSS","B POSS   Prefaxis Volley Menen",
,"18:31:51","00:31","B POSS","B POSS   VDK Gent",
,"18:31:52","00:32","K","K   VDK Gent",
,"18:31:52","00:32","P","[0 : 2]   P   VDK Gent",
,"18:32:05","00:45","Pt Conf","Pt Conf   VDK Gent",
,"18:32:08","00:47","SRV","SRV   VDK Gent",
,"18:32:11","00:50","RS","RS   VDK Gent",
,"18:32:11","00:50","B POSS","B POSS   Prefaxis Volley Menen",
,"18:32:15","00:54","B POSS","B POSS   VDK Gent",
,"18:32:21","01:00","B POSS","B POSS   Prefaxis Volley Menen",
,"18:32:23","01:02","B POSS","B POSS   VDK Gent",
,"18:32:26","01:05","B POSS","B POSS   Prefaxis Volley Menen",
,"18:32:30","01:09","K","K   Prefaxis Volley Menen",
,"18:32:30","01:09","P","[1 : 2]   P   Prefaxis Volley Menen",
,"18:32:47","01:26","Pt Conf","Pt Conf   Prefaxis Volley Menen",
,"18:32:50","01:29","SRV","SRV   Prefaxis Volley Menen",
,"18:32:54","01:34","RS","RS   Prefaxis Volley Menen",
,"18:32:55","01:34","B POSS","B POSS   VDK Gent",
,"18:33:00","01:40","K","K   VDK Gent",
,"18:33:00","01:40","P","[1 : 3]   P   VDK Gent",
,"18:33:16","01:55","Pt Conf","Pt Conf   VDK Gent",
,"18:33:17","01:56","SRV","SRV   VDK Gent",
,"18:33:19","01:58","RS","RS   VDK Gent",
,"18:33:19","01:58","B POSS","B POSS   Prefaxis Volley Menen",
,"18:33:23","02:03","B","B   VDK Gent",
,"18:33:23","02:03","P","[1 : 4]   P   VDK Gent",
,"18:33:36","02:15","Pt Conf","Pt Conf   VDK Gent",
,"18:33:37","02:16","SRV","SRV   VDK Gent",
,"18:33:39","02:18","RS","RS   VDK Gent",
