"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888859","Czech Republic","Extraliga (men)","21.10.2017 - 16:00","CZU Praha","VSC Fatra Zlin",
"Statistics","CZU Praha","Type","VSC Fatra Zlin",
,"3","Score","0",
,"75","Points","63",
,"3","Sets","0",
,"10","Aces","2",
,"12","Service errors","13",
,"30","Kills","26",
,"6","Blocks","7",
,"7","Errors","9",
,"9","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:36:49","00:00","Game conditions changed","Game conditions changed",
,"15:36:50","00:00","Players warming up","Players warming up",
,"15:46:00","00:00","Coin flipping","Coin flipping",
,"15:46:01","00:00","Warm up at the net","Warm up at the net",
,"15:46:21","00:00","Jersey colours updated","Jersey colours updated",
,"15:46:21","00:00","Jersey colours updated","Jersey colours updated",
,"15:58:07","00:00","Players lined up","Players lined up",
,"15:58:29","00:00","Shake hands","Shake hands",
,"15:59:27","00:00","Players intro","Players intro",
,"16:00:25","00:00","Game about to start","Game about to start",
,"16:01:17","00:00","Start SRV","Start SRV   VSC Fatra Zlin",
,"16:01:28","00:00","Start 1st Set","Start 1st Set",
,"16:01:28","00:00","SRV","SRV   VSC Fatra Zlin",
,"16:01:31","00:03","RS","RS   VSC Fatra Zlin",
,"16:01:31","00:03","B POSS","B POSS   CZU Praha",
,"16:01:35","00:07","K","K   CZU Praha",
,"16:01:35","00:07","P","[1 : 0]   P   CZU Praha",
,"16:01:49","00:21","Pt Conf","Pt Conf   CZU Praha",
,"16:01:53","00:25","SRV","SRV   CZU Praha",
,"16:01:57","00:29","RS","RS   CZU Praha",
,"16:01:58","00:30","B POSS","B POSS   VSC Fatra Zlin",
,"16:02:02","00:34","K","K   VSC Fatra Zlin",
,"16:02:02","00:34","P","[1 : 1]   P   VSC Fatra Zlin",
,"16:02:18","00:50","Pt Conf","Pt Conf   VSC Fatra Zlin",
,"16:02:18","00:50","SRV","SRV   VSC Fatra Zlin",
,"16:02:21","00:53","RS","RS   VSC Fatra Zlin",
,"16:02:22","00:54","B POSS","B POSS   CZU Praha",
,"16:02:36","01:08","ERR","ERR   CZU Praha",
,"16:02:36","01:08","P","[1 : 2]   P   VSC Fatra Zlin",
,"16:02:52","01:24","Pt Conf","Pt Conf   VSC Fatra Zlin",
,"16:02:53","01:25","SRV","SRV   VSC Fatra Zlin",
,"16:02:57","01:29","RS","RS   VSC Fatra Zlin",
,"16:02:58","01:30","B POSS","B POSS   CZU Praha",
,"16:03:02","01:34","ERR","ERR   VSC Fatra Zlin",
,"16:03:02","01:34","P","[2 : 2]   P   CZU Praha",
,"16:03:16","01:48","Pt Conf","Pt Conf   CZU Praha",
,"16:03:19","01:50","SRV","SRV   CZU Praha",
,"16:03:22","01:54","RS","RS   CZU Praha",
,"16:03:23","01:55","B POSS","B POSS   VSC Fatra Zlin",
,"16:03:26","01:58","K","K   VSC Fatra Zlin",
,"16:03:26","01:58","P","[2 : 3]   P   VSC Fatra Zlin",
,"16:03:40","02:12","Pt Conf","Pt Conf   VSC Fatra Zlin",
,"16:03:45","02:16","SRV","SRV   VSC Fatra Zlin",
,"16:03:48","02:20","RS","RS   VSC Fatra Zlin",
,"16:03:49","02:21","B POSS","B POSS   CZU Praha",
,"16:03:53","02:25","K","K   CZU Praha",
,"16:03:53","02:25","P","[3 : 3]   P   CZU Praha",
,"16:04:08","02:40","Pt Conf","Pt Conf   CZU Praha",
,"16:04:12","02:44","SRV","SRV   CZU Praha",
,"16:04:16","02:48","RS","RS   CZU Praha",
,"16:04:16","02:48","B POSS","B POSS   VSC Fatra Zlin",
,"16:04:23","02:55","K","K   VSC Fatra Zlin",
,"16:04:23","02:55","P","[3 : 4]   P   VSC Fatra Zlin",
