"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888491","Europe","Baltic League (men)","21.10.2017 - 17:00","VK TTÜ","Ezerzeme/DU",
"Statistics","VK TTÜ","Type","Ezerzeme/DU",
,"0","Score","3",
,"58","Points","75",
,"0","Sets","3",
,"5","Aces","6",
,"12","Service errors","7",
,"32","Kills","32",
,"8","Blocks","7",
,"13","Errors","2",
,"5","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:53:50","00:00","Game conditions changed","Game conditions changed",
,"16:17:44","00:00","Players warming up","Players warming up",
,"16:44:16","00:00","Game conditions changed","Game conditions changed",
,"16:45:48","00:00","Coin flipping","Coin flipping",
,"16:46:36","00:00","Warm up at the net","Warm up at the net",
,"16:53:28","00:00","Jersey colours updated","Jersey colours updated",
,"16:53:29","00:00","Jersey colours updated","Jersey colours updated",
,"16:57:56","00:00","Players lined up","Players lined up",
,"16:58:55","00:00","Shake hands","Shake hands",
,"16:59:56","00:00","Players intro","Players intro",
,"17:01:27","00:00","Game about to start","Game about to start",
,"17:02:11","00:00","Start SRV","Start SRV   VK TTÜ",
,"17:02:21","00:00","Start 1st Set","Start 1st Set",
,"17:02:21","00:00","SRV","SRV   VK TTÜ",
,"17:02:23","00:02","RS","RS   VK TTÜ",
,"17:02:24","00:03","B POSS","B POSS   Ezerzeme/DU",
,"17:02:28","00:06","B POSS","B POSS   VK TTÜ",
,"17:02:31","00:10","K","K   VK TTÜ",
,"17:02:31","00:10","P","[1 : 0]   P   VK TTÜ",
,"17:02:35","00:14","Pt Conf","Pt Conf   VK TTÜ",
,"17:02:52","00:31","SRV","SRV   VK TTÜ",
,"17:02:55","00:33","RS","RS   VK TTÜ",
,"17:02:55","00:34","B POSS","B POSS   Ezerzeme/DU",
,"17:02:56","00:34","B POSS","B POSS   VK TTÜ",
,"17:03:00","00:39","K","K   VK TTÜ",
,"17:03:00","00:39","P","[2 : 0]   P   VK TTÜ",
,"17:03:16","00:55","Pt Conf","Pt Conf   VK TTÜ",
,"17:03:20","00:59","SRV","SRV   VK TTÜ",
,"17:03:23","01:02","S ERR","S ERR   VK TTÜ",
,"17:03:23","01:02","P","[2 : 1]   P   Ezerzeme/DU",
,"17:03:35","01:13","Pt Conf","Pt Conf   Ezerzeme/DU",
,"17:03:42","01:21","SRV","SRV   Ezerzeme/DU",
,"17:03:45","01:24","A","A   Ezerzeme/DU",
,"17:03:45","01:24","P","[2 : 2]   P   Ezerzeme/DU",
,"17:03:57","01:36","Pt Conf","Pt Conf   Ezerzeme/DU",
,"17:04:05","01:44","SRV","SRV   Ezerzeme/DU",
,"17:04:08","01:47","RS","RS   Ezerzeme/DU",
,"17:04:09","01:48","B POSS","B POSS   VK TTÜ",
,"17:04:11","01:50","B POSS","B POSS   Ezerzeme/DU",
,"17:04:15","01:54","B POSS","B POSS   VK TTÜ",
,"17:04:19","01:58","B POSS","B POSS   Ezerzeme/DU",
,"17:04:25","02:03","B POSS","B POSS   VK TTÜ",
,"17:04:27","02:06","B POSS","B POSS   Ezerzeme/DU",
,"17:04:27","02:06","Rally over 5 possession changes","Rally over 5 possession changes",
