"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886816","Netherlands","Eredivisie (men)","21.10.2017 - 18:00","VCV Veenendaal","SSS Barneveld",
"Statistics","VCV Veenendaal","Type","SSS Barneveld",
,"1","Score","3",
,"77","Points","96",
,"1","Sets","3",
,"6","Aces","7",
,"21","Service errors","14",
,"36","Kills","44",
,"8","Blocks","7",
,"10","Errors","5",
,"7","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:21:39","00:00","Game conditions changed","Game conditions changed",
,"17:21:42","00:00","Players warming up","Players warming up",
,"17:39:24","00:00","Jersey colours updated","Jersey colours updated",
,"17:39:24","00:00","Jersey colours updated","Jersey colours updated",
,"17:43:07","00:00","Coin flipping","Coin flipping",
,"17:43:57","00:00","Players lined up","Players lined up",
,"17:44:28","00:00","Shake hands","Shake hands",
,"17:44:40","00:00","Warm up at the net","Warm up at the net",
,"17:44:47","00:00","Game conditions changed","Game conditions changed",
,"17:47:44","00:00","Players intro","Players intro",
,"17:50:04","00:00","Game conditions changed","Game conditions changed",
,"17:58:40","00:00","Game about to start","Game about to start",
,"17:59:28","00:00","Start SRV","Start SRV   SSS Barneveld",
,"17:59:32","00:00","Start 1st Set","Start 1st Set",
,"17:59:32","00:00","SRV","SRV   SSS Barneveld",
,"17:59:34","00:02","RS","RS   SSS Barneveld",
,"17:59:35","00:03","B POSS","B POSS   Vallei Volleyball Prins",
,"17:59:38","00:05","B POSS","B POSS   SSS Barneveld",
,"17:59:39","00:07","B POSS","B POSS   Vallei Volleyball Prins",
,"17:59:42","00:10","B POSS","B POSS   SSS Barneveld",
,"17:59:48","00:16","OUT","OUT   SSS Barneveld",
,"17:59:48","00:16","P","[1 : 0]   P   Vallei Volleyball Prins",
,"17:59:59","00:27","Pt Conf","Pt Conf   Vallei Volleyball Prins",
,"18:00:06","00:34","SRV","SRV   Vallei Volleyball Prins",
,"18:00:07","00:35","S ERR","S ERR   Vallei Volleyball Prins",
,"18:00:07","00:35","P","[1 : 1]   P   SSS Barneveld",
,"18:00:15","00:43","Pt Conf","Pt Conf   SSS Barneveld",
,"18:00:20","00:48","SRV","SRV   SSS Barneveld",
,"18:00:23","00:51","RS","RS   SSS Barneveld",
,"18:00:23","00:51","B POSS","B POSS   Vallei Volleyball Prins",
,"18:00:25","00:53","B POSS","B POSS   SSS Barneveld",
,"18:00:31","00:59","K","K   SSS Barneveld",
,"18:00:31","00:59","P","[1 : 2]   P   SSS Barneveld",
,"18:00:40","01:08","Pt Conf","Pt Conf   SSS Barneveld",
,"18:00:45","01:13","SRV","SRV   SSS Barneveld",
,"18:00:54","01:22","A","A   SSS Barneveld",
,"18:00:54","01:22","P","[1 : 3]   P   SSS Barneveld",
,"18:01:04","01:32","Pt Conf","Pt Conf   SSS Barneveld",
,"18:01:08","01:35","SRV","SRV   SSS Barneveld",
,"18:01:11","01:39","RS","RS   SSS Barneveld",
,"18:01:11","01:39","B POSS","B POSS   Vallei Volleyball Prins",
,"18:01:16","01:43","K","K   Vallei Volleyball Prins",
,"18:01:16","01:43","P","[2 : 3]   P   Vallei Volleyball Prins",
,"18:01:24","01:52","Pt Conf","Pt Conf   Vallei Volleyball Prins",
,"18:01:31","01:58","SRV","SRV   Vallei Volleyball Prins",
,"18:01:33","02:01","RS","RS   Vallei Volleyball Prins",
