"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"894350","Romania","Divizia A1 (women)","21.10.2017 - 14:00","ACS Penicilina Iasi (women)","CSU Targu Mures (women)",
"Statistics","ACS Penicilina Iasi (women)","Type","CSU Targu Mures (women)",
,"3","Score","1",
,"96","Points","75",
,"3","Sets","1",
,"12","Aces","5",
,"8","Service errors","9",
,"42","Kills","38",
,"8","Blocks","9",
,"8","Errors","15",
,"7","Outs","10",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:08:03","00:00","Game conditions changed","Game conditions changed",
,"13:08:04","00:00","Players warming up","Players warming up",
,"13:45:24","00:00","Coin flipping","Coin flipping",
,"13:47:28","00:00","Warm up at the net","Warm up at the net",
,"13:49:18","00:00","Game conditions changed","Game conditions changed",
,"13:53:39","00:00","Jersey colours updated","Jersey colours updated",
,"13:53:39","00:00","Jersey colours updated","Jersey colours updated",
,"13:58:14","00:00","Players lined up","Players lined up",
,"13:58:29","00:00","Shake hands","Shake hands",
,"13:59:48","00:00","Players intro","Players intro",
,"14:01:14","00:00","Game about to start","Game about to start",
,"14:01:49","00:00","Start SRV","Start SRV   ACS Penicilina Iasi (women)",
,"14:02:08","00:00","Start 1st Set","Start 1st Set",
,"14:02:09","00:00","SRV","SRV   ACS Penicilina Iasi (women)",
,"14:02:15","00:06","RS","RS   ACS Penicilina Iasi (women)",
,"14:02:15","00:07","B POSS","B POSS   CSU Targu Mures (women)",
,"14:02:21","00:12","B POSS","B POSS   ACS Penicilina Iasi (women)",
,"14:02:31","00:22","B","B   CSU Targu Mures (women)",
,"14:02:31","00:22","P","[0 : 1]   P   CSU Targu Mures (women)",
,"14:02:46","00:37","Pt Conf","Pt Conf   CSU Targu Mures (women)",
,"14:02:47","00:38","SRV","SRV   CSU Targu Mures (women)",
,"14:02:51","00:43","RS","RS   CSU Targu Mures (women)",
,"14:02:52","00:43","B POSS","B POSS   ACS Penicilina Iasi (women)",
,"14:02:59","00:50","K","K   ACS Penicilina Iasi (women)",
,"14:02:59","00:50","P","[1 : 1]   P   ACS Penicilina Iasi (women)",
,"14:03:12","01:03","Pt Conf","Pt Conf   ACS Penicilina Iasi (women)",
,"14:03:13","01:04","SRV","SRV   ACS Penicilina Iasi (women)",
,"14:03:18","01:09","RS","RS   ACS Penicilina Iasi (women)",
