"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887657","Russia","Superleague (women)","21.10.2017 - 15:00","Dynamo Kazan (women)","Dynamo-Metar Chelyabinsk (women)",
"Statistics","Dynamo Kazan (women)","Type","Dynamo-Metar Chelyabinsk (women)",
,"3","Score","0",
,"75","Points","48",
,"3","Sets","0",
,"6","Aces","5",
,"10","Service errors","6",
,"38","Kills","20",
,"12","Blocks","4",
,"6","Errors","9",
,"3","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:27:18","00:00","Game conditions changed","Game conditions changed",
,"14:27:26","00:00","Players warming up","Players warming up",
,"14:28:25","00:00","Jersey colours updated","Jersey colours updated",
,"14:28:25","00:00","Jersey colours updated","Jersey colours updated",
,"14:46:10","00:00","Coin flipping","Coin flipping",
,"14:46:11","00:00","Warm up at the net","Warm up at the net",
,"14:55:36","00:00","Players lined up","Players lined up",
,"14:55:45","00:00","Game conditions changed","Game conditions changed",
,"14:56:03","00:00","National anthem singing","National anthem singing",
,"14:58:30","00:00","Shake hands","Shake hands",
,"15:00:27","00:00","Players intro","Players intro",
,"15:01:02","00:00","Game about to start","Game about to start",
,"15:01:37","00:00","Start SRV","Start SRV   Dynamo-Metar Chelyabinsk (women)",
,"15:01:44","00:00","Start 1st Set","Start 1st Set",
,"15:01:45","00:00","SRV","SRV   Dynamo-Metar Chelyabinsk (women)",
,"15:01:50","00:06","RS","RS   Dynamo-Metar Chelyabinsk (women)",
,"15:01:51","00:07","B POSS","B POSS   Dynamo Kazan (women)",
,"15:01:53","00:09","K","K   Dynamo Kazan (women)",
,"15:01:53","00:09","P","[1 : 0]   P   Dynamo Kazan (women)",
,"15:01:59","00:15","Pt Conf","Pt Conf   Dynamo Kazan (women)",
,"15:02:09","00:25","SRV","SRV   Dynamo Kazan (women)",
,"15:02:18","00:33","RS","RS   Dynamo Kazan (women)",
,"15:02:19","00:34","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
,"15:02:22","00:38","OUT","OUT   Dynamo-Metar Chelyabinsk (women)",
,"15:02:22","00:38","P","[2 : 0]   P   Dynamo Kazan (women)",
,"15:02:31","00:46","Pt Conf","Pt Conf   Dynamo Kazan (women)",
,"15:02:33","00:48","SRV","SRV   Dynamo Kazan (women)",
,"15:02:41","00:57","RS","RS   Dynamo Kazan (women)",
,"15:02:42","00:57","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
,"15:02:45","01:01","K","K   Dynamo-Metar Chelyabinsk (women)",
,"15:02:45","01:01","P","[2 : 1]   P   Dynamo-Metar Chelyabinsk (women)",
,"15:02:52","01:08","Pt Conf","Pt Conf   Dynamo-Metar Chelyabinsk (women)",
,"15:03:00","01:15","SRV","SRV   Dynamo-Metar Chelyabinsk (women)",
,"15:03:06","01:21","S ERR","S ERR   Dynamo-Metar Chelyabinsk (women)",
,"15:03:06","01:21","P","[3 : 1]   P   Dynamo Kazan (women)",
,"15:03:11","01:27","Pt Conf","Pt Conf   Dynamo Kazan (women)",
,"15:03:16","01:32","SRV","SRV   Dynamo Kazan (women)",
,"15:03:21","01:36","RS","RS   Dynamo Kazan (women)",
,"15:03:21","01:36","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
,"15:03:22","01:38","B POSS","B POSS   Dynamo Kazan (women)",
,"15:03:28","01:44","ERR","ERR   Dynamo Kazan (women)",
,"15:03:28","01:44","P","[3 : 2]   P   Dynamo-Metar Chelyabinsk (women)",
,"15:03:38","01:53","Pt Conf","Pt Conf   Dynamo-Metar Chelyabinsk (women)",
,"15:03:38","01:54","SRV","SRV   Dynamo-Metar Chelyabinsk (women)",
,"15:03:42","01:57","RS","RS   Dynamo-Metar Chelyabinsk (women)",
,"15:03:42","01:57","B POSS","B POSS   Dynamo Kazan (women)",
,"15:03:51","02:07","ERR","ERR   Dynamo-Metar Chelyabinsk (women)",
,"15:03:51","02:07","P","[4 : 2]   P   Dynamo Kazan (women)",
,"15:03:58","02:14","Pt Conf","Pt Conf   Dynamo Kazan (women)",
,"15:04:01","02:16","SRV","SRV   Dynamo Kazan (women)",
,"15:04:09","02:25","RS","RS   Dynamo Kazan (women)",
,"15:04:10","02:25","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
,"15:04:15","02:30","OUT","OUT   Dynamo-Metar Chelyabinsk (women)",
,"15:04:15","02:30","P","[5 : 2]   P   Dynamo Kazan (women)",
,"15:04:23","02:38","Pt Conf","Pt Conf   Dynamo Kazan (women)",
,"15:04:24","02:39","SRV","SRV   Dynamo Kazan (women)",
,"15:04:30","02:46","S ERR","S ERR   Dynamo Kazan (women)",
,"15:04:30","02:46","P","[5 : 3]   P   Dynamo-Metar Chelyabinsk (women)",
,"15:04:34","02:49","Pt Conf","Pt Conf   Dynamo-Metar Chelyabinsk (women)",
,"15:05:01","03:16","SRV","SRV   Dynamo-Metar Chelyabinsk (women)",
,"15:05:06","03:22","RS","RS   Dynamo-Metar Chelyabinsk (women)",
,"15:05:07","03:22","B POSS","B POSS   Dynamo Kazan (women)",
,"15:05:09","03:25","K","K   Dynamo Kazan (women)",
,"15:05:09","03:25","P","[6 : 3]   P   Dynamo Kazan (women)",
,"15:05:17","03:33","Pt Conf","Pt Conf   Dynamo Kazan (women)",
,"15:05:20","03:35","SRV","SRV   Dynamo Kazan (women)",
,"15:05:27","03:43","RS","RS   Dynamo Kazan (women)",
,"15:05:28","03:44","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
,"15:05:30","03:45","B POSS","B POSS   Dynamo Kazan (women)",
,"15:05:36","03:51","ERR","ERR   Dynamo Kazan (women)",
,"15:05:36","03:51","P","[6 : 4]   P   Dynamo-Metar Chelyabinsk (women)",
,"15:05:39","03:54","Pt Conf","Pt Conf   Dynamo-Metar Chelyabinsk (women)",
,"15:05:47","04:03","SRV","SRV   Dynamo-Metar Chelyabinsk (women)",
,"15:05:53","04:08","RS","RS   Dynamo-Metar Chelyabinsk (women)",
,"15:05:54","04:09","B POSS","B POSS   Dynamo Kazan (women)",
,"15:05:56","04:12","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
,"15:05:58","04:14","B POSS","B POSS   Dynamo Kazan (women)",
,"15:06:02","04:17","K","K   Dynamo Kazan (women)",
,"15:06:02","04:17","P","[7 : 4]   P   Dynamo Kazan (women)",
,"15:06:08","04:24","Pt Conf","Pt Conf   Dynamo Kazan (women)",
,"15:06:15","04:31","SRV","SRV   Dynamo Kazan (women)",
,"15:06:22","04:38","RS","RS   Dynamo Kazan (women)",
,"15:06:23","04:39","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
,"15:06:25","04:41","B POSS","B POSS   Dynamo Kazan (women)",
,"15:06:29","04:44","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
,"15:06:31","04:47","B POSS","B POSS   Dynamo Kazan (women)",
,"15:06:37","04:53","K","K   Dynamo Kazan (women)",
,"15:06:37","04:53","P","[8 : 4]   P   Dynamo Kazan (women)",
,"15:06:41","04:57","Pt Conf","Pt Conf   Dynamo Kazan (women)",
,"15:06:43","04:58","TIME","TIME",
,"15:06:43","04:59","TTO","TTO",
,"15:07:51","06:07","SRV","SRV   Dynamo Kazan (women)",
,"15:07:58","06:13","RS","RS   Dynamo Kazan (women)",
,"15:07:58","06:14","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
,"15:08:00","06:16","B","B   Dynamo Kazan (women)",
,"15:08:00","06:16","P","[9 : 4]   P   Dynamo Kazan (women)",
,"15:08:08","06:24","Pt Conf","Pt Conf   Dynamo Kazan (women)",
,"15:08:10","06:25","SRV","SRV   Dynamo Kazan (women)",
,"15:08:16","06:32","S ERR","S ERR   Dynamo Kazan (women)",
,"15:08:16","06:32","P","[9 : 5]   P   Dynamo-Metar Chelyabinsk (women)",
,"15:08:19","06:35","Pt Conf","Pt Conf   Dynamo-Metar Chelyabinsk (women)",
,"15:08:28","06:43","SRV","SRV   Dynamo-Metar Chelyabinsk (women)",
,"15:08:33","06:49","RS","RS   Dynamo-Metar Chelyabinsk (women)",
,"15:08:34","06:49","B POSS","B POSS   Dynamo Kazan (women)",
,"15:08:37","06:52","K","K   Dynamo Kazan (women)",
,"15:08:37","06:52","P","[10 : 5]   P   Dynamo Kazan (women)",
,"15:08:44","07:00","Pt Conf","Pt Conf   Dynamo Kazan (women)",
,"15:08:50","07:06","SRV","SRV   Dynamo Kazan (women)",
,"15:08:59","07:15","RS","RS   Dynamo Kazan (women)",
,"15:09:00","07:16","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
,"15:09:01","07:17","B POSS","B POSS   Dynamo Kazan (women)",
,"15:09:05","07:20","K","K   Dynamo Kazan (women)",
,"15:09:05","07:20","P","[11 : 5]   P   Dynamo Kazan (women)",
,"15:09:09","07:25","Pt Conf","Pt Conf   Dynamo Kazan (women)",
,"15:09:16","07:31","TIME","TIME",
,"15:09:17","07:32","TIME","TIME   Dynamo-Metar Chelyabinsk (women)",
,"15:10:05","08:20","SRV","SRV   Dynamo Kazan (women)",
,"15:10:10","08:26","RS","RS   Dynamo Kazan (women)",
,"15:10:11","08:27","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
,"15:10:13","08:28","B POSS","B POSS   Dynamo Kazan (women)",
,"15:10:16","08:32","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
,"15:10:24","08:40","B POSS","B POSS   Dynamo Kazan (women)",
,"15:10:25","08:40","B POSS","B POSS   Dynamo-Metar Chelyabinsk (women)",
