"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887653","Russia","Superleague (women)","21.10.2017 - 15:00","Zarechye-Odintsovo (women)","VC Sakhalin (women)",
"Statistics","Zarechye-Odintsovo (women)","Type","VC Sakhalin (women)",
,"3","Score","1",
,"94","Points","83",
,"3","Sets","1",
,"10","Aces","7",
,"10","Service errors","8",
,"46","Kills","42",
,"12","Blocks","10",
,"5","Errors","9",
,"9","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:29:29","00:00","Game conditions changed","Game conditions changed",
,"14:29:31","00:00","Players warming up","Players warming up",
,"14:30:00","00:00","Jersey colours updated","Jersey colours updated",
,"14:30:00","00:00","Jersey colours updated","Jersey colours updated",
,"14:46:06","00:00","Warm up at the net","Warm up at the net",
,"14:54:54","00:00","Players lined up","Players lined up",
,"14:57:37","00:00","National anthem singing","National anthem singing",
,"14:59:13","00:00","Shake hands","Shake hands",
,"15:00:33","00:00","Players intro","Players intro",
,"15:01:44","00:00","Game about to start","Game about to start",
,"15:02:08","00:00","Start SRV","Start SRV   VC Sakhalin (women)",
,"15:02:37","00:00","Start 1st Set","Start 1st Set",
,"15:02:37","00:00","SRV","SRV   VC Sakhalin (women)",
,"15:02:46","00:08","RS","RS   VC Sakhalin (women)",
,"15:02:46","00:08","B POSS","B POSS   Zarechye-Odintsovo (women)",
,"15:02:50","00:12","K","K   Zarechye-Odintsovo (women)",
,"15:02:50","00:12","P","[1 : 0]   P   Zarechye-Odintsovo (women)",
,"15:03:05","00:27","Pt Conf","Pt Conf   Zarechye-Odintsovo (women)",
,"15:03:07","00:29","SRV","SRV   Zarechye-Odintsovo (women)",
,"15:03:10","00:32","RS","RS   Zarechye-Odintsovo (women)",
,"15:03:10","00:32","B POSS","B POSS   VC Sakhalin (women)",
,"15:03:12","00:35","K","K   VC Sakhalin (women)",
,"15:03:12","00:35","P","[1 : 1]   P   VC Sakhalin (women)",
,"15:03:27","00:49","Pt Conf","Pt Conf   VC Sakhalin (women)",
,"15:03:31","00:53","SRV","SRV   VC Sakhalin (women)",
