"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"891955","Turkey","Sultanlar Ligi (women)","21.10.2017 - 11:00","Nilufer Belediye Spor Kulubu (women)","Canakkale Belediyesi (women)",
"Statistics","Nilufer Belediye Spor Kulubu (women)","Type","Canakkale Belediyesi (women)",
,"3","Score","0",
,"75","Points","50",
,"3","Sets","0",
,"14","Aces","5",
,"2","Service errors","4",
,"37","Kills","32",
,"12","Blocks","5",
,"3","Errors","3",
,"3","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:18:04","00:00","Game conditions changed","Game conditions changed",
,"10:18:05","00:00","Players warming up","Players warming up",
,"10:18:23","00:00","Jersey colours updated","Jersey colours updated",
,"10:18:23","00:00","Jersey colours updated","Jersey colours updated",
,"10:44:02","00:00","Coin flipping","Coin flipping",
,"10:44:38","00:00","Warm up at the net","Warm up at the net",
,"10:56:27","00:00","Players lined up","Players lined up",
,"10:57:33","00:00","Players intro","Players intro",
,"10:59:22","00:00","Game about to start","Game about to start",
,"10:59:23","00:00","Start SRV","Start SRV   Canakkale Belediyesi (women)",
,"11:00:01","00:00","Start 1st Set","Start 1st Set",
,"11:00:02","00:00","SRV","SRV   Canakkale Belediyesi (women)",
,"11:00:04","00:02","RS","RS   Canakkale Belediyesi (women)",
,"11:00:04","00:03","B POSS","B POSS   Nilufer Belediye Spor Kulubu (women)",
,"11:00:06","00:05","K","K   Nilufer Belediye Spor Kulubu (women)",
,"11:00:06","00:05","P","[1 : 0]   P   Nilufer Belediye Spor Kulubu (women)",
,"11:00:29","00:28","Pt Conf","Pt Conf   Nilufer Belediye Spor Kulubu (women)",
,"11:00:31","00:29","SRV","SRV   Nilufer Belediye Spor Kulubu (women)",
,"11:00:33","00:31","RS","RS   Nilufer Belediye Spor Kulubu (women)",
,"11:00:33","00:32","B POSS","B POSS   Canakkale Belediyesi (women)",
