"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887874","USA","NCAA Women","21.10.2017 - 02:00","UC Santa Barbara Gauchos (women/students)","Long Beach State 49ers (women/students)",
"Statistics","UC Santa Barbara Gauchos (women/students)","Type","Long Beach State 49ers (women/students)",
,"3","Score","1",
,"95","Points","89",
,"3","Sets","1",
,"2","Aces","6",
,"6","Service errors","12",
,"53","Kills","43",
,"7","Blocks","16",
,"4","Errors","9",
,"14","Outs","12",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"01:20:03","00:00","Game conditions changed","Game conditions changed",
,"01:33:28","00:00","Players warming up","Players warming up",
,"01:41:47","00:00","Coin flipping","Coin flipping",
,"01:41:48","00:00","Warm up at the net","Warm up at the net",
,"01:56:35","00:00","Jersey colours updated","Jersey colours updated",
,"01:56:35","00:00","Jersey colours updated","Jersey colours updated",
,"02:00:18","00:00","National anthem singing","National anthem singing",
,"02:01:40","00:00","Players intro","Players intro",
,"02:03:56","00:00","Players lined up","Players lined up",
,"02:03:57","00:00","Shake hands","Shake hands",
,"02:05:06","00:00","Game about to start","Game about to start",
,"02:05:08","00:00","Start SRV","Start SRV   UC Santa Barbara Gauchos (women/students)",
,"02:05:19","00:00","Start 1st Set","Start 1st Set",
,"02:05:20","00:00","SRV","SRV   UC Santa Barbara Gauchos (women/students)",
,"02:05:22","00:03","RS","RS   UC Santa Barbara Gauchos (women/students)",
,"02:05:23","00:04","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:05:26","00:07","K","K   Long Beach State 49ers (women/students)",
,"02:05:26","00:07","P","[0 : 1]   P   Long Beach State 49ers (women/students)",
,"02:05:42","00:22","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:05:43","00:23","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:05:45","00:25","RS","RS   Long Beach State 49ers (women/students)",
,"02:05:45","00:26","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:05:49","00:29","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:05:52","00:32","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:05:56","00:36","K","K   UC Santa Barbara Gauchos (women/students)",
,"02:05:56","00:36","P","[1 : 1]   P   UC Santa Barbara Gauchos (women/students)",
,"02:06:10","00:51","Pt Conf","Pt Conf   UC Santa Barbara Gauchos (women/students)",
,"02:06:11","00:51","SRV","SRV   UC Santa Barbara Gauchos (women/students)",
,"02:06:12","00:53","RS","RS   UC Santa Barbara Gauchos (women/students)",
,"02:06:13","00:54","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:06:17","00:58","K","K   Long Beach State 49ers (women/students)",
,"02:06:17","00:58","P","[1 : 2]   P   Long Beach State 49ers (women/students)",
,"02:06:31","01:11","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:06:31","01:12","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:06:33","01:14","A","A   Long Beach State 49ers (women/students)",
,"02:06:33","01:14","P","[1 : 3]   P   Long Beach State 49ers (women/students)",
,"02:06:48","01:28","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:06:48","01:29","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:06:50","01:31","RS","RS   Long Beach State 49ers (women/students)",
,"02:06:51","01:31","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:06:53","01:34","K","K   UC Santa Barbara Gauchos (women/students)",
,"02:06:53","01:34","P","[2 : 3]   P   UC Santa Barbara Gauchos (women/students)",
,"02:07:13","01:54","Pt Conf","Pt Conf   UC Santa Barbara Gauchos (women/students)",
,"02:07:14","01:55","SRV","SRV   UC Santa Barbara Gauchos (women/students)",
,"02:07:17","01:57","RS","RS   UC Santa Barbara Gauchos (women/students)",
,"02:07:18","01:58","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:07:20","02:00","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:07:25","02:05","K","K   UC Santa Barbara Gauchos (women/students)",
,"02:07:25","02:05","P","[3 : 3]   P   UC Santa Barbara Gauchos (women/students)",
,"02:07:40","02:21","Pt Conf","Pt Conf   UC Santa Barbara Gauchos (women/students)",
,"02:07:41","02:21","SRV","SRV   UC Santa Barbara Gauchos (women/students)",
,"02:07:41","02:22","S ERR","S ERR   UC Santa Barbara Gauchos (women/students)",
,"02:07:41","02:22","P","[3 : 4]   P   Long Beach State 49ers (women/students)",
,"02:07:59","02:40","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:08:00","02:40","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:08:03","02:43","RS","RS   Long Beach State 49ers (women/students)",
,"02:08:03","02:44","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:08:05","02:46","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:08:10","02:50","K","K   Long Beach State 49ers (women/students)",
,"02:08:10","02:50","P","[3 : 5]   P   Long Beach State 49ers (women/students)",
,"02:08:27","03:08","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:08:28","03:09","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:08:30","03:11","RS","RS   Long Beach State 49ers (women/students)",
,"02:08:31","03:11","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:08:32","03:13","ERR","ERR   UC Santa Barbara Gauchos (women/students)",
,"02:08:32","03:13","P","[3 : 6]   P   Long Beach State 49ers (women/students)",
,"02:08:48","03:29","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:08:49","03:30","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:08:51","03:32","RS","RS   Long Beach State 49ers (women/students)",
,"02:08:52","03:32","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:08:54","03:34","K","K   Long Beach State 49ers (women/students)",
,"02:08:54","03:34","P","[3 : 7]   P   Long Beach State 49ers (women/students)",
,"02:09:07","03:47","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:09:07","03:48","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:09:10","03:50","A","A   Long Beach State 49ers (women/students)",
,"02:09:10","03:50","P","[3 : 8]   P   Long Beach State 49ers (women/students)",
,"02:09:22","04:02","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:09:22","04:03","TIME","TIME",
,"02:09:23","04:03","TIME","TIME   UC Santa Barbara Gauchos (women/students)",
,"02:10:44","05:25","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:10:47","05:28","A","A   Long Beach State 49ers (women/students)",
,"02:10:47","05:28","P","[3 : 9]   P   Long Beach State 49ers (women/students)",
,"02:11:02","05:43","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:11:03","05:43","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:11:06","05:46","RS","RS   Long Beach State 49ers (women/students)",
,"02:11:06","05:47","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:11:10","05:50","K","K   UC Santa Barbara Gauchos (women/students)",
,"02:11:10","05:50","P","[4 : 9]   P   UC Santa Barbara Gauchos (women/students)",
,"02:11:27","06:07","Pt Conf","Pt Conf   UC Santa Barbara Gauchos (women/students)",
,"02:11:28","06:08","SRV","SRV   UC Santa Barbara Gauchos (women/students)",
,"02:11:30","06:10","RS","RS   UC Santa Barbara Gauchos (women/students)",
,"02:11:30","06:11","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:11:33","06:14","K","K   Long Beach State 49ers (women/students)",
,"02:11:33","06:14","P","[4 : 10]   P   Long Beach State 49ers (women/students)",
,"02:11:49","06:29","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:11:49","06:30","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:11:52","06:32","RS","RS   Long Beach State 49ers (women/students)",
,"02:11:53","06:33","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:11:55","06:35","ERR","ERR   UC Santa Barbara Gauchos (women/students)",
,"02:11:55","06:35","P","[4 : 11]   P   Long Beach State 49ers (women/students)",
,"02:12:10","06:51","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:12:11","06:51","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:12:14","06:55","S ERR","S ERR   Long Beach State 49ers (women/students)",
,"02:12:14","06:55","P","[5 : 11]   P   UC Santa Barbara Gauchos (women/students)",
,"02:12:29","07:09","Pt Conf","Pt Conf   UC Santa Barbara Gauchos (women/students)",
,"02:12:29","07:10","SRV","SRV   UC Santa Barbara Gauchos (women/students)",
,"02:12:31","07:11","RS","RS   UC Santa Barbara Gauchos (women/students)",
,"02:12:31","07:12","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:12:36","07:16","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:12:38","07:18","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:12:42","07:22","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:12:44","07:25","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:12:46","07:27","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:12:47","07:27","Rally over 5 possession changes","Rally over 5 possession changes",
,"02:12:50","07:30","OUT","OUT   UC Santa Barbara Gauchos (women/students)",
,"02:12:50","07:30","P","[5 : 12]   P   Long Beach State 49ers (women/students)",
,"02:13:10","07:51","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:13:11","07:52","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:13:14","07:54","RS","RS   Long Beach State 49ers (women/students)",
,"02:13:15","07:55","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:13:17","07:58","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:13:23","08:03","OUT","OUT   Long Beach State 49ers (women/students)",
,"02:13:23","08:03","P","[6 : 12]   P   UC Santa Barbara Gauchos (women/students)",
,"02:13:40","08:20","Pt Conf","Pt Conf   UC Santa Barbara Gauchos (women/students)",
,"02:13:40","08:21","SRV","SRV   UC Santa Barbara Gauchos (women/students)",
,"02:13:42","08:22","RS","RS   UC Santa Barbara Gauchos (women/students)",
,"02:13:42","08:23","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:13:46","08:26","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:13:48","08:28","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:13:51","08:31","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:13:55","08:35","K","K   UC Santa Barbara Gauchos (women/students)",
,"02:13:55","08:35","P","[7 : 12]   P   UC Santa Barbara Gauchos (women/students)",
,"02:14:09","08:50","Pt Conf","Pt Conf   UC Santa Barbara Gauchos (women/students)",
,"02:14:10","08:50","SRV","SRV   UC Santa Barbara Gauchos (women/students)",
,"02:14:12","08:52","RS","RS   UC Santa Barbara Gauchos (women/students)",
,"02:14:12","08:53","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:14:16","08:57","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:14:22","09:03","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:14:27","09:07","ERR","ERR   Long Beach State 49ers (women/students)",
,"02:14:27","09:07","P","[8 : 12]   P   UC Santa Barbara Gauchos (women/students)",
,"02:14:43","09:23","Pt Conf","Pt Conf   UC Santa Barbara Gauchos (women/students)",
,"02:14:43","09:24","SRV","SRV   UC Santa Barbara Gauchos (women/students)",
,"02:14:45","09:25","RS","RS   UC Santa Barbara Gauchos (women/students)",
,"02:14:45","09:26","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:14:49","09:29","K","K   Long Beach State 49ers (women/students)",
,"02:14:49","09:29","P","[8 : 13]   P   Long Beach State 49ers (women/students)",
,"02:15:05","09:46","Pt Conf","Pt Conf   Long Beach State 49ers (women/students)",
,"02:15:06","09:46","SRV","SRV   Long Beach State 49ers (women/students)",
,"02:15:10","09:50","RS","RS   Long Beach State 49ers (women/students)",
,"02:15:10","09:51","B POSS","B POSS   UC Santa Barbara Gauchos (women/students)",
,"02:15:14","09:55","K","K   UC Santa Barbara Gauchos (women/students)",
,"02:15:14","09:55","P","[9 : 13]   P   UC Santa Barbara Gauchos (women/students)",
,"02:15:31","10:12","Pt Conf","Pt Conf   UC Santa Barbara Gauchos (women/students)",
,"02:15:32","10:12","SRV","SRV   UC Santa Barbara Gauchos (women/students)",
,"02:15:32","10:13","RS","RS   UC Santa Barbara Gauchos (women/students)",
,"02:15:33","10:14","B POSS","B POSS   Long Beach State 49ers (women/students)",
,"02:15:35","10:16","K","K   Long Beach State 49ers (women/students)",
